#name1,name2,distance,forced_redirection
0_0,1_0,176,0
0_0,0_1,185,0
0_1,1_1,112,0
0_1,0_2,68,0
0_2,1_2,127,0
0_2,0_3,74,0
0_3,1_3,133,0
0_3,0_4,165,0
0_4,1_4,120,0
0_4,0_5,79,0
0_5,1_5,86,0
0_5,0_6,77,0
0_6,1_6,155,0
0_6,0_7,163,0
0_7,1_7,152,0
0_7,0_8,93,0
0_8,1_8,117,0
0_8,0_9,55,0
0_9,1_9,50,0
0_9,0_10,166,0
0_10,1_10,132,0
0_10,0_11,83,0
0_11,1_11,160,0
0_11,0_12,62,0
0_12,1_12,191,0
0_12,0_13,69,0
0_13,1_13,173,0
0_13,0_14,72,0
0_14,1_14,71,0
0_14,0_15,150,0
0_15,1_15,54,0
0_15,0_16,142,0
0_16,1_16,107,0
0_16,0_17,96,0
0_17,1_17,89,0
0_17,0_18,150,0
0_18,1_18,84,0
0_18,0_19,127,0
0_19,1_19,115,0
0_19,0_20,96,0
0_20,1_20,168,0
0_20,0_21,68,0
0_21,1_21,155,0
0_21,0_22,178,0
0_22,1_22,164,0
0_22,0_23,177,0
0_23,1_23,162,0
0_23,0_24,114,0
0_24,1_24,70,0
0_24,0_25,79,0
0_25,1_25,73,0
0_25,0_26,170,0
0_26,1_26,85,0
0_26,0_27,138,0
0_27,1_27,165,0
0_27,0_28,129,0
0_28,1_28,79,0
0_28,0_29,111,0
0_29,1_29,157,0
0_29,0_30,129,0
0_30,1_30,133,0
0_30,0_31,102,0
0_31,1_31,152,0
0_31,0_32,115,0
0_32,1_32,71,0
0_32,0_33,148,0
0_33,1_33,83,0
0_33,0_34,198,0
0_34,1_34,138,0
0_34,0_35,137,0
0_35,1_35,88,0
0_35,0_36,145,0
0_36,1_36,114,0
0_36,0_37,189,0
0_37,1_37,132,0
0_37,0_38,184,0
0_38,1_38,190,0
0_38,0_39,136,0
0_39,1_39,154,0
0_39,0_40,163,0
0_40,1_40,177,0
0_40,0_41,160,0
0_41,1_41,85,0
0_41,0_42,160,0
0_42,1_42,66,0
0_42,0_43,195,0
0_43,1_43,151,0
0_43,0_44,158,0
0_44,1_44,71,0
0_44,0_45,93,0
0_45,1_45,113,0
0_45,0_46,181,0
0_46,1_46,192,0
0_46,0_47,54,0
0_47,1_47,145,0
0_47,0_48,180,0
0_48,1_48,172,0
0_48,0_49,104,0
0_49,1_49,150,0
1_0,2_0,75,0
1_0,1_1,55,0
1_1,2_1,169,0
1_1,1_2,84,0
1_2,2_2,52,0
1_2,1_3,65,0
1_3,2_3,110,0
1_3,1_4,75,0
1_4,2_4,74,0
1_4,1_5,177,0
1_5,2_5,54,0
1_5,1_6,75,0
1_6,2_6,135,0
1_6,1_7,152,0
1_7,2_7,186,0
1_7,1_8,118,0
1_8,2_8,182,0
1_8,1_9,53,0
1_9,2_9,177,0
1_9,1_10,153,0
1_10,2_10,75,0
1_10,1_11,147,0
1_11,2_11,115,0
1_11,1_12,59,0
1_12,2_12,82,0
1_12,1_13,184,0
1_13,2_13,183,0
1_13,1_14,136,0
1_14,2_14,198,0
1_14,1_15,107,0
1_15,2_15,120,0
1_15,1_16,53,0
1_16,2_16,109,0
1_16,1_17,104,0
1_17,2_17,68,0
1_17,1_18,68,0
1_18,2_18,181,0
1_18,1_19,151,0
1_19,2_19,185,0
1_19,1_20,182,0
1_20,2_20,94,0
1_20,1_21,147,0
1_21,2_21,159,0
1_21,1_22,63,0
1_22,2_22,150,0
1_22,1_23,58,0
1_23,2_23,72,0
1_23,1_24,128,0
1_24,2_24,110,0
1_24,1_25,188,0
1_25,2_25,165,0
1_25,1_26,108,0
1_26,2_26,100,0
1_26,1_27,109,0
1_27,2_27,113,0
1_27,1_28,147,0
1_28,2_28,157,0
1_28,1_29,180,0
1_29,2_29,174,0
1_29,1_30,174,0
1_30,2_30,143,0
1_30,1_31,189,0
1_31,2_31,196,0
1_31,1_32,194,0
1_32,2_32,195,0
1_32,1_33,137,0
1_33,2_33,87,0
1_33,1_34,162,0
1_34,2_34,58,0
1_34,1_35,110,0
1_35,2_35,192,0
1_35,1_36,72,0
1_36,2_36,179,0
1_36,1_37,167,0
1_37,2_37,118,0
1_37,1_38,140,0
1_38,2_38,57,0
1_38,1_39,94,0
1_39,2_39,107,0
1_39,1_40,128,0
1_40,2_40,63,0
1_40,1_41,89,0
1_41,2_41,155,0
1_41,1_42,136,0
1_42,2_42,108,0
1_42,1_43,101,0
1_43,2_43,77,0
1_43,1_44,119,0
1_44,2_44,105,0
1_44,1_45,127,0
1_45,2_45,64,0
1_45,1_46,153,0
1_46,2_46,70,0
1_46,1_47,163,0
1_47,2_47,158,0
1_47,1_48,94,0
1_48,2_48,111,0
1_48,1_49,180,0
1_49,2_49,188,0
2_0,3_0,120,0
2_0,2_1,180,0
2_1,3_1,179,0
2_1,2_2,137,0
2_2,3_2,71,0
2_2,2_3,140,0
2_3,3_3,90,0
2_3,2_4,167,0
2_4,3_4,116,0
2_4,2_5,104,0
2_5,3_5,149,0
2_5,2_6,64,0
2_6,3_6,69,0
2_6,2_7,108,0
2_7,3_7,90,0
2_7,2_8,105,0
2_8,3_8,81,0
2_8,2_9,78,0
2_9,3_9,144,0
2_9,2_10,78,0
2_10,3_10,82,0
2_10,2_11,94,0
2_11,3_11,141,0
2_11,2_12,140,0
2_12,3_12,98,0
2_12,2_13,126,0
2_13,3_13,74,0
2_13,2_14,57,0
2_14,3_14,77,0
2_14,2_15,104,0
2_15,3_15,162,0
2_15,2_16,95,0
2_16,3_16,161,0
2_16,2_17,148,0
2_17,3_17,148,0
2_17,2_18,51,0
2_18,3_18,55,0
2_18,2_19,99,0
2_19,3_19,57,0
2_19,2_20,123,0
2_20,3_20,69,0
2_20,2_21,78,0
2_21,3_21,119,0
2_21,2_22,140,0
2_22,3_22,92,0
2_22,2_23,127,0
2_23,3_23,122,0
2_23,2_24,64,0
2_24,3_24,144,0
