Day,Date,Albula_Lencha sim,Albula_Lencha data,Albula_Lencha error,Andido sim,Andido data,Andido error,Anshokala_Hiro sim,Anshokala_Hiro data,Anshokala_Hiro error,Budul sim,Budul data,Budul error,Bundada_Flash_Flood sim,Bundada_Flash_Flood data,Bundada_Flash_Flood error,Bur_Dheedi sim,Bur_Dheedi data,Bur_Dheedi error,Bur_Gaabo sim,Bur_Gaabo data,Bur_Gaabo error,Bur-Shakadi sim,Bur-Shakadi data,Bur-Shakadi error,Ceca sim,Ceca data,Ceca error,Chefa_Keransa sim,Chefa_Keransa data,Chefa_Keransa error,China_Camp sim,China_Camp data,China_Camp error,Chiticha_Kuntufa sim,Chiticha_Kuntufa data,Chiticha_Kuntufa error,Daba_Katuur sim,Daba_Katuur data,Daba_Katuur error,Damerey sim,Damerey data,Damerey error,Danyere sim,Danyere data,Danyere error,Dattdamum sim,Dattdamum data,Dattdamum error,Dharkaynwayd sim,Dharkaynwayd data,Dharkaynwayd error,Dudi_Dero sim,Dudi_Dero data,Dudi_Dero error,East_Imi_Town sim,East_Imi_Town data,East_Imi_Town error,Eeba sim,Eeba data,Eeba error,Eyole sim,Eyole data,Eyole error,Fandde_Ejersa sim,Fandde_Ejersa data,Fandde_Ejersa error,Furfursa sim,Furfursa data,Furfursa error,Gabi_Kebele sim,Gabi_Kebele data,Gabi_Kebele error,Gabulle sim,Gabulle data,Gabulle error,Gambadh_Ugaas sim,Gambadh_Ugaas data,Gambadh_Ugaas error,Gan sim,Gan data,Gan error,Garab-Jabiye sim,Garab-Jabiye data,Garab-Jabiye error,Gashantimo sim,Gashantimo data,Gashantimo error,Gelcha sim,Gelcha data,Gelcha error,Haarcad sim,Haarcad data,Haarcad error,Hassoba sim,Hassoba data,Hassoba error,Hilo-Nagod sim,Hilo-Nagod data,Hilo-Nagod error,Hobane_Laman sim,Hobane_Laman data,Hobane_Laman error,Jiban-Jible sim,Jiban-Jible data,Jiban-Jible error,Kabhanle sim,Kabhanle data,Kabhanle error,Kaboobe sim,Kaboobe data,Kaboobe error,Kada_Hurunto sim,Kada_Hurunto data,Kada_Hurunto error,Kebele sim,Kebele data,Kebele error,Korbeti sim,Korbeti data,Korbeti error,Kuachthiang sim,Kuachthiang data,Kuachthiang error,Kuerliey_Flood sim,Kuerliey_Flood data,Kuerliey_Flood error,Kullo sim,Kullo data,Kullo error,Leitchour_Flood sim,Leitchour_Flood data,Leitchour_Flood error,Libahle sim,Libahle data,Libahle error,Lo_Dabal sim,Lo_Dabal data,Lo_Dabal error,Mender_Simint sim,Mender_Simint data,Mender_Simint error,Methar_Health_Center sim,Methar_Health_Center data,Methar_Health_Center error,Mirdhis sim,Mirdhis data,Mirdhis error,Mustahil sim,Mustahil data,Mustahil error,Oda_Nagele sim,Oda_Nagele data,Oda_Nagele error,Pajung_Village_Flood sim,Pajung_Village_Flood data,Pajung_Village_Flood error,Qudhac_Dher sim,Qudhac_Dher data,Qudhac_Dher error,Qudhacle sim,Qudhacle data,Qudhacle error,Raranle sim,Raranle data,Raranle error,Sade_Guge sim,Sade_Guge data,Sade_Guge error,Sadeti sim,Sadeti data,Sadeti error,Sanbate_Shalla sim,Sanbate_Shalla data,Sanbate_Shalla error,Saw_Halayto sim,Saw_Halayto data,Saw_Halayto error,Sediha_Holhol sim,Sediha_Holhol data,Sediha_Holhol error,Segento sim,Segento data,Segento error,Siigo-Dher sim,Siigo-Dher data,Siigo-Dher error,Waladaya_Gabare sim,Waladaya_Gabare data,Waladaya_Gabare error,Xidigta sim,Xidigta data,Xidigta error,Yahol_And_Gilo sim,Yahol_And_Gilo data,Yahol_And_Gilo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2019-10-01,1374,0,0.0,2,0,0.0,1445,0,0.0,127,0,0.0,99,0,0.0,67,0,0.0,69,0,0.0,27,0,0.0,306,0,0.0,1488,0,0.0,16,0,0.0,1382,0,0.0,49,0,0.0,20,0,0.0,127,0,0.0,22,0,0.0,30,0,0.0,344,0,0.0,910,0,0.0,15,0,0.0,89,0,0.0,1533,0,0.0,341,0,0.0,0,0,0.0,69,0,0.0,27,0,0.0,40,0,0.0,19,0,0.0,42,0,0.0,23,0,0.0,37,0,0.0,6,0,0.0,26,0,0.0,1373,0,0.0,783,0,0.0,824,0,0.0,91,0,0.0,11,0,0.0,426,0,0.0,1423,0,0.0,466,0,0.0,509,0,0.0,239,0,0.0,446,0,0.0,785,0,0.0,34,0,0.0,21,0,0.0,409,0,0.0,121,0,0.0,0,0,0.0,295,0,0.0,393,0,0.0,32,0,0.0,819,0,0.0,26,0,0.0,1457,0,0.0,0,0,0.0,1478,0,0.0,70,0,0.0,35,0,0.0,10,0,0.0,845,0,0.0,650,0,0.0,854,0,0.0,423,0,0.0,0.0,0,26847,0,25519,0
1,2019-10-02,1373,0,0.0,9,0,0.0,1443,0,0.0,127,0,0.0,99,1,98.0,65,0,0.0,69,0,0.0,27,0,0.0,306,3,101.0,1487,0,0.0,753,1,752.0,1381,0,0.0,49,1,48.0,20,0,0.0,127,0,0.0,22,0,0.0,30,0,0.0,344,0,0.0,907,0,0.0,721,0,0.0,89,0,0.0,1533,0,0.0,341,0,0.0,0,1,1.0,67,0,0.0,27,0,0.0,40,0,0.0,19,0,0.0,42,0,0.0,23,0,0.0,37,0,0.0,14,0,0.0,26,0,0.0,1371,0,0.0,782,0,0.0,824,0,0.0,91,0,0.0,11,0,0.0,426,1,425.0,1420,0,0.0,466,0,0.0,509,0,0.0,239,0,0.0,446,1,445.0,785,0,0.0,34,0,0.0,21,0,0.0,409,0,0.0,120,0,0.0,12,9,0.3333,295,0,0.0,393,0,0.0,32,0,0.0,818,0,0.0,26,0,0.0,1456,0,0.0,0,0,0.0,1478,0,0.0,70,0,0.0,35,0,0.0,102,0,0.0,843,0,0.0,649,0,0.0,854,0,0.0,423,0,0.0,0.0,0,53694,0,27057,0
2,2019-10-03,1372,0,0.0,55,1,54.0,1441,0,0.0,127,0,0.0,99,2,48.5,65,1,64.0,69,0,0.0,27,0,0.0,306,6,50.0,1485,0,0.0,751,2,374.5,1380,0,0.0,49,2,23.5,20,0,0.0,127,0,0.0,22,0,0.0,30,0,0.0,344,0,0.0,905,0,0.0,721,1,720.0,89,0,0.0,1532,0,0.0,341,0,0.0,0,2,1.0,66,0,0.0,27,0,0.0,40,1,39.0,19,0,0.0,42,0,0.0,23,0,0.0,37,0,0.0,33,1,32.0,26,0,0.0,1370,0,0.0,781,0,0.0,823,1,822.0,91,0,0.0,11,0,0.0,426,2,212.0,1420,0,0.0,466,0,0.0,509,0,0.0,239,0,0.0,446,2,222.0,785,0,0.0,34,0,0.0,21,1,20.0,409,0,0.0,120,1,119.0,6,18,0.6667,294,0,0.0,393,0,0.0,32,1,31.0,814,0,0.0,26,0,0.0,1454,0,0.0,0,0,0.0,1478,0,0.0,70,0,0.0,35,0,0.0,102,1,101.0,842,0,0.0,648,1,647.0,851,0,0.0,423,1,422.0,0.0,0,80541,0,27089,0
3,2019-10-04,1370,0,0.0,55,2,26.5,1438,0,0.0,127,1,126.0,99,3,32.0,65,1,64.0,69,0,0.0,27,0,0.0,306,9,33.0,1485,0,0.0,751,3,249.3333,1379,0,0.0,49,4,11.25,20,0,0.0,127,0,0.0,22,0,0.0,30,0,0.0,344,1,343.0,903,1,902.0,719,2,358.5,89,1,88.0,1528,0,0.0,341,0,0.0,0,3,1.0,66,1,65.0,27,0,0.0,40,1,39.0,19,0,0.0,42,0,0.0,23,0,0.0,37,0,0.0,33,2,15.5,26,0,0.0,1369,0,0.0,781,0,0.0,822,2,410.0,91,0,0.0,11,0,0.0,426,3,141.0,1419,0,0.0,466,0,0.0,509,1,508.0,239,0,0.0,445,3,147.3333,784,0,0.0,34,0,0.0,21,1,20.0,409,0,0.0,120,2,59.0,15,27,0.4444,294,1,293.0,393,0,0.0,32,2,15.0,813,0,0.0,26,0,0.0,1451,0,0.0,0,1,1.0,1477,0,0.0,70,1,69.0,35,0,0.0,102,1,101.0,842,0,0.0,648,2,323.0,851,0,0.0,422,1,421.0,0.0,0,107388,0,27073,0
4,2019-10-05,1370,0,0.0,55,3,17.3333,1436,0,0.0,127,1,126.0,99,4,23.75,65,2,31.5,69,1,68.0,27,0,0.0,306,12,24.5,1484,0,0.0,751,4,186.75,1376,0,0.0,49,5,8.8,20,1,19.0,127,0,0.0,22,1,21.0,30,0,0.0,344,1,343.0,902,1,901.0,719,2,358.5,89,1,88.0,1525,0,0.0,341,1,340.0,0,4,1.0,66,1,65.0,27,0,0.0,40,2,19.0,19,0,0.0,42,1,41.0,23,0,0.0,37,0,0.0,33,2,15.5,26,1,25.0,1367,0,0.0,781,1,780.0,821,3,272.6667,91,0,0.0,11,0,0.0,424,4,105.0,1419,0,0.0,465,1,464.0,509,1,508.0,239,0,0.0,445,4,110.25,783,1,782.0,32,1,31.0,21,2,9.5,409,0,0.0,120,3,39.0,6,36,0.8333,293,1,292.0,393,0,0.0,32,3,9.6667,812,0,0.0,26,0,0.0,1449,0,0.0,0,1,1.0,1474,0,0.0,70,1,69.0,35,0,0.0,102,2,50.0,842,0,0.0,648,3,215.0,851,0,0.0,422,2,210.0,0.0,0,130449,0,27038,0
5,2019-10-06,1368,0,0.0,55,4,12.75,1434,0,0.0,127,1,126.0,99,5,18.8,65,3,20.6667,68,1,67.0,27,0,0.0,306,15,19.4,1483,0,0.0,751,5,149.2,1373,0,0.0,49,6,7.1667,20,1,19.0,127,0,0.0,22,1,21.0,30,0,0.0,343,2,170.5,902,2,450.0,719,3,238.6667,89,2,43.5,1523,0,0.0,341,1,340.0,0,5,1.0,66,2,32.0,27,0,0.0,40,2,19.0,19,1,18.0,42,1,41.0,23,1,22.0,37,0,0.0,33,3,10.0,26,1,25.0,1364,0,0.0,780,1,779.0,818,4,203.5,91,0,0.0,11,0,0.0,423,5,83.6,1418,0,0.0,465,1,464.0,509,1,508.0,239,0,0.0,445,6,73.1667,782,1,781.0,32,1,31.0,21,2,9.5,409,0,0.0,120,4,29.0,19,45,0.5778,293,2,145.5,393,0,0.0,32,4,7.0,811,0,0.0,26,0,0.0,1448,0,0.0,0,2,1.0,1471,0,0.0,70,1,69.0,35,0,0.0,100,3,32.3333,840,0,0.0,648,4,161.0,851,0,0.0,422,3,139.6667,0.0,0,153510,0,27020,0
6,2019-10-07,1368,0,0.0,55,5,10.0,1432,0,0.0,127,2,62.5,99,6,15.5,65,3,20.6667,68,1,67.0,27,1,26.0,306,19,15.1053,1482,0,0.0,751,6,124.1667,1372,0,0.0,49,8,5.125,20,1,19.0,127,0,0.0,22,1,21.0,30,0,0.0,343,2,170.5,900,2,449.0,717,4,178.25,89,2,43.5,1522,0,0.0,341,1,340.0,0,6,1.0,66,2,32.0,27,0,0.0,40,3,12.3333,19,1,18.0,42,1,41.0,23,1,22.0,37,0,0.0,33,4,7.25,26,1,25.0,1364,0,0.0,779,1,778.0,818,5,162.6,91,0,0.0,11,0,0.0,423,6,69.5,1418,0,0.0,463,1,462.0,507,2,252.5,239,0,0.0,445,7,62.5714,782,1,781.0,32,1,31.0,21,3,6.0,408,0,0.0,120,5,23.0,0,54,1.0,293,2,145.5,391,0,0.0,32,5,5.4,811,0,0.0,26,0,0.0,1448,0,0.0,0,2,1.0,1471,0,0.0,70,2,34.0,35,0,0.0,100,3,32.3333,837,0,0.0,648,5,128.6,848,0,0.0,421,3,139.3333,0.0,0,173935,0,26977,0
7,2019-10-08,1368,0,0.0,55,6,8.1667,1430,0,0.0,127,2,62.5,99,7,13.1429,65,4,15.25,68,1,67.0,26,1,25.0,306,22,12.9091,1482,0,0.0,750,7,106.1429,1370,0,0.0,49,9,4.4444,20,1,19.0,126,0,0.0,22,1,21.0,30,0,0.0,343,2,170.5,899,3,298.6667,717,4,178.25,89,3,28.6667,1518,0,0.0,341,2,169.5,0,7,1.0,66,3,21.0,27,0,0.0,40,4,9.0,19,1,18.0,42,2,20.0,23,1,22.0,37,0,0.0,33,5,5.6,26,2,12.0,1363,0,0.0,777,1,776.0,816,5,162.2,90,0,0.0,11,1,10.0,423,7,59.4286,1417,0,0.0,462,1,461.0,507,2,252.5,238,0,0.0,445,8,54.625,780,1,779.0,32,2,15.0,21,4,4.25,405,0,0.0,120,6,19.0,0,63,1.0,293,3,96.6667,390,1,389.0,32,6,4.3333,811,0,0.0,26,0,0.0,1442,0,0.0,0,2,1.0,1469,0,0.0,70,2,34.0,35,1,34.0,100,4,24.0,836,1,835.0,648,6,107.0,846,0,0.0,420,4,104.0,0.0,0,194360,0,26938,0
8,2019-10-09,1367,0,0.0,55,7,6.8571,1430,0,0.0,127,3,41.3333,98,8,11.25,65,4,15.25,68,2,33.0,26,1,25.0,306,25,11.24,1481,0,0.0,750,8,92.75,1370,0,0.0,49,10,3.9,20,2,9.0,126,1,125.0,22,2,10.0,30,0,0.0,341,3,112.6667,898,3,298.3333,716,5,142.2,89,3,28.6667,1516,0,0.0,341,2,169.5,0,8,1.0,66,3,21.0,27,0,0.0,40,4,9.0,19,1,18.0,42,2,20.0,23,1,22.0,37,0,0.0,33,5,5.6,26,2,12.0,1361,0,0.0,777,2,387.5,816,6,135.0,90,0,0.0,11,1,10.0,422,8,51.75,1415,0,0.0,462,2,230.0,507,3,168.0,237,0,0.0,445,9,48.4444,779,2,388.5,32,2,15.0,21,4,4.25,405,0,0.0,120,7,16.1429,0,72,1.0,293,3,96.6667,390,1,389.0,32,7,3.5714,811,0,0.0,26,0,0.0,1441,0,0.0,0,3,1.0,1466,0,0.0,70,2,34.0,35,1,34.0,100,5,19.0,833,1,832.0,648,6,107.0,846,1,845.0,420,4,104.0,0.0,0,214785,0,26915,0
9,2019-10-10,1365,0,0.0,55,8,5.875,1429,0,0.0,127,3,41.3333,98,9,9.8889,65,5,12.0,68,2,33.0,26,1,25.0,306,28,9.9286,1478,0,0.0,750,9,82.3333,1368,1,1367.0,49,12,3.0833,20,2,9.0,126,1,125.0,22,2,10.0,30,0,0.0,341,3,112.6667,895,4,222.75,716,6,118.3333,89,4,21.25,1515,0,0.0,341,2,169.5,0,9,1.0,66,4,15.5,27,0,0.0,40,5,7.0,19,1,18.0,42,2,20.0,23,2,10.5,37,0,0.0,33,6,4.5,26,2,12.0,1361,0,0.0,776,2,387.0,816,7,115.5714,89,0,0.0,11,1,10.0,422,9,45.8889,1414,0,0.0,461,2,229.5,506,3,167.6667,236,1,235.0,445,11,39.4545,779,2,388.5,32,2,15.0,21,5,3.2,405,1,404.0,120,8,14.0,0,81,1.0,293,4,72.25,390,1,389.0,32,8,3.0,810,0,0.0,26,1,25.0,1439,1,1438.0,0,3,1.0,1462,0,0.0,70,3,22.3333,35,1,34.0,100,5,19.0,833,1,832.0,648,7,91.5714,844,1,843.0,419,5,82.8,0.0,0,235210,0,26887,0
