data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6127657,466,MLI2117,2117,"29 June 2018",2018,1,Battles,"Armed clash","Unidentified Armed Group (Mali)",,3,"Ganda Izo Ethnic Militia (Mali)",,4,34,"Western Africa",Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,2,Twitter,"New media","On June 29, unknown gunmen attacked a Ganda Izo checkpoint northeast of Gao, killing one militiaman and wounding six others, a vehicle, arms and ammunition were also seized.",1,1571164643,MLI
6128503,466,MLI2119,2119,"29 June 2018",2018,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims","Ansar Dine",2,"MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)",,8,28,"Western Africa",Mali,Kidal,Kidal,Kidal,Kidal,18.44,1.41,1,Twitter,"New media","On June 29, presumed Ansar Dine militants gunshot wounded a MINUSMA soldier of the Chadian contingent in Kidal.",0,1571164644,MLI
5819300,466,MLI2116,2116,"29 June 2018",2018,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Military Forces of Mali (2013-)",,1,12,"Western Africa",Mali,Mopti,Mopti,"Mopti Commune",Sevare,14.5297,-4.0922,1,"Nord Sud Journal",Other,"On June 29, a suicide bomber detonated an explosives-laden vehicle at the G5Sahel-Force headquarters in Sevare, the detonation wass followed by an armed assault by at least two militants. Three attackers including the suicide bomber, two Malian soldiers and a civilian were killed and eight others wounded. Four suspects were also arrested in connection to the attack.",6,1567462219,MLI
6128419,466,MLI2113,2113,"27 June 2018",2018,1,Battles,"Armed clash","Dozo Militia",,4,"Alliance for the Salvation of the Sahel",,4,44,"Western Africa",Mali,Mopti,Djenne,Femaye,Koumaga,13.9852,-4.3992,2,Twitter,"New media","On June 27, Dozo and Fulani militiamen clashed in the area of Koumaga.",0,1571164644,MLI
6129448,466,MLI2110,2110,"27 June 2018",2018,1,Battles,"Armed clash","Islamic State (Greater Sahara)",,2,"GATIA: Imghad Tuareg and Allies Self-Defense Group",,3,23,"Western Africa",Mali,Gao,Gao,N'tillit,Ntillit,15.5461,-0.4606,2,Twitter,"New media","On June 27, presumed ISGS militants attacked a GATIA vehicle in a forest near NTillit, the occupants fled and the vehicle was destroyed after the assailants seized arms and ammunition.",0,1571164645,MLI
6129528,466,MLI2109,2109,"27 June 2018",2018,1,Battles,"Armed clash","Islamic State (Greater Sahara)",,2,"MSA: Movement for Azawad Salvation",,3,23,"Western Africa",Mali,Gao,Menaka,Menaka,Infoukaretane,15.7037,2.4403,2,Twitter,"New media","On June 27, presumed ISGS militants ambushd an MSA convoy in the area of Infoukaretane, killing five militiamen and destroying a vehicle.",5,1571164645,MLI
6128197,466,MLI2107,2107,"26 June 2018",2018,1,Battles,"Armed clash","Islamic State (Greater Sahara)",,2,"MSA: Movement for Azawad Salvation",,3,23,"Western Africa",Mali,Gao,Menaka,Anderamboukane,Anderamboukane,15.4275,3.0175,2,Twitter,"New media","On June 26, presumed ISGS militants ambushed an MSA convoy in the area of Tadaykarat-Terangit, Cercle of Anderamboukane, killing six militiamen and taking one prisoner.",6,1571164643,MLI
7020165,466,MLI2105,2105,"22 June 2018",2018,1,Battles,"Armed clash","Military Forces of France (2017-)","Military Forces of Mali (2013-)",8,"Islamic State (Greater Sahara)",,2,28,"Western Africa",Mali,Tombouctou,Gourma-Rharous,Hamzakona,I-n-Abelbel,16.1975,-1.9283,2,"Armee Francaise",International,"On June 22, fifteen presumed ISGS militants were killed after engaging joint Barkhane and Malian forces in combat who called in air support in the area of In-Abelbel, between Gossi and Bambara-Maoude, two pickups, six motorbikes, heavy and light weapons and ammunition destroyed.",15,1585692258,MLI
6128539,466,MLI2099,2099,"21 June 2018",2018,1,Battles,"Armed clash","Islamic State (Greater Sahara)",,2,"MSA: Movement for Azawad Salvation",,3,23,"Western Africa",Mali,Gao,Menaka,Anderamboukane,Tamalat,15.797,3.7095,2,Twitter,"New media","On June 21, presumed ISGS militants attacked an MSA convoy in the area of Tamalat-Azar near the Niger border, the occupants of two vehicles numbering twelve individuals were killed in the ambush.",12,1571164644,MLI
5870157,466,MLI2097,2097,"20 June 2018",2018,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims","Katiba Macina",2,"Dozo Militia",,4,24,"Western Africa",Mali,Mopti,Koro,Bondo,Dangatene,14.2333,-2.9725,2,"Studio Tamani",Subnational,"On June 20, presumed Katiba Macina militants killed three Dozos amidst clashes in the area of Dangatene.",3,1567462282,MLI
