#name,region,country,lat,lon,location_type,conflict_date,population
618911,xyz,xyz,50.6002111,3.1352408,town,0,0
618940,xyz,xyz,50.6206827,3.4231342,town,0,0
618941,xyz,xyz,50.607444,3.430364,town,0,0
621890,xyz,xyz,50.6348319,3.398914,town,0,0
621893,xyz,xyz,50.6261144,3.4197748,town,0,0
621909,xyz,xyz,50.6004174,3.1349945,town,0,0
24970888,xyz,xyz,50.6004296,3.1144997,town,0,0
24970898,xyz,xyz,50.6013063,3.1294161,town,0,0
31487558,xyz,xyz,50.8206586,3.3034265,town,0,0
31487587,xyz,xyz,50.8175182,3.3011455,town,0,0
31487592,xyz,xyz,50.8177526,3.3016297,town,0,0
31487600,xyz,xyz,50.8186404,3.2973965,town,0,0
31488481,xyz,xyz,50.8210898,3.2995299,town,0,0
31997531,xyz,xyz,50.8109571,3.2661375,town,0,0
31997549,xyz,xyz,50.8066059,3.2687765,town,0,0
31997570,xyz,xyz,50.8054356,3.271564,town,0,0
31997828,xyz,xyz,50.806587,3.2741187,town,0,0
31997834,xyz,xyz,50.8074198,3.2741706,town,0,0
31997871,xyz,xyz,50.8120544,3.2678846,town,0,0
31998429,xyz,xyz,50.8068606,3.2616899,town,0,0
31998477,xyz,xyz,50.8378417,3.2223495,town,0,0
31999803,xyz,xyz,50.8011082,3.2550227,town,0,0
32001757,xyz,xyz,50.8365101,3.181457,town,0,0
32001805,xyz,xyz,50.7845091,3.2385611,town,0,0
32001897,xyz,xyz,50.646098,3.2982177,town,0,0
32001912,xyz,xyz,50.6183824,3.3210655,town,0,0
32005096,xyz,xyz,50.6415262,3.4346056,town,0,0
32005161,xyz,xyz,50.6582556,3.5987057,town,0,0
32214483,xyz,xyz,50.8178471,3.3014801,town,0,0
32214489,xyz,xyz,50.817835,3.2997567,town,0,0
32214491,xyz,xyz,50.8187721,3.2974289,town,0,0
32214496,xyz,xyz,50.8200585,3.2966272,town,0,0
32214498,xyz,xyz,50.8194715,3.2973203,town,0,0
32683425,xyz,xyz,50.8282789,3.2090419,town,0,0
32853965,xyz,xyz,50.8294827,3.1805768,town,0,0
32853971,xyz,xyz,50.8281145,3.2093994,town,0,0
32853978,xyz,xyz,50.8282659,3.1754822,town,0,0
32912008,xyz,xyz,50.8103071,3.2450993,town,0,0
32912023,xyz,xyz,50.8381778,3.2227643,town,0,0
33177669,xyz,xyz,50.8375461,3.2871124,town,0,0
33177684,xyz,xyz,50.8324648,3.2937175,town,0,0
33177716,xyz,xyz,50.8215418,3.296783,town,0,0
33177765,xyz,xyz,50.8045681,3.2623592,town,0,0
33177771,xyz,xyz,50.8015186,3.2554886,town,0,0
33177812,xyz,xyz,50.7718228,3.1931675,town,0,0
33177832,xyz,xyz,50.7633484,3.1630647,town,0,0
33177839,xyz,xyz,50.758523,3.1524617,town,0,0
33177845,xyz,xyz,50.7544156,3.1481934,town,0,0
33177856,xyz,xyz,50.7425388,3.1376549,town,0,0
33505467,xyz,xyz,50.6597791,3.5935725,town,0,0
33505472,xyz,xyz,50.6597905,3.5945333,town,0,0
33508359,xyz,xyz,50.7583422,3.1525655,town,0,0
33508370,xyz,xyz,50.7456554,3.1415034,town,0,0
33508372,xyz,xyz,50.740967,3.1359728,town,0,0
33509533,xyz,xyz,50.8376818,3.2874205,town,0,0
33511356,xyz,xyz,50.788407,3.2296792,town,0,0
33516584,xyz,xyz,50.8157416,3.2906934,town,0,0
33516594,xyz,xyz,50.8100852,3.2762333,town,0,0
