#name1,name2,distance,forced_redirection
618911,6532006563,62,0
618911,761583976,284.4,0
618940,618941,46.7,0
618941,485959947,13.8,0
618941,1088207401,25.8,0
621890,707061958,71.2,0
621893,618940,19.5,0
621909,24970898,16.4,0
24970898,24970888,42.3,0
31487558,71281025,162.4,0
31487592,31487558,15.1,0
31488481,32214498,11.3,0
31488481,5596897087,10.1,0
31997531,720765279,6.6,0
31997549,124071771,6.3,0
31997570,124072926,8.3,0
31997570,31997828,12.1,0
31997828,31997834,4.8,0
31997834,33516594,14.2,0
31997834,538026192,18.5,0
31997871,31997531,13.9,0
31997871,619485169,10.9,0
31998429,33516595,1.8,0
31998429,1036622742,12.7,0
31998477,1462313701,10.5,0
31998477,1033062053,22,0
31999803,124070706,22.7,0
32001757,312935300,192.5,0
32001805,34075015,51.6,0
32001805,650934211,11.6,0
32001897,976461969,18.7,0
32001897,1599823372,11.4,0
32001912,32001897,104.4,0
32005096,618940,111.8,0
32005096,1080777008,31.3,0
32005161,33505472,13.7,0
32005161,357176013,19.2,0
32214483,32214489,5.5,0
32214483,31487587,1.8,0
32214491,621190622,22.4,0
32214496,5596897087,11.6,0
32214498,1036605331,2.9,0
32214498,31487600,3.8,0
32683425,32853965,60.5,0
32683425,315306728,11,0
32853965,32853978,11.5,0
32853971,1081848595,33.6,0
32853978,237965644,94,0
32912008,310343495,61.3,0
32912023,1033053697,14.6,0
33177669,33177684,30.1,0
33177684,760489517,9.2,0
33177684,314822993,29,0
33177716,5596897042,21.4,0
33177716,5596897070,19.5,0
33177765,33177771,17.7,0
33177771,1377598079,2.3,0
33177771,2564982693,16.1,0
33177812,521757350,4.9,0
33177812,529823533,15.4,0
33177832,33177839,30.3,0
33177832,4838978393,11.6,0
33177839,33177845,17.9,0
33177845,1269637886,11.9,0
33177845,240022318,35.1,0
33177856,762086307,27.2,0
33505467,357176013,10.9,0
33508359,1269647021,20.2,0
33508359,3591731554,32.4,0
33508370,252509517,12.9,0
33508370,7400766256,12.7,0
33508372,762071027,6.9,0
33508372,33508370,21.3,0
33511356,317452295,6.1,0
33516584,60039596,31.9,0
33516594,1036605296,46.7,0
33516595,31997549,19.7,0
33516595,60039730,40.9,0
33540688,651008670,21,0
33540688,33540689,12.3,0
33540689,5267289447,7.1,0
33540706,33540707,9.1,0
33540707,32853965,13.9,0
33540707,317519436,18.4,0
34075008,309204021,33.1,0
34075008,319141959,18.5,0
34075015,265772447,60.9,0
36162872,6175386856,16.1,0
36162872,689821011,10.1,0
36162919,621893,14,0
36162926,1080776503,1.6,0
36164776,485954933,13.6,0
36164776,3769732210,36.2,0
46984029,1087987093,18.4,0
46986006,46986324,17,0
46986006,1087986662,20.5,0
46986009,3773716425,63.1,0
46986335,46986009,13.5,0
46986365,46986335,1.9,0
46988489,46986335,3.6,0
46988587,3768360210,15.4,0
46988587,2019731070,18.6,0
52747675,3788011002,15.4,0
52803288,707061953,7.9,0
60039596,60039721,7.1,0
60039596,33177765,38.6,0
60039721,60039730,12,0
60039721,538026192,15.2,0
60039730,1265021783,1.7,0
60040372,621190622,13.1,0
60040372,31488481,15.3,0
60051263,31487592,2.2,0
60062466,309849823,7.7,0
60062466,32853971,67.9,0
60734085,846920182,34.2,0
60734087,955799847,29.9,0
60734087,4444420372,8.2,0
71281025,288533416,9.4,0
71281025,2713839069,22.7,0
124070600,1036622742,20.5,0
124070600,1599823931,15.2,0
124070706,124071771,19.4,0
124070706,33516594,31.1,0
124071771,31997570,6.2,0
124072280,31997828,10.2,0
124072926,720771775,4.5,0
124072926,124072281,2,0
131992000,132010932,19.9,0
132010932,1455771309,80.3,0
132010932,618911,45.3,0
146850512,310004742,14.4,0
146850512,5267289452,52.3,0
146850563,1599823612,233.4,0
146850719,146850723,9,0
146850723,146850786,37.1,0
146850723,955799847,18,0
146850786,146850792,3.8,0
146850792,1347883513,19.3,0
146850792,146850795,8.5,0
146850795,3788010982,7.8,0
146850906,756366994,5.9,0
237965629,32001912,24.8,0
237965629,5570485016,7.3,0
237965644,237965650,20.5,0
237965644,237965668,29.6,0
237965650,1102414764,3,0
237965650,229954425,4.3,0
237965658,237965668,11.7,0
240022316,669076112,5.7,0
240022318,33177856,14.6,0
250139306,766922430,9.1,0
250660742,1265060126,136,0
252509517,252509521,9.7,0
252509517,303702219,8.9,0
252509536,240022318,5,0
254887943,1081848595,2.8,0
257076620,650934134,12.6,0
257754408,309178962,2,0
257754467,258102146,2.4,0
258102146,32912008,10.5,0
258491657,250660742,38.6,0
258491657,262166852,26.9,0
260579534,1309478588,140,0
260643660,260643664,10.9,0
260643660,32912023,23.5,0
260643664,3509196625,1.1,0
260643664,3509196632,1.1,0
260818758,895799103,97.1,0
261144195,60040372,172.6,0
261144214,261144195,14.6,0
262875824,262875841,15.6,0
262875825,262875831,14.7,0
262875831,262875825,14.7,0
262875831,262875835,8.4,0
262875835,32853971,15,0
262875841,315306730,7.7,0
262875841,262875824,15.6,0
265772427,309199880,63.1,0
265772438,3239246175,18.9,0
265772447,3239246175,8.7,0
265772447,703260460,21.1,0
282373243,310255214,22.8,0
288533269,288533272,1.5,0
288533272,288533416,17.8,0
288533416,291328169,151.5,0
291328169,986522561,34.2,0
291328169,1021114778,18.3,0
294766193,294766234,21.5,0
294766193,309204017,17.7,0
294766234,650933311,9,0
294767627,4027739262,14.8,0
299213287,52747675,3.6,0
299213418,52803288,18.4,0
299213945,6175461628,16.8,0
299213945,1013404747,12,0
299214203,52747675,3.9,0
303700627,240022316,31.4,0
303700983,252509536,33.9,0
303700987,7400766256,18.9,0
304853271,294767627,11.1,0
304853271,621909,20.4,0
304857696,9082644896,17.6,0
304857696,4026674220,47.6,0
309178961,1036622717,1.8,0
309178961,1036622744,1.8,0
309178962,309178965,9.2,0
