,niger,cameroon,chad
01/03/2016,0,0,0
30/06/2016,82524,65618,7337
31/10/2016,96940,73745,7917
31/12/2016,105491,86900,8596
15/02/2017,105491,86900,8596
30/04/2017,105491,94299,8649
31/05/2017,106200,90481,7800
30/06/2017,106200,91278,8343
31/07/2017,,92427,
31/08/2017,122595,92451,7400
31/10/2017,108470,88516,9191
31/12/2017,108470,89762,9541
31/01/2018,108470,83526,9541
28/02/2018,108470,85892,9537
31/03/2018,108470,87630,9933
30/04/2018,108470,93114,9933
31/05/2018,108470,94454,10255
30/06/2018,118868,95172,10294
31/07/2018,118868,96727,10964
31/08/2018,118868,97817,11009
30/11/2018,118781,101404,11319
31/12/2018,118781,101404,11319
31/01/2019,118781,102287,11310
28/02/2019,118868,138315,14894
30/04/2018,118868,104724,15915
31/08/2019,119541,97817,15999
30/09/2019,119541,118164,15999
31/10/2019,119541,108335,15999
31/12/2019,119541,109340,12158
31/01/2020,156058,111670,12723
28/02/2020,156058,112960,12828
30/04/2020,156802,114141,13900
30/06/2020,162961,115774,13947
31/07/2020,162961,115981,13947
31/08/2020,167588,116237,15489
30/09/2020,167588,116409,15621
31/10/2020,168081,116623,15483
30/11/2020,168081,116960,15843
31/01/2021,171013,117422,16127
28/02/2021,171974,118195,16231
31/03/2021,171974,115695,16294
30/04/2021,174409,117061,16624
,,,
,,,
,,,
,,,
,,,
