Date,Refugees
2022-08-01,0
2022-08-10,17
2022-08-19,54
2022-08-28,198
2022-09-01,429
2022-09-10,706
2022-09-19,719
2022-09-28,735
2022-10-01,1371
2022-10-10,1437
2022-10-19,2604
2022-10-28,2455
2022-11-01,3474
2022-11-10,3592
2022-11-19,5461
2022-11-28,4368
2022-12-01,2907
2022-12-10,5568
2022-12-19,6256
2022-12-28,7026
2023-01-01,4921
2023-01-10,7073
2023-01-19,13469
2023-01-28,5746
2023-02-01,11121
2023-02-10,12142
2023-02-19,19572
2023-02-28,17606
2023-03-01,13267
2023-03-10,10184
2023-03-19,17173
2023-03-28,18849
2023-04-01,12136
2023-04-10,25364
2023-04-19,26925
2023-04-28,20246
2023-05-01,22969
2023-05-10,28421
2023-05-19,28492
2023-05-28,30355
2023-06-01,24307
2023-06-10,33129
2023-06-19,51526
2023-06-28,51753
2023-07-01,48674
2023-07-10,41297
2023-07-19,42140
2023-07-28,41618
