,Day,Tierkidi sim,Tierkidi error,Pugnido sim,Pugnido error,Jewi sim,Jewi error,Kule sim,Kule error,Kakuma sim,Kakuma error,Khartoum sim,Khartoum error,West_Kordofan sim,West_Kordofan error,Adjumani sim,Adjumani error,Rhino sim,Rhino error,Kiryandongo sim,Kiryandongo error,Total error,refugees in camps (simulation),refugee_debt
0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
2,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
3,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
4,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,-0.0011520737327187502,0,0.0,0,0.0,-0.0009189065012636943,4,0
6,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-7,0.0016802688430147539,0,0.0,0,0.0,0.0013280212483398612,-7,0
7,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-14,0.0028806584362139898,0,0.0,0,0.0,0.002284968173657531,-14,0
8,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-14,0.002520252025202452,-3,0.006507592190889255,3,-0.012195121951219634,0.0019485038274184019,-14,0
9,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-26,0.004160665706512967,2,-0.0024721878862792313,2,-0.005494505494505475,0.0026115859449191703,-22,0
10,10,0,0.0,0,0.0,0,0.0,0,0.0,1,-0.0021097046413504073,0,0.0,0,0.0,-28,0.0040322580645161255,-6,0.006256517205422196,-5,0.011086474501108778,0.003986571548468376,-38,0
