Days,Juba,Mongalla,Mayom,Bor,Yirol,Kapoeta,Cueibet,Duk_Fadiat,Tambura,Pariang,Terakeka,Aweil,Nasir,Ayod,Mvolo,Renk,Rubkona,Fangak,Malakal,Rumbek,Fashada,Melut,Mundri,Maridi,Pochalla,Lainya,Akobo,Torit,Pibor,Wau,Yei,Magwi,Wunagak,Malut,Ad_Damazin,Gambela,Lolimi,Wunshaiye,Al_Mayom,Lekr,Gulu,Tierkidi,Pugnido,Jewi,Kule,Kakuma,Khartoum,West_Kordofan,Adjumani,Rhino,Kiryandongo
0,1.0,0.314,0.608,0.685,0.44,0.34199999999999997,0.44,0.685,0.405,0.608,0.314,0.349,0.32099999999999995,0.685,0.405,0.32099999999999995,0.608,0.685,0.32099999999999995,0.44,0.32099999999999995,0.32099999999999995,0.405,0.405,0.685,0.314,0.685,0.34199999999999997,0.685,0.35600000000000004,0.314,0.34199999999999997,0.32099999999999995,0.32099999999999995,0.3,0.3,0.34199999999999997,0.685,0.608,0.314,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1,1.0,0.314,0.608,0.685,0.44,0.34199999999999997,0.44,0.685,0.405,0.608,0.314,0.349,0.32099999999999995,0.685,0.405,0.32099999999999995,0.608,0.685,0.32099999999999995,0.44,0.32099999999999995,0.32099999999999995,0.405,0.405,0.685,0.314,0.685,0.34199999999999997,0.685,0.35600000000000004,0.314,0.34199999999999997,0.32099999999999995,0.32099999999999995,0.3,0.3,0.34199999999999997,0.685,0.608,0.314,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2,1.0,0.314,0.608,0.685,0.44,0.34199999999999997,0.44,0.685,0.405,0.608,0.314,0.349,0.32099999999999995,0.685,0.405,0.32099999999999995,0.608,0.685,0.32099999999999995,0.44,0.32099999999999995,0.32099999999999995,0.405,0.405,0.685,0.314,0.685,0.34199999999999997,0.685,0.35600000000000004,0.314,0.34199999999999997,0.32099999999999995,0.32099999999999995,0.3,0.3,0.34199999999999997,0.685,0.608,0.314,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3,1.0,0.314,0.608,0.685,0.44,0.34199999999999997,0.44,0.685,0.405,0.608,0.314,0.349,0.32099999999999995,0.685,0.405,0.32099999999999995,0.608,0.685,0.32099999999999995,0.44,0.32099999999999995,0.32099999999999995,0.405,0.405,0.685,0.314,0.685,0.34199999999999997,0.685,0.35600000000000004,0.314,0.34199999999999997,0.32099999999999995,0.32099999999999995,0.3,0.3,0.34199999999999997,0.685,0.608,0.314,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
4,1.0,0.314,0.608,0.685,0.44,0.34199999999999997,0.44,0.685,0.405,0.608,0.314,0.349,0.32099999999999995,0.685,0.405,0.32099999999999995,0.608,0.685,0.32099999999999995,0.44,0.32099999999999995,0.32099999999999995,0.405,0.405,0.685,0.314,0.685,0.34199999999999997,0.685,0.35600000000000004,0.314,0.34199999999999997,0.32099999999999995,0.32099999999999995,0.3,0.3,0.34199999999999997,0.685,0.608,0.314,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5,1.0,0.314,0.608,0.685,0.44,0.34199999999999997,0.44,0.685,0.405,0.608,0.314,0.349,0.32099999999999995,0.685,0.405,0.32099999999999995,0.608,0.685,0.32099999999999995,0.44,0.32099999999999995,0.32099999999999995,0.405,0.405,0.685,0.314,0.685,0.34199999999999997,0.685,0.35600000000000004,0.314,0.34199999999999997,0.32099999999999995,0.32099999999999995,0.3,0.3,0.34199999999999997,0.685,0.608,0.314,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
6,1.0,0.314,0.608,0.685,0.44,0.34199999999999997,0.44,0.685,0.405,0.608,0.314,0.349,0.32099999999999995,0.685,0.405,0.32099999999999995,0.608,0.685,0.32099999999999995,0.44,0.32099999999999995,0.32099999999999995,0.405,0.405,0.685,0.314,0.685,0.34199999999999997,0.685,0.35600000000000004,0.314,0.34199999999999997,0.32099999999999995,0.32099999999999995,0.3,0.3,0.34199999999999997,0.685,0.608,0.314,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
7,1.0,0.314,0.608,0.685,0.44,0.34199999999999997,0.44,0.685,0.405,0.608,0.314,0.349,0.32099999999999995,0.685,0.405,0.32099999999999995,0.608,0.685,0.32099999999999995,0.44,0.32099999999999995,0.32099999999999995,0.405,0.405,0.685,0.314,0.685,0.34199999999999997,0.685,0.35600000000000004,0.314,0.34199999999999997,0.32099999999999995,0.32099999999999995,0.3,0.3,0.34199999999999997,0.685,0.608,0.314,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8,1.0,0.314,0.608,0.685,0.44,0.34199999999999997,0.44,0.685,0.405,0.608,0.314,0.349,0.32099999999999995,0.685,0.405,0.32099999999999995,0.608,0.685,0.32099999999999995,0.44,0.32099999999999995,0.32099999999999995,0.405,0.405,0.685,0.314,0.685,0.34199999999999997,0.685,0.35600000000000004,0.314,0.34199999999999997,0.32099999999999995,0.32099999999999995,0.3,0.3,0.34199999999999997,0.685,0.608,0.314,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
9,1.0,0.314,0.608,0.685,0.44,0.34199999999999997,0.44,0.685,0.405,0.608,0.314,0.349,0.32099999999999995,0.685,0.405,0.32099999999999995,0.608,0.685,0.32099999999999995,0.44,0.32099999999999995,0.32099999999999995,0.405,0.405,0.685,0.314,0.685,0.34199999999999997,0.685,0.35600000000000004,0.314,0.34199999999999997,0.32099999999999995,0.32099999999999995,0.3,0.3,0.34199999999999997,0.685,0.608,0.314,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
