Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,112,1.0,0,0,0.0,0,69,1.0,0,694,1.0,0,85,1.0,0,4,1.0,1.0,964,964,964,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,167,1.0,0,1,1.0,0,139,1.0,9,1388,0.9935158501440923,4,120,0.9666666666666667,0,4,1.0,0.9928532160527762,1819,1819,1819,13,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,184,1.0,0,2,1.0,0,209,1.0,22,2083,0.9894383101296207,17,131,0.8702290076335878,3,37,0.9189189189189189,0.9841269841269841,2646,2646,2646,42,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,3,196,0.9846938775510204,0,3,1.0,0,278,1.0,48,2777,0.9827151602448686,29,189,0.8465608465608465,14,69,0.7971014492753623,0.9732346241457859,3512,3512,3512,94,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,15,246,0.9390243902439024,0,4,1.0,0,348,1.0,84,3472,0.9758064516129032,58,197,0.7055837563451777,28,86,0.6744186046511628,0.9575005743165633,4353,4353,4353,185,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,22,259,0.915057915057915,0,5,1.0,0,418,1.0,129,4166,0.9690350456072971,88,296,0.7027027027027026,39,127,0.6929133858267716,0.9472585847087839,5271,5271,5271,278,0
7,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,37,309,0.8802588996763754,0,5,1.0,0,487,1.0,173,4860,0.9644032921810699,130,321,0.5950155763239875,57,145,0.6068965517241379,0.9353680430879713,6127,6127,6127,398,0
8,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,58,360,0.8388888888888889,0,6,1.0,0,557,1.0,245,5555,0.9558955895589559,168,461,0.6355748373101953,74,246,0.6991869918699187,0.9242867084203201,7185,7185,7185,546,0
9,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,84,368,0.7717391304347826,0,7,1.0,0,627,1.0,319,6249,0.9489518322931669,220,809,0.7280593325092707,83,364,0.771978021978022,0.9163105413105413,8424,8424,8424,707,0
10,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,102,474,0.7848101265822784,0,8,1.0,0,696,1.0,418,6944,0.9398041474654378,275,959,0.7132429614181439,108,451,0.7605321507760532,0.9055812001678556,9532,9532,9532,906,0
11,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,134,681,0.8032305433186491,0,9,1.0,0,766,1.0,521,7638,0.9317884262896046,358,1066,0.6641651031894935,144,506,0.7154150197628458,0.8918057378586162,10666,10666,10666,1160,0
12,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,162,736,0.779891304347826,0,10,1.0,0,836,1.0,664,8332,0.9203072491598656,445,1135,0.6079295154185023,168,572,0.7062937062937062,0.876602702004991,11621,11621,11621,1444,0
