Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,112,1.0,0,0,0.0,0,69,1.0,0,694,1.0,0,85,1.0,0,4,1.0,1.0,964,964,964,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,167,1.0,0,1,1.0,0,139,1.0,8,1388,0.9942363112391931,1,120,0.9916666666666667,0,4,1.0,0.9950522264980759,1819,1819,1819,9,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,184,1.0,0,2,1.0,0,209,1.0,25,2083,0.9879980796927509,8,131,0.9389312977099237,2,37,0.9459459459459459,0.9867724867724867,2646,2646,2646,35,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2,196,0.9897959183673469,0,3,1.0,0,278,1.0,57,2777,0.9794742527907814,24,189,0.873015873015873,8,69,0.8840579710144928,0.9740888382687927,3512,3512,3512,91,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,5,246,0.9796747967479675,0,4,1.0,0,348,1.0,94,3472,0.972926267281106,36,197,0.817258883248731,19,86,0.7790697674418605,0.9646220997013554,4353,4353,4353,154,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,10,259,0.9613899613899614,0,5,1.0,0,418,1.0,126,4166,0.9697551608257321,63,296,0.7871621621621622,33,127,0.7401574803149606,0.9559855814835895,5271,5271,5271,232,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,18,309,0.941747572815534,0,5,1.0,0,487,1.0,184,4860,0.9621399176954732,98,321,0.6947040498442367,47,145,0.6758620689655173,0.9433654316957728,6127,6127,6127,347,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,30,360,0.9166666666666666,0,6,1.0,0,557,1.0,264,5555,0.9524752475247524,141,461,0.6941431670281996,74,246,0.6991869918699187,0.9291579679888657,7185,7185,7185,509,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,48,368,0.8695652173913043,0,7,1.0,0,627,1.0,334,6249,0.9465514482317171,205,809,0.7466007416563658,92,364,0.7472527472527473,0.9193969610636278,8424,8424,8424,679,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,73,474,0.8459915611814346,0,8,1.0,0,696,1.0,438,6944,0.9369239631336406,264,959,0.7247132429614181,110,451,0.7560975609756098,0.9071548468317248,9532,9532,9532,885,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,89,681,0.869309838472834,0,9,1.0,0,766,1.0,545,7638,0.9286462424718512,315,1066,0.7045028142589118,131,506,0.7411067193675889,0.8987436714794674,10666,10666,10666,1080,0
12,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,117,736,0.8410326086956521,0,10,1.0,0,836,1.0,660,8332,0.9207873259721555,391,1135,0.6555066079295154,165,572,0.7115384615384616,0.8854659667842698,11621,11621,11621,1335,0
