Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,2,1388,0.99855907781,1,108,0.990740740741,0,3,1.0,0.9982896237172177,1754,1754,1754,3,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,12,2083,0.994239078253,11,118,0.906779661017,7,36,0.805555555556,0.9882675009777082,2557,2557,2557,30,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,3,190,0.984210526316,0,1,1.0,0,187,1.0,39,2777,0.985956067699,22,171,0.87134502924,13,67,0.805970149254,0.977306218685529,3393,3393,3393,77,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,8,239,0.966527196653,0,2,1.0,0,234,1.0,76,3472,0.978110599078,44,178,0.752808988764,22,84,0.738095238095,0.9643620812544548,4209,4209,4209,150,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,14,252,0.944444444444,0,2,1.0,0,281,1.0,121,4166,0.970955352856,74,268,0.723880597015,36,124,0.709677419355,0.9518947575103083,5093,5093,5093,245,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,26,301,0.913621262458,0,3,1.0,0,327,1.0,182,4860,0.962551440329,105,291,0.639175257732,49,142,0.654929577465,0.9388926401080351,5924,5924,5924,362,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,37,350,0.894285714286,0,3,1.0,0,374,1.0,259,5555,0.953375337534,142,418,0.66028708134,68,241,0.717842323651,0.9270998415213946,6941,6941,6941,506,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,54,358,0.849162011173,0,4,1.0,0,421,1.0,332,6249,0.94687149944,196,733,0.732605729877,85,356,0.761235955056,0.9178672577268809,8121,8121,8121,667,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,75,461,0.837310195228,0,4,1.0,0,468,1.0,409,6944,0.941100230415,257,869,0.704257767549,107,441,0.757369614512,0.9076956569064983,9187,9187,9187,848,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,105,663,0.841628959276,0,5,1.0,0,515,1.0,493,7638,0.93545430741,318,966,0.670807453416,130,495,0.737373737374,0.8982688192958569,10282,10282,10282,1046,0
12,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,137,716,0.808659217877,0,5,1.0,0,562,1.0,597,8332,0.928348535766,394,1029,0.617103984451,164,560,0.707142857143,0.8846840414137808,11204,11204,11204,1292,0
13,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,164,734,0.776566757493,0,6,1.0,0,608,1.0,708,9027,0.921568627451,474,1191,0.60201511335,200,643,0.688958009331,0.8733721025473011,12209,12209,12209,1546,0
14,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,195,894,0.781879194631,0,6,1.0,0,655,1.0,835,9721,0.914103487296,553,1471,0.624065261727,234,692,0.661849710983,0.8647964878339162,13439,13439,13439,1817,0
15,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,237,1056,0.775568181818,0,7,1.0,0,702,1.0,954,10416,0.908410138249,647,1737,0.62751871042,260,710,0.633802816901,0.8567815149029259,14628,14628,14628,2101,0
16,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,290,1323,0.780801209373,0,7,1.0,0,749,1.0,1081,11110,0.902700270027,744,2637,0.717861205916,293,726,0.596418732782,0.8547607539874336,16552,16552,16552,2412,0
17,0,0.0,0.0,6,0,0.0,0,0.0,0.0,0,0.0,0.0,341,1616,0.788985148515,0,8,1.0,0,796,1.0,1216,11805,0.896992799661,861,2369,0.636555508653,334,793,0.578814627995,0.84206591131305,17387,17387,17387,2758,0
18,0,0.0,0.0,6,0,0.0,0,0.0,0.0,0,0.0,0.0,385,2044,0.811643835616,0,8,1.0,0,843,1.0,1384,12499,0.889271141691,955,2690,0.644981412639,382,918,0.583877995643,0.8368592779707399,19002,19002,19002,3112,0
19,0,0.0,0.0,9,0,0.0,0,0.0,0.0,0,0.0,0.0,445,2145,0.792540792541,0,9,1.0,0,889,1.0,1557,13193,0.881982869704,1088,3016,0.63925729443,433,1003,0.568295114656,0.8265119723525055,20255,20255,20255,3532,0
20,0,0.0,0.0,16,0,0.0,0,0.0,0.0,0,0.0,0.0,495,2523,0.803804994055,0,9,1.0,0,936,1.0,1751,13888,0.873919930876,1229,3251,0.621962473085,492,1070,0.540186915888,0.817733081145915,21677,21677,21677,3983,0
21,0,0.0,0.0,19,0,0.0,0,0.0,0.0,0,0.0,0.0,580,2993,0.806214500501,0,10,1.0,0,983,1.0,1956,14582,0.865862021671,1349,3590,0.624233983287,548,1097,0.500455788514,0.8101913566974844,23255,23255,23255,4452,0
22,0,0.0,0.0,20,0,0.0,0,0.0,0.0,0,0.0,0.0,667,3638,0.816657504123,0,10,1.0,0,1030,1.0,2145,15277,0.859592852,1499,3715,0.596500672948,591,1187,0.502106149958,0.8035965723940942,24857,24857,24857,4922,0
23,0,0.0,0.0,25,0,0.0,0,0.0,0.0,0,0.0,0.0,770,4271,0.819714352611,0,11,1.0,0,1077,1.0,2367,15971,0.851793876401,1641,3759,0.563447725459,645,1313,0.508758568165,0.7955457919854556,26402,26402,26402,5448,0
24,0,0.0,0.0,30,0,0.0,0,0.0,0.0,0,0.0,0.0,884,4888,0.81914893617,0,11,1.0,1,1124,0.999110320285,2589,16665,0.844644464446,1794,3854,0.534509600415,685,1419,0.517265680056,0.788169235721183,27961,27961,27961,5983,0
25,0,0.0,0.0,45,0,0.0,0,0.0,0.0,0,0.0,0.0,986,5640,0.825177304965,0,37,1.0,1,1170,0.999145299145,2827,17360,0.83715437788,1950,4003,0.512865350987,749,1448,0.48273480663,0.7819138175197249,29658,29658,29658,6558,0
26,0,0.0,0.0,60,0,0.0,0,0.0,0.0,0,0.0,0.0,1111,6162,0.819701395651,0,63,1.0,1,1217,0.999178307313,3054,18054,0.830840810901,2102,4082,0.485056344929,799,1484,0.461590296496,0.7744189041272294,31062,31062,31062,7127,0
27,0,0.0,0.0,70,0,0.0,0,0.0,0.0,0,0.0,0.0,1234,6729,0.816614652995,0,89,1.0,2,1264,0.998417721519,3280,18749,0.825057336391,2258,4161,0.4573419851,864,1498,0.423230974633,0.7670667897814712,32490,32490,32490,7708,0
28,0,0.0,0.0,82,0,0.0,0,0.0,0.0,0,0.0,0.0,1364,7093,0.807697730156,0,115,1.0,5,1311,0.996186117468,3476,19443,0.821221004989,2411,4240,0.431367924528,918,1508,0.39124668435,0.7599525363393652,33710,33710,33710,8256,0
29,0,0.0,0.0,113,0,0.0,0,0.0,0.0,0,0.0,0.0,1484,7532,0.802973977695,0,118,1.0,10,1358,0.99263622975,3705,20137,0.816010329245,2582,4319,0.402176429729,986,1520,0.351315789474,0.7526297736107935,34984,34984,34984,8880,0
