Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,0,1388,1.0,0,108,1.0,0,3,1.0,1.0,1754,1754,1754,0,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,0,2083,1.0,0,118,1.0,0,36,1.0,1.0,2557,2557,2557,0,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2,190,0.989473684211,0,1,1.0,0,187,1.0,0,2777,1.0,0,171,1.0,0,67,1.0,0.999410551134689,3393,3393,3393,2,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,7,239,0.970711297071,0,2,1.0,0,234,1.0,0,3472,1.0,0,178,1.0,0,84,1.0,0.9983368971252079,4209,4209,4209,7,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,16,252,0.936507936508,0,2,1.0,0,281,1.0,0,4166,1.0,0,268,1.0,0,124,1.0,0.9968584331435303,5093,5093,5093,16,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,21,301,0.93023255814,0,3,1.0,0,327,1.0,0,4860,1.0,0,291,1.0,0,142,1.0,0.9964550979068197,5924,5924,5924,21,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,35,350,0.9,0,3,1.0,0,374,1.0,0,5555,1.0,0,418,1.0,0,241,1.0,0.9949574989194641,6941,6941,6941,35,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,55,358,0.846368715084,0,4,1.0,0,421,1.0,0,6249,1.0,0,733,1.0,0,356,1.0,0.9932274350449452,8121,8121,8121,55,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,71,461,0.845986984816,0,4,1.0,0,468,1.0,0,6944,1.0,0,869,1.0,0,441,1.0,0.9922716882551431,9187,9187,9187,71,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,102,663,0.846153846154,0,5,1.0,0,515,1.0,0,7638,1.0,0,966,1.0,0,495,1.0,0.990079751021202,10282,10282,10282,102,0
12,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,137,716,0.808659217877,0,5,1.0,0,562,1.0,0,8332,1.0,0,1029,1.0,0,560,1.0,0.9878614780435558,11204,11204,11204,138,0
13,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,176,734,0.760217983651,0,6,1.0,0,608,1.0,0,9027,1.0,0,1191,1.0,0,643,1.0,0.9856663117372431,12209,12209,12209,177,0
14,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,212,894,0.762863534676,0,6,1.0,0,655,1.0,0,9721,1.0,0,1471,1.0,0,692,1.0,0.9842994270407024,13439,13439,13439,213,0
15,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,252,1056,0.761363636364,0,7,1.0,0,702,1.0,0,10416,1.0,0,1737,1.0,0,710,1.0,0.9829094886519004,14628,14628,14628,254,0
16,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,288,1323,0.78231292517,0,7,1.0,0,749,1.0,0,11110,1.0,0,2637,1.0,0,726,1.0,0.9827211213146447,16552,16552,16552,290,0
17,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,336,1616,0.792079207921,0,8,1.0,0,796,1.0,0,11805,1.0,0,2369,1.0,0,793,1.0,0.9809052740553287,17387,17387,17387,340,0
18,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,379,2044,0.81457925636,0,8,1.0,0,843,1.0,0,12499,1.0,0,2690,1.0,0,918,1.0,0.9803178612777602,19002,19002,19002,384,0
19,0,0.0,0.0,8,0,0.0,0,0.0,0.0,0,0.0,0.0,431,2145,0.799067599068,0,9,1.0,0,889,1.0,0,13193,1.0,0,3016,1.0,0,1003,1.0,0.9791162675882498,20255,20255,20255,439,0
20,0,0.0,0.0,9,0,0.0,0,0.0,0.0,0,0.0,0.0,484,2523,0.808164883076,0,9,1.0,0,936,1.0,0,13888,1.0,0,3251,1.0,0,1070,1.0,0.9780873737140748,21677,21677,21677,493,0
21,0,0.0,0.0,13,0,0.0,0,0.0,0.0,0,0.0,0.0,560,2993,0.812896759105,0,10,1.0,0,983,1.0,0,14582,1.0,0,3590,1.0,0,1097,1.0,0.9764781767361858,23255,23255,23255,573,0
22,0,0.0,0.0,19,0,0.0,0,0.0,0.0,0,0.0,0.0,658,3638,0.819131390874,0,10,1.0,0,1030,1.0,0,15277,1.0,0,3715,1.0,0,1187,1.0,0.974292955706642,24857,24857,24857,677,0
23,0,0.0,0.0,25,0,0.0,0,0.0,0.0,0,0.0,0.0,777,4271,0.81807539218,0,11,1.0,0,1077,1.0,0,15971,1.0,0,3759,1.0,0,1313,1.0,0.9715173092947504,26402,26402,26402,802,0
24,0,0.0,0.0,28,0,0.0,0,0.0,0.0,0,0.0,0.0,906,4888,0.81464811784,0,11,1.0,0,1124,1.0,0,16665,1.0,0,3854,1.0,0,1419,1.0,0.9685991202031401,27961,27961,27961,934,0
25,0,0.0,0.0,34,0,0.0,0,0.0,0.0,0,0.0,0.0,1009,5640,0.82109929078,0,37,1.0,0,1170,1.0,0,17360,1.0,0,4003,1.0,0,1448,1.0,0.9671252275945782,29658,29658,29658,1043,0
26,0,0.0,0.0,47,0,0.0,0,0.0,0.0,0,0.0,0.0,1143,6162,0.814508276534,0,63,1.0,0,1217,1.0,0,18054,1.0,0,4082,1.0,0,1484,1.0,0.9647157298306612,31062,31062,31062,1190,0
27,0,0.0,0.0,55,0,0.0,0,0.0,0.0,0,0.0,0.0,1283,6729,0.809332738891,0,89,1.0,0,1264,1.0,0,18749,1.0,0,4161,1.0,0,1498,1.0,0.962203755001539,32490,32490,32490,1338,0
28,0,0.0,0.0,70,0,0.0,0,0.0,0.0,0,0.0,0.0,1430,7093,0.798392781616,0,115,1.0,2,1311,0.998474446987,0,19443,1.0,0,4240,1.0,0,1508,1.0,0.9595965588846039,33710,33710,33710,1502,0
29,0,0.0,0.0,86,0,0.0,0,0.0,0.0,0,0.0,0.0,1566,7532,0.792087095061,0,118,1.0,7,1358,0.994845360825,0,20137,1.0,0,4319,1.0,0,1520,1.0,0.9574948547907615,34984,34984,34984,1659,0
30,0,0.0,0.0,109,0,0.0,0,0.0,0.0,0,0.0,0.0,1712,8274,0.793086777858,0,121,1.0,19,1405,0.986476868327,0,20832,1.0,0,4398,1.0,0,1525,1.0,0.9556285049924771,36555,36555,36555,1840,0
31,0,0.0,0.0,135,0,0.0,0,0.0,0.0,0,0.0,0.0,1861,8661,0.785128738021,0,123,1.0,36,1452,0.97520661157,0,21526,1.0,0,4477,1.0,0,1754,1.0,0.9536230358223884,37993,37993,37993,2032,0
