Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,112,1.0,0,0,0.0,0,69,1.0,0,694,1.0,0,85,1.0,0,4,1.0,1.0,964,964,964,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,167,1.0,0,1,1.0,0,139,1.0,13,1388,0.990634005764,4,120,0.966666666667,0,4,1.0,0.9906542056074766,1819,1819,1819,17,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,184,1.0,0,2,1.0,0,209,1.0,27,2083,0.987037926068,13,131,0.900763358779,8,37,0.783783783784,0.981859410430839,2646,2646,2646,48,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,196,0.994897959184,0,3,1.0,0,278,1.0,55,2777,0.980194454447,24,189,0.873015873016,14,69,0.797101449275,0.9732346241457859,3512,3512,3512,94,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,4,246,0.983739837398,0,4,1.0,0,348,1.0,88,3472,0.97465437788,48,197,0.756345177665,20,86,0.767441860465,0.9632437399494601,4353,4353,4353,160,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,8,259,0.969111969112,0,5,1.0,0,418,1.0,146,4166,0.964954392703,68,296,0.77027027027,28,127,0.779527559055,0.9525706697021438,5271,5271,5271,250,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,18,309,0.941747572816,0,5,1.0,0,487,1.0,202,4860,0.958436213992,103,321,0.679127725857,38,145,0.737931034483,0.9410804635221153,6127,6127,6127,361,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,32,360,0.911111111111,0,6,1.0,0,557,1.0,261,5555,0.95301530153,144,461,0.687635574837,62,246,0.747967479675,0.9305497564370215,7185,7185,7185,499,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,47,368,0.872282608696,0,7,1.0,0,627,1.0,338,6249,0.945911345815,210,809,0.740420271941,80,364,0.78021978022,0.9198717948717948,8424,8424,8424,675,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,66,474,0.860759493671,0,8,1.0,0,696,1.0,427,6944,0.938508064516,269,959,0.719499478624,103,451,0.771618625277,0.9092530423835501,9532,9532,9532,865,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,89,681,0.869309838473,0,9,1.0,0,766,1.0,516,7638,0.932443047918,334,1066,0.686679174484,127,506,0.749011857708,0.9000562535158447,10666,10666,10666,1066,0
12,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,113,736,0.846467391304,0,10,1.0,0,836,1.0,627,8332,0.924747959674,417,1135,0.632599118943,151,572,0.736013986014,0.8875311935289562,11621,11621,11621,1309,0
13,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,133,754,0.823607427056,0,10,1.0,0,905,1.0,739,9027,0.918134485433,506,1313,0.614623000762,175,657,0.733637747336,0.8774672351176378,12666,12666,12666,1554,0
