Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,13,1388,0.990634005764,1,108,0.990740740741,0,3,1.0,0.992018244013683,1754,1754,1754,14,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,30,2083,0.985597695631,10,118,0.915254237288,5,36,0.861111111111,0.9824012514665624,2557,2557,2557,45,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,190,0.994736842105,0,1,1.0,0,187,1.0,51,2777,0.98163485776,23,171,0.865497076023,15,67,0.776119402985,0.9734748010610079,3393,3393,3393,90,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,9,239,0.962343096234,0,2,1.0,0,234,1.0,101,3472,0.970910138249,44,178,0.752808988764,27,84,0.678571428571,0.9569969113803753,4209,4209,4209,181,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,18,252,0.928571428571,0,2,1.0,0,281,1.0,151,4166,0.963754200672,72,268,0.731343283582,39,124,0.685483870968,0.9450225800117809,5093,5093,5093,280,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,24,301,0.920265780731,0,3,1.0,0,327,1.0,208,4860,0.957201646091,111,291,0.618556701031,55,142,0.612676056338,0.9328156650911547,5924,5924,5924,398,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,37,350,0.894285714286,0,3,1.0,0,374,1.0,289,5555,0.94797479748,155,418,0.629186602871,74,241,0.692946058091,0.9200403400086443,6941,6941,6941,555,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,53,358,0.851955307263,0,4,1.0,0,421,1.0,363,6249,0.941910705713,203,733,0.723055934516,93,356,0.738764044944,0.9123260682181997,8121,8121,8121,712,0
10,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,70,461,0.848156182213,0,4,1.0,0,468,1.0,455,6944,0.934475806452,259,869,0.701956271577,118,441,0.732426303855,0.9019266354631544,9187,9187,9187,903,0
11,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,83,663,0.874811463047,0,5,1.0,0,515,1.0,557,7638,0.927075150563,335,966,0.653209109731,142,495,0.713131313131,0.8915580626337288,10282,10282,10282,1119,0
12,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,106,716,0.851955307263,0,5,1.0,0,562,1.0,667,8332,0.919947191551,400,1029,0.611273080661,168,560,0.7,0.8804891110317744,11204,11204,11204,1343,0
13,0,0.0,0.0,2,0,0.0,0,0.0,0.0,1,0.0,0.0,133,734,0.818801089918,0,6,1.0,0,608,1.0,782,9027,0.913370998117,472,1191,0.603694374475,196,643,0.695178849145,0.8705872716848226,12209,12209,12209,1586,0
14,0,0.0,0.0,2,0,0.0,0,0.0,0.0,1,0.0,0.0,167,894,0.813199105145,0,6,1.0,0,655,1.0,893,9721,0.90813702294,577,1471,0.607749830048,228,692,0.670520231214,0.8614480244065779,13439,13439,13439,1868,0
15,0,0.0,0.0,4,0,0.0,0,0.0,0.0,1,0.0,0.0,204,1056,0.806818181818,0,7,1.0,0,702,1.0,1006,10416,0.90341781874,658,1737,0.621185952792,260,710,0.633802816901,0.8548673776319388,14628,14628,14628,2133,0
16,0,0.0,0.0,4,0,0.0,0,0.0,0.0,1,0.0,0.0,239,1323,0.819349962207,0,7,1.0,0,749,1.0,1134,11110,0.897929792979,757,2637,0.712931361396,298,726,0.589531680441,0.8536128564523925,16552,16552,16552,2433,0
17,0,0.0,0.0,5,0,0.0,0,0.0,0.0,1,0.0,0.0,282,1616,0.825495049505,0,8,1.0,0,796,1.0,1298,11805,0.890046590428,869,2369,0.633178556353,338,793,0.573770491803,0.8400529130959913,17387,17387,17387,2793,0
18,0,0.0,0.0,8,0,0.0,0,0.0,0.0,1,0.0,0.0,323,2044,0.841976516634,0,8,1.0,0,843,1.0,1465,12499,0.88279062325,968,2690,0.640148698885,390,918,0.575163398693,0.8349121145142616,19002,19002,19002,3155,0
19,0,0.0,0.0,11,0,0.0,0,0.0,0.0,1,0.0,0.0,368,2145,0.828438228438,0,9,1.0,0,889,1.0,1645,13193,0.875312665808,1099,3016,0.635610079576,430,1003,0.571286141575,0.825722043939768,20255,20255,20255,3554,0
20,0,0.0,0.0,14,0,0.0,0,0.0,0.0,1,0.0,0.0,418,2523,0.834324217202,0,9,1.0,0,936,1.0,1822,13888,0.868807603687,1207,3251,0.628729621655,475,1070,0.556074766355,0.8197628823176639,21677,21677,21677,3937,0
21,0,0.0,0.0,16,0,0.0,0,0.0,0.0,2,0.0,0.0,536,2993,0.820915469429,0,10,1.0,0,983,1.0,2001,14582,0.862776025237,1330,3590,0.629526462396,535,1097,0.512306289881,0.8114814018490647,23255,23255,23255,4420,0
22,0,0.0,0.0,20,0,0.0,0,0.0,0.0,2,0.0,0.0,632,3638,0.826278174821,0,10,1.0,0,1030,1.0,2189,15277,0.856712705374,1450,3715,0.609690444145,580,1187,0.511373209773,0.8057287685561412,24857,24857,24857,4873,0
23,0,0.0,0.0,25,0,0.0,0,0.0,0.0,3,0.0,0.0,746,4271,0.825333645516,0,11,1.0,0,1077,1.0,2387,15971,0.850541606662,1592,3759,0.576483107209,635,1313,0.516374714395,0.7980456026058632,26402,26402,26402,5388,0
24,0,0.0,0.0,27,0,0.0,0,0.0,0.0,3,0.0,0.0,861,4888,0.823854337152,0,11,1.0,0,1124,1.0,2588,16665,0.844704470447,1749,3854,0.546185781007,677,1419,0.522903453136,0.7909588355209041,27961,27961,27961,5905,0
25,0,0.0,0.0,35,0,0.0,0,0.0,0.0,4,0.0,0.0,971,5640,0.827836879433,0,37,1.0,0,1170,1.0,2783,17360,0.839688940092,1904,4003,0.524356732451,745,1448,0.485497237569,0.7854204599096365,29658,29658,29658,6442,0
26,1,0.0,0.0,49,0,0.0,0,0.0,0.0,5,0.0,0.0,1104,6162,0.820837390458,0,63,1.0,0,1217,1.0,2978,18054,0.835050404343,2072,4082,0.492405683488,804,1484,0.458221024259,0.7777670465520572,31062,31062,31062,7013,0
27,4,0.0,0.0,65,0,0.0,0,0.0,0.0,6,0.0,0.0,1219,6729,0.818843810373,0,89,1.0,0,1264,1.0,3189,18749,0.829910928583,2271,4161,0.454217736121,851,1498,0.431909212283,0.7705447830101569,32490,32490,32490,7605,0
28,5,0.0,0.0,75,0,0.0,0,0.0,0.0,7,0.0,0.0,1363,7093,0.807838714225,0,115,1.0,3,1311,0.997711670481,3402,19443,0.825027002006,2430,4240,0.426886792453,909,1508,0.397214854111,0.7620884010679324,33710,33710,33710,8194,0
29,8,0.0,0.0,93,0,0.0,0,0.0,0.0,9,0.0,0.0,1484,7532,0.802973977695,0,118,1.0,10,1358,0.99263622975,3617,20137,0.820380394299,2597,4319,0.398703403566,971,1520,0.361184210526,0.7550594557512006,34984,34984,34984,8789,0
