Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,5,1388,0.996397694524,4,108,0.962962962963,0,3,1.0,0.9948688711516533,1754,1754,1754,9,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,26,2083,0.98751800288,18,118,0.847457627119,8,36,0.777777777778,0.979663668361361,2557,2557,2557,52,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2,190,0.989473684211,0,1,1.0,0,187,1.0,46,2777,0.983435361901,31,171,0.818713450292,13,67,0.805970149254,0.972885352195697,3393,3393,3393,92,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,12,239,0.949790794979,0,2,1.0,0,234,1.0,75,3472,0.978398617512,57,178,0.679775280899,21,84,0.75,0.9607982893799002,4209,4209,4209,165,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,16,252,0.936507936508,0,2,1.0,0,281,1.0,119,4166,0.971435429669,83,268,0.690298507463,33,124,0.733870967742,0.9507166699391322,5093,5093,5093,251,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,31,301,0.897009966777,0,3,1.0,0,327,1.0,167,4860,0.965637860082,119,291,0.591065292096,41,142,0.711267605634,0.9395678595543552,5924,5924,5924,358,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,47,350,0.865714285714,0,3,1.0,0,374,1.0,230,5555,0.958595859586,157,418,0.624401913876,62,241,0.742738589212,0.9285405561158334,6941,6941,6941,496,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,65,358,0.81843575419,0,4,1.0,0,421,1.0,300,6249,0.951992318771,198,733,0.729877216917,84,356,0.76404494382,0.9203300086196281,8121,8121,8121,647,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,87,461,0.811279826464,0,4,1.0,0,468,1.0,384,6944,0.944700460829,258,869,0.703107019563,103,441,0.766439909297,0.909437248285621,9187,9187,9187,832,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,110,663,0.834087481146,0,5,1.0,0,515,1.0,482,7638,0.936894474993,319,966,0.669772256729,125,495,0.747474747475,0.8992413927251508,10282,10282,10282,1036,0
12,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,141,716,0.803072625698,0,5,1.0,0,562,1.0,579,8332,0.930508881421,386,1029,0.624878522838,152,560,0.728571428571,0.8877186719028918,11204,11204,11204,1258,0
13,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,171,734,0.767029972752,0,6,1.0,0,608,1.0,675,9027,0.925224327019,465,1191,0.609571788413,184,643,0.713841368585,0.8775493488410189,12209,12209,12209,1495,0
14,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,198,894,0.778523489933,0,6,1.0,0,655,1.0,786,9721,0.919144120975,548,1471,0.627464309993,210,692,0.696531791908,0.8704516705111988,13439,13439,13439,1743,0
15,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,238,1056,0.774621212121,0,7,1.0,0,702,1.0,925,10416,0.911194316436,628,1737,0.63845710996,257,710,0.638028169014,0.8601996171725458,14628,14628,14628,2051,0
16,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,282,1323,0.786848072562,0,7,1.0,0,749,1.0,1076,11110,0.903150315032,712,2637,0.729996207812,292,726,0.597796143251,0.8575398743354278,16552,16552,16552,2366,0
17,0,0.0,0.0,6,0,0.0,0,0.0,0.0,0,0.0,0.0,327,1616,0.797648514851,0,8,1.0,0,796,1.0,1227,11805,0.896060991105,822,2369,0.653018151119,336,793,0.576292559899,0.8443664807039742,17387,17387,17387,2718,0
18,0,0.0,0.0,10,0,0.0,0,0.0,0.0,0,0.0,0.0,367,2044,0.820450097847,0,8,1.0,0,843,1.0,1376,12499,0.889911192895,917,2690,0.659107806691,389,918,0.576252723312,0.8400694663719609,19002,19002,19002,3059,0
19,0,0.0,0.0,12,0,0.0,0,0.0,0.0,0,0.0,0.0,422,2145,0.803263403263,0,9,1.0,0,889,1.0,1549,13193,0.882589251876,1032,3016,0.657824933687,425,1003,0.576271186441,0.8313502838805233,20255,20255,20255,3440,0
20,0,0.0,0.0,12,0,0.0,0,0.0,0.0,0,0.0,0.0,483,2523,0.808561236623,0,9,1.0,0,936,1.0,1742,13888,0.87456797235,1168,3251,0.640725930483,480,1070,0.551401869159,0.8218849471790377,21677,21677,21677,3885,0
21,0,0.0,0.0,15,0,0.0,0,0.0,0.0,0,0.0,0.0,566,2993,0.810892081524,0,10,1.0,0,983,1.0,1934,14582,0.867370731038,1301,3590,0.637604456825,528,1097,0.518687329079,0.8144915072027521,23255,23255,23255,4344,0
22,0,0.0,0.0,15,0,0.0,0,0.0,0.0,0,0.0,0.0,673,3638,0.815008246289,0,10,1.0,0,1030,1.0,2126,15277,0.860836551679,1424,3715,0.61668909825,599,1187,0.495366470093,0.8066138311139719,24857,24857,24857,4837,0
23,0,0.0,0.0,16,0,0.0,0,0.0,0.0,0,0.0,0.0,761,4271,0.82182158745,0,11,1.0,0,1077,1.0,2335,15971,0.853797507983,1545,3759,0.588986432562,659,1313,0.498095963442,0.7998636466934324,26402,26402,26402,5316,0
24,0,0.0,0.0,24,0,0.0,0,0.0,0.0,0,0.0,0.0,883,4888,0.819353518822,0,11,1.0,0,1124,1.0,2566,16665,0.84602460246,1713,3854,0.55552672548,722,1419,0.491190979563,0.7904223740209577,27961,27961,27961,5908,0
25,0,0.0,0.0,30,0,0.0,0,0.0,0.0,0,0.0,0.0,988,5640,0.824822695035,0,37,1.0,0,1170,1.0,2795,17360,0.838997695853,1874,4003,0.531851111666,787,1448,0.456491712707,0.7837345741452559,29658,29658,29658,6474,0
26,0,0.0,0.0,37,0,0.0,0,0.0,0.0,0,0.0,0.0,1108,6162,0.820188250568,0,63,1.0,0,1217,1.0,3032,18054,0.832059377423,2008,4082,0.508084272415,844,1484,0.431266846361,0.7760929753396433,31062,31062,31062,7029,0
27,0,0.0,0.0,46,0,0.0,0,0.0,0.0,0,0.0,0.0,1234,6729,0.816614652995,0,89,1.0,0,1264,1.0,3269,18749,0.825644034348,2166,4161,0.479452054795,902,1498,0.397863818425,0.7683902739304401,32490,32490,32490,7617,0
28,0,0.0,0.0,65,0,0.0,0,0.0,0.0,0,0.0,0.0,1369,7093,0.806992809812,0,115,1.0,3,1311,0.997711670481,3509,19443,0.819523736049,2324,4240,0.451886792453,950,1508,0.370026525199,0.7600118659151587,33710,33710,33710,8220,0
29,0,0.0,0.0,89,0,0.0,0,0.0,0.0,0,0.0,0.0,1519,7532,0.798327137546,0,118,1.0,16,1358,0.988217967599,3726,20137,0.814967472811,2488,4319,0.42394072702,1002,1520,0.340789473684,0.7524010976446376,34984,34984,34984,8840,0
