Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,11,1388,0.992074927954,2,108,0.981481481481,0,3,1.0,0.992588369441277,1754,1754,1754,13,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,28,2083,0.986557849256,9,118,0.923728813559,4,36,0.888888888889,0.9839655846695347,2557,2557,2557,41,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2,190,0.989473684211,0,1,1.0,0,187,1.0,56,2777,0.979834353619,21,171,0.877192982456,11,67,0.835820895522,0.9734748010610079,3393,3393,3393,90,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,6,239,0.97489539749,0,2,1.0,0,234,1.0,88,3472,0.97465437788,47,178,0.73595505618,17,84,0.797619047619,0.9624613922546923,4209,4209,4209,158,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,17,252,0.93253968254,0,2,1.0,0,281,1.0,134,4166,0.967834853577,73,268,0.727611940299,27,124,0.782258064516,0.9507166699391322,5093,5093,5093,251,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,32,301,0.893687707641,0,3,1.0,0,327,1.0,166,4860,0.965843621399,109,291,0.625429553265,46,142,0.676056338028,0.9404118838622553,5924,5924,5924,353,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,46,350,0.868571428571,0,3,1.0,0,374,1.0,230,5555,0.958595859586,147,418,0.648325358852,62,241,0.742738589212,0.9301253421697162,6941,6941,6941,485,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,65,358,0.81843575419,0,4,1.0,0,421,1.0,303,6249,0.951512241959,183,733,0.75034106412,84,356,0.76404494382,0.9218076591552764,8121,8121,8121,635,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,88,461,0.809110629067,0,4,1.0,0,468,1.0,388,6944,0.944124423963,239,869,0.7249712313,109,441,0.75283446712,0.9103080439751823,9187,9187,9187,824,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,115,663,0.826546003017,0,5,1.0,0,515,1.0,490,7638,0.935847080388,300,966,0.689440993789,125,495,0.747474747475,0.8998249367827271,10282,10282,10282,1030,0
12,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,143,716,0.800279329609,0,5,1.0,0,562,1.0,599,8332,0.92810849736,358,1029,0.652089407191,152,560,0.728571428571,0.888254194930382,11204,11204,11204,1252,0
13,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,176,734,0.760217983651,0,6,1.0,0,608,1.0,720,9027,0.920239282154,437,1191,0.633081444165,183,643,0.715396578538,0.8758293062494881,12209,12209,12209,1516,0
14,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,213,894,0.761744966443,0,6,1.0,0,655,1.0,841,9721,0.913486266845,542,1471,0.631543167913,206,692,0.702312138728,0.8659126423096957,13439,13439,13439,1802,0
15,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,243,1056,0.769886363636,0,7,1.0,0,702,1.0,952,10416,0.908602150538,632,1737,0.636154289004,239,710,0.66338028169,0.8587640142193055,14628,14628,14628,2066,0
16,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,288,1323,0.78231292517,0,7,1.0,0,749,1.0,1099,11110,0.901080108011,726,2637,0.724687144482,277,726,0.618457300275,0.8557878202029966,16552,16552,16552,2393,0
17,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,333,1616,0.793935643564,0,8,1.0,0,796,1.0,1289,11805,0.890808979246,826,2369,0.651329674968,319,793,0.597730138714,0.841030655087134,17387,17387,17387,2770,0
18,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,371,2044,0.818493150685,0,8,1.0,0,843,1.0,1435,12499,0.885190815265,945,2690,0.648698884758,352,918,0.616557734205,0.8369119040101042,19002,19002,19002,3107,0
19,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,419,2145,0.804662004662,0,9,1.0,0,889,1.0,1603,13193,0.878496172213,1058,3016,0.649204244032,385,1003,0.616151545364,0.829177980745495,20255,20255,20255,3470,0
20,0,0.0,0.0,8,0,0.0,0,0.0,0.0,0,0.0,0.0,475,2523,0.811732065002,0,9,1.0,0,936,1.0,1769,13888,0.872623847926,1178,3251,0.63764995386,436,1070,0.592523364486,0.8223923974719749,21677,21677,21677,3866,0
21,0,0.0,0.0,11,0,0.0,0,0.0,0.0,0,0.0,0.0,559,2993,0.813230872035,0,10,1.0,0,983,1.0,1966,14582,0.865176244685,1312,3590,0.634540389972,488,1097,0.55515041021,0.8144915072027521,23255,23255,23255,4336,0
22,0,0.0,0.0,16,0,0.0,0,0.0,0.0,0,0.0,0.0,638,3638,0.824628916987,0,10,1.0,0,1030,1.0,2154,15277,0.859003731099,1448,3715,0.610228802153,545,1187,0.540859309183,0.8081425755320433,24857,24857,24857,4801,0
23,0,0.0,0.0,18,0,0.0,0,0.0,0.0,0,0.0,0.0,725,4271,0.830250526809,0,11,1.0,0,1077,1.0,2367,15971,0.851793876401,1583,3759,0.578877361,597,1313,0.545316070069,0.800999924248163,26402,26402,26402,5290,0
24,0,0.0,0.0,32,0,0.0,0,0.0,0.0,0,0.0,0.0,853,4888,0.825490998363,0,11,1.0,0,1124,1.0,2588,16665,0.844704470447,1728,3854,0.551634665283,650,1419,0.54193093728,0.7930331533206967,27961,27961,27961,5851,0
25,0,0.0,0.0,43,0,0.0,0,0.0,0.0,0,0.0,0.0,966,5640,0.828723404255,0,37,1.0,0,1170,1.0,2795,17360,0.838997695853,1885,4003,0.529103172621,721,1448,0.502071823204,0.786769168521141,29658,29658,29658,6410,0
26,0,0.0,0.0,49,0,0.0,0,0.0,0.0,0,0.0,0.0,1092,6162,0.822784810127,0,63,1.0,0,1217,1.0,2999,18054,0.833887227207,2053,4082,0.497060264576,791,1484,0.466981132075,0.7783143390638079,31062,31062,31062,6984,0
27,0,0.0,0.0,63,0,0.0,0,0.0,0.0,0,0.0,0.0,1223,6729,0.818249368405,0,89,1.0,0,1264,1.0,3234,18749,0.827510800576,2208,4161,0.469358327325,839,1498,0.439919893191,0.7709756848261003,32490,32490,32490,7567,0
28,0,0.0,0.0,77,0,0.0,0,0.0,0.0,0,0.0,0.0,1356,7093,0.808825602707,0,115,1.0,2,1311,0.998474446987,3435,19443,0.823329733066,2358,4240,0.443867924528,882,1508,0.415119363395,0.7639869474933254,33710,33710,33710,8110,0
29,0,0.0,0.0,90,0,0.0,0,0.0,0.0,0,0.0,0.0,1503,7532,0.800451407329,0,118,1.0,8,1358,0.9941089838,3654,20137,0.818542980583,2499,4319,0.421393841167,951,1520,0.374342105263,0.7563171735650583,34984,34984,34984,8705,0
