Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,0,1388,1.0,0,108,1.0,0,3,1.0,1.0,1754,1754,1754,0,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,0,2083,1.0,0,118,1.0,0,36,1.0,1.0,2557,2557,2557,0,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2,190,0.989473684211,0,1,1.0,0,187,1.0,0,2777,1.0,0,171,1.0,0,67,1.0,0.999410551134689,3393,3393,3393,2,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,7,239,0.970711297071,0,2,1.0,0,234,1.0,0,3472,1.0,0,178,1.0,0,84,1.0,0.9983368971252079,4209,4209,4209,7,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,14,252,0.944444444444,0,2,1.0,0,281,1.0,0,4166,1.0,0,268,1.0,0,124,1.0,0.9972511290005891,5093,5093,5093,14,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,26,301,0.913621262458,0,3,1.0,0,327,1.0,0,4860,1.0,0,291,1.0,0,142,1.0,0.9956110735989196,5924,5924,5924,26,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,42,350,0.88,0,3,1.0,0,374,1.0,0,5555,1.0,0,418,1.0,0,241,1.0,0.9939489987033568,6941,6941,6941,42,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,52,358,0.854748603352,0,4,1.0,0,421,1.0,0,6249,1.0,0,733,1.0,0,356,1.0,0.9935968476788573,8121,8121,8121,52,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,70,461,0.848156182213,0,4,1.0,0,468,1.0,0,6944,1.0,0,869,1.0,0,441,1.0,0.9923805377163383,9187,9187,9187,70,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,96,663,0.85520361991,0,5,1.0,0,515,1.0,0,7638,1.0,0,966,1.0,0,495,1.0,0.9906632950787785,10282,10282,10282,96,0
12,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,124,716,0.826815642458,0,5,1.0,0,562,1.0,0,8332,1.0,0,1029,1.0,0,560,1.0,0.9889325240985363,11204,11204,11204,124,0
13,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,159,734,0.783378746594,0,6,1.0,0,608,1.0,0,9027,1.0,0,1191,1.0,0,643,1.0,0.9869768203784094,12209,12209,12209,159,0
14,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,195,894,0.781879194631,0,6,1.0,0,655,1.0,0,9721,1.0,0,1471,1.0,0,692,1.0,0.9854899918148672,13439,13439,13439,195,0
15,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,234,1056,0.778409090909,0,7,1.0,0,702,1.0,0,10416,1.0,0,1737,1.0,0,710,1.0,0.9840032813781788,14628,14628,14628,234,0
16,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,267,1323,0.798185941043,0,7,1.0,0,749,1.0,0,11110,1.0,0,2637,1.0,0,726,1.0,0.9839898501691638,16552,16552,16552,269,0
17,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,313,1616,0.806311881188,0,8,1.0,0,796,1.0,0,11805,1.0,0,2369,1.0,0,793,1.0,0.9822281014551102,17387,17387,17387,317,0
18,0,0.0,0.0,6,0,0.0,0,0.0,0.0,0,0.0,0.0,375,2044,0.816536203523,0,8,1.0,0,843,1.0,0,12499,1.0,0,2690,1.0,0,918,1.0,0.9805809914745817,19002,19002,19002,381,0
19,0,0.0,0.0,8,0,0.0,0,0.0,0.0,0,0.0,0.0,427,2145,0.800932400932,0,9,1.0,0,889,1.0,0,13193,1.0,0,3016,1.0,0,1003,1.0,0.9793137496914343,20255,20255,20255,435,0
20,0,0.0,0.0,8,0,0.0,0,0.0,0.0,0,0.0,0.0,492,2523,0.804994054697,0,9,1.0,0,936,1.0,0,13888,1.0,0,3251,1.0,0,1070,1.0,0.9776721871107625,21677,21677,21677,500,0
21,0,0.0,0.0,9,0,0.0,0,0.0,0.0,0,0.0,0.0,579,2993,0.806548613431,0,10,1.0,0,983,1.0,0,14582,1.0,0,3590,1.0,0,1097,1.0,0.9754891421199742,23255,23255,23255,588,0
22,0,0.0,0.0,12,0,0.0,0,0.0,0.0,0,0.0,0.0,679,3638,0.813358988455,0,10,1.0,0,1030,1.0,0,15277,1.0,0,3715,1.0,0,1187,1.0,0.973166512451221,24857,24857,24857,691,0
23,0,0.0,0.0,13,0,0.0,0,0.0,0.0,0,0.0,0.0,778,4271,0.817841254975,0,11,1.0,0,1077,1.0,0,15971,1.0,0,3759,1.0,0,1313,1.0,0.9710249223543671,26402,26402,26402,791,0
24,0,0.0,0.0,22,0,0.0,0,0.0,0.0,0,0.0,0.0,895,4888,0.816898527005,0,11,1.0,0,1124,1.0,0,16665,1.0,0,3854,1.0,0,1419,1.0,0.9687779407031222,27961,27961,27961,917,0
25,0,0.0,0.0,31,0,0.0,0,0.0,0.0,0,0.0,0.0,1027,5640,0.817907801418,0,37,1.0,0,1170,1.0,0,17360,1.0,0,4003,1.0,0,1448,1.0,0.9664171555735384,29658,29658,29658,1058,0
26,0,0.0,0.0,42,0,0.0,0,0.0,0.0,0,0.0,0.0,1147,6162,0.813859136644,0,63,1.0,0,1217,1.0,0,18054,1.0,0,4082,1.0,0,1484,1.0,0.964425986736205,31062,31062,31062,1189,0
27,0,0.0,0.0,51,0,0.0,0,0.0,0.0,0,0.0,0.0,1285,6729,0.809035517908,0,89,1.0,0,1264,1.0,0,18749,1.0,0,4161,1.0,0,1498,1.0,0.962019082794706,32490,32490,32490,1336,0
28,0,0.0,0.0,68,0,0.0,0,0.0,0.0,0,0.0,0.0,1429,7093,0.798533765684,0,115,1.0,3,1311,0.997711670481,0,19443,1.0,0,4240,1.0,0,1508,1.0,0.9595372293088105,33710,33710,33710,1500,0
29,0,0.0,0.0,90,0,0.0,0,0.0,0.0,0,0.0,0.0,1568,7532,0.791821561338,1,118,0.991525423729,11,1358,0.991899852725,0,20137,1.0,0,4319,1.0,0,1520,1.0,0.957409101303453,34984,34984,34984,1670,0
30,0,0.0,0.0,111,0,0.0,0,0.0,0.0,0,0.0,0.0,1716,8274,0.792603335751,1,121,0.99173553719,22,1405,0.984341637011,0,20832,1.0,0,4398,1.0,0,1525,1.0,0.9554643687594037,36555,36555,36555,1850,0
31,0,0.0,0.0,131,0,0.0,0,0.0,0.0,0,0.0,0.0,1860,8661,0.78524419813,1,123,0.991869918699,38,1452,0.973829201102,0,21526,1.0,0,4477,1.0,0,1754,1.0,0.9534651119943147,37993,37993,37993,2030,0
