Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,5,1388,0.996397694524,5,108,0.953703703704,0,3,1.0,0.9942987457240593,1754,1754,1754,10,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,14,2083,0.993278924628,11,118,0.906779661017,6,36,0.833333333333,0.9878764176769652,2557,2557,2557,31,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,190,0.994736842105,0,1,1.0,0,187,1.0,46,2777,0.983435361901,22,171,0.87134502924,15,67,0.776119402985,0.9752431476569408,3393,3393,3393,84,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2,239,0.991631799163,0,2,1.0,0,234,1.0,87,3472,0.974942396313,42,178,0.76404494382,24,84,0.714285714286,0.9631741506296032,4209,4209,4209,155,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,13,252,0.948412698413,0,2,1.0,0,281,1.0,138,4166,0.966874699952,69,268,0.742537313433,32,124,0.741935483871,0.9505203220106028,5093,5093,5093,252,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,23,301,0.923588039867,0,3,1.0,0,327,1.0,181,4860,0.962757201646,98,291,0.66323024055,45,142,0.683098591549,0.9414247130317354,5924,5924,5924,347,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,31,350,0.911428571429,0,3,1.0,0,374,1.0,236,5555,0.957515751575,140,418,0.665071770335,66,241,0.726141078838,0.9318541996830428,6941,6941,6941,473,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,43,358,0.879888268156,0,4,1.0,0,421,1.0,304,6249,0.951352216355,192,733,0.738062755798,86,356,0.758426966292,0.92303903460165,8121,8121,8121,625,0
10,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,58,461,0.874186550976,0,4,1.0,0,468,1.0,386,6944,0.944412442396,246,869,0.716915995397,103,441,0.766439909297,0.9137912267334277,9187,9187,9187,794,0
11,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,86,663,0.870286576169,0,5,1.0,0,515,1.0,483,7638,0.936763550668,313,966,0.675983436853,131,495,0.735353535354,0.9015755689554561,10282,10282,10282,1014,0
12,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,109,716,0.847765363128,0,5,1.0,0,562,1.0,605,8332,0.927388382141,396,1029,0.615160349854,167,560,0.701785714286,0.8861121028204213,11204,11204,11204,1278,0
13,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,127,734,0.826975476839,0,6,1.0,0,608,1.0,705,9027,0.921900963775,475,1191,0.601175482788,198,643,0.692068429238,0.8768121877303628,12209,12209,12209,1506,0
14,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,157,894,0.824384787472,0,6,1.0,0,655,1.0,836,9721,0.91400061722,566,1471,0.615227736234,229,692,0.669075144509,0.8671032070838605,13439,13439,13439,1790,0
15,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,185,1056,0.824810606061,0,7,1.0,0,702,1.0,970,10416,0.906874039939,659,1737,0.620610247553,269,710,0.621126760563,0.8578069455838119,14628,14628,14628,2086,0
16,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,231,1323,0.825396825397,0,7,1.0,0,749,1.0,1099,11110,0.901080108011,750,2637,0.71558589306,303,726,0.582644628099,0.8562107298211696,16552,16552,16552,2386,0
17,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,278,1616,0.82797029703,0,8,1.0,0,796,1.0,1245,11805,0.894536213469,860,2369,0.636977627691,348,793,0.561160151324,0.8431011675389659,17387,17387,17387,2734,0
18,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,320,2044,0.843444227006,0,8,1.0,0,843,1.0,1394,12499,0.888471077686,967,2690,0.640520446097,393,918,0.571895424837,0.8384906851910325,19002,19002,19002,3079,0
19,0,0.0,0.0,8,0,0.0,0,0.0,0.0,0,0.0,0.0,380,2145,0.822843822844,0,9,1.0,0,889,1.0,1565,13193,0.881376487531,1094,3016,0.637267904509,436,1003,0.565304087737,0.8288323870649222,20255,20255,20255,3483,0
20,0,0.0,0.0,11,0,0.0,0,0.0,0.0,0,0.0,0.0,440,2523,0.82560443916,0,9,1.0,0,936,1.0,1755,13888,0.873631912442,1238,3251,0.619194094125,485,1070,0.546728971963,0.8197628823176639,21677,21677,21677,3929,0
21,0,0.0,0.0,13,0,0.0,0,0.0,0.0,0,0.0,0.0,536,2993,0.820915469429,0,10,1.0,0,983,1.0,1943,14582,0.866753531751,1370,3590,0.618384401114,533,1097,0.514129443938,0.8121264244248548,23255,23255,23255,4395,0
22,0,0.0,0.0,19,0,0.0,0,0.0,0.0,0,0.0,0.0,641,3638,0.82380428807,0,10,1.0,0,1030,1.0,2141,15277,0.859854683511,1512,3715,0.593001345895,574,1187,0.516427969671,0.8049241662308404,24857,24857,24857,4887,0
23,0,0.0,0.0,23,0,0.0,0,0.0,0.0,0,0.0,0.0,768,4271,0.820182627019,0,11,1.0,0,1077,1.0,2356,15971,0.852482624757,1656,3759,0.559457302474,622,1313,0.526275704494,0.7962654344367851,26402,26402,26402,5425,0
24,0,0.0,0.0,30,0,0.0,0,0.0,0.0,0,0.0,0.0,882,4888,0.819558101473,0,11,1.0,0,1124,1.0,2579,16665,0.845244524452,1801,3854,0.532693305656,666,1419,0.530655391121,0.7890633382210936,27961,27961,27961,5958,0
25,0,0.0,0.0,43,0,0.0,0,0.0,0.0,0,0.0,0.0,989,5640,0.824645390071,0,37,1.0,0,1170,1.0,2808,17360,0.838248847926,1964,4003,0.509367974019,723,1448,0.500690607735,0.7828241958324904,29658,29658,29658,6527,0
26,0,0.0,0.0,60,0,0.0,0,0.0,0.0,0,0.0,0.0,1113,6162,0.819376825706,0,63,1.0,0,1217,1.0,3053,18054,0.830896200288,2106,4082,0.484076433121,774,1484,0.478436657682,0.7750949713476273,31062,31062,31062,7106,0
27,0,0.0,0.0,75,0,0.0,0,0.0,0.0,0,0.0,0.0,1239,6729,0.815871600535,0,89,1.0,0,1264,1.0,3286,18749,0.824737319324,2275,4161,0.453256428743,829,1498,0.446595460614,0.7674976915974145,32490,32490,32490,7704,0
28,0,0.0,0.0,87,0,0.0,0,0.0,0.0,0,0.0,0.0,1351,7093,0.809530523051,0,115,1.0,2,1311,0.998474446987,3501,19443,0.819935195186,2423,4240,0.428537735849,892,1508,0.40848806366,0.7602491842183329,33710,33710,33710,8256,0
29,0,0.0,0.0,105,0,0.0,0,0.0,0.0,0,0.0,0.0,1485,7532,0.802841210834,0,118,1.0,8,1358,0.9941089838,3732,20137,0.81466951383,2596,4319,0.398934938643,942,1520,0.380263157895,0.7525154356277155,34984,34984,34984,8868,0
