Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,112,1.0,0,0,0.0,0,69,1.0,0,694,1.0,0,85,1.0,0,4,1.0,1.0,964,964,964,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,167,1.0,0,1,1.0,0,139,1.0,7,1388,0.994956772334,5,120,0.958333333333,0,4,1.0,0.9934029686641012,1819,1819,1819,12,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,184,1.0,0,2,1.0,0,209,1.0,26,2083,0.98751800288,18,131,0.862595419847,6,37,0.837837837838,0.981103552532124,2646,2646,2646,50,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,4,196,0.979591836735,0,3,1.0,0,278,1.0,51,2777,0.98163485776,32,189,0.830687830688,12,69,0.826086956522,0.9718109339407744,3512,3512,3512,99,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,7,246,0.971544715447,0,4,1.0,0,348,1.0,90,3472,0.974078341014,48,197,0.756345177665,17,86,0.802325581395,0.9627842866988284,4353,4353,4353,162,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,12,259,0.953667953668,0,5,1.0,0,418,1.0,132,4166,0.968314930389,74,296,0.75,31,127,0.755905511811,0.9527603870233352,5271,5271,5271,249,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,19,309,0.938511326861,0,5,1.0,0,487,1.0,176,4860,0.96378600823,122,321,0.619937694704,38,145,0.737931034483,0.9420597355965399,6127,6127,6127,355,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,35,360,0.902777777778,0,6,1.0,0,557,1.0,239,5555,0.95697569757,163,461,0.646420824295,68,246,0.723577235772,0.929714683368128,7185,7185,7185,505,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,55,368,0.850543478261,0,7,1.0,0,627,1.0,311,6249,0.950232037126,222,809,0.725587144623,81,364,0.777472527473,0.9205840455840456,8424,8424,8424,669,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,73,474,0.845991561181,0,8,1.0,0,696,1.0,400,6944,0.942396313364,277,959,0.711157455683,103,451,0.771618625277,0.9105119597146454,9532,9532,9532,853,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,103,681,0.848751835536,0,9,1.0,0,766,1.0,500,7638,0.93453783713,347,1066,0.674484052533,121,506,0.760869565217,0.8995874742171386,10666,10666,10666,1071,0
12,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,128,736,0.826086956522,0,10,1.0,0,836,1.0,607,8332,0.927148343735,410,1135,0.638766519824,154,572,0.730769230769,0.8882196024438517,11621,11621,11621,1299,0
13,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,171,754,0.773209549072,0,10,1.0,0,905,1.0,735,9027,0.918577600532,499,1313,0.619954303123,187,657,0.715372907154,0.8743091741670614,12666,12666,12666,1592,0
