Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,112,1.0,0,0,0.0,0,69,1.0,0,694,1.0,0,85,1.0,0,4,1.0,1.0,964,964,964,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,167,1.0,0,1,1.0,0,139,1.0,10,1388,0.992795389049,3,120,0.975,0,4,1.0,0.9928532160527762,1819,1819,1819,13,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,184,1.0,0,2,1.0,0,209,1.0,23,2083,0.988958233317,10,131,0.923664122137,7,37,0.810810810811,0.9848828420256992,2646,2646,2646,40,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,196,0.994897959184,0,3,1.0,0,278,1.0,47,2777,0.983075261073,20,189,0.89417989418,16,69,0.768115942029,0.9760820045558086,3512,3512,3512,84,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,7,246,0.971544715447,0,4,1.0,0,348,1.0,89,3472,0.974366359447,33,197,0.832487309645,27,86,0.686046511628,0.9641626464507237,4353,4353,4353,156,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,17,259,0.934362934363,0,5,1.0,0,418,1.0,147,4166,0.964714354297,54,296,0.817567567568,40,127,0.685039370079,0.9510529311326124,5271,5271,5271,258,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,25,309,0.919093851133,0,5,1.0,0,487,1.0,203,4860,0.958230452675,88,321,0.725856697819,54,145,0.627586206897,0.9396115554104782,6127,6127,6127,370,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,35,360,0.902777777778,0,6,1.0,0,557,1.0,268,5555,0.951755175518,137,461,0.702819956616,73,246,0.70325203252,0.9286012526096034,7185,7185,7185,513,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,57,368,0.845108695652,0,7,1.0,0,627,1.0,353,6249,0.943510961754,189,809,0.766378244747,94,364,0.741758241758,0.9177350427350427,8424,8424,8424,693,0
10,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,70,474,0.852320675105,0,8,1.0,0,696,1.0,452,6944,0.934907834101,251,959,0.73826903024,118,451,0.738359201774,0.9066302979437684,9532,9532,9532,892,0
11,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,85,681,0.875183553598,0,9,1.0,0,766,1.0,551,7638,0.927860696517,318,1066,0.701688555347,141,506,0.721343873518,0.8974310894430902,10666,10666,10666,1096,0
12,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,107,736,0.854619565217,0,10,1.0,0,836,1.0,654,8332,0.921507441191,371,1135,0.673127753304,171,572,0.701048951049,0.8879614491007659,11621,11621,11621,1304,0
13,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,134,754,0.822281167109,0,10,1.0,0,905,1.0,788,9027,0.912706325468,465,1313,0.645849200305,210,657,0.680365296804,0.8740723195957681,12666,12666,12666,1599,0
