Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,10,1388,0.992795389049,3,108,0.972222222222,0,3,1.0,0.992588369441277,1754,1754,1754,13,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,26,2083,0.98751800288,14,118,0.881355932203,0,36,1.0,0.9843566679702777,2557,2557,2557,40,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,190,1.0,0,1,1.0,0,187,1.0,49,2777,0.982355059417,30,171,0.824561403509,6,67,0.910447761194,0.9749484232242853,3393,3393,3393,85,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,4,239,0.983263598326,0,2,1.0,0,234,1.0,95,3472,0.972638248848,46,178,0.741573033708,18,84,0.785714285714,0.9612734616298408,4209,4209,4209,163,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,8,252,0.968253968254,0,2,1.0,0,281,1.0,132,4166,0.968314930389,75,268,0.720149253731,34,124,0.725806451613,0.9511093657961909,5093,5093,5093,249,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,17,301,0.943521594684,0,3,1.0,0,327,1.0,182,4860,0.962551440329,110,291,0.621993127148,49,142,0.654929577465,0.9395678595543552,5924,5924,5924,358,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,35,350,0.9,0,3,1.0,0,374,1.0,249,5555,0.955175517552,152,418,0.636363636364,73,241,0.697095435685,0.9266676271430629,6941,6941,6941,509,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,46,358,0.871508379888,0,4,1.0,0,421,1.0,307,6249,0.950872139542,201,733,0.725784447476,94,356,0.73595505618,0.9202068710749908,8121,8121,8121,648,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,65,461,0.859002169197,0,4,1.0,0,468,1.0,411,6944,0.940812211982,258,869,0.703107019563,116,441,0.736961451247,0.907477957984108,9187,9187,9187,850,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,91,663,0.862745098039,0,5,1.0,0,515,1.0,508,7638,0.933490442524,325,966,0.663561076605,146,495,0.705050505051,0.8959346430655515,10282,10282,10282,1070,0
12,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,114,716,0.840782122905,0,5,1.0,0,562,1.0,620,8332,0.925588094095,401,1029,0.610301263362,170,560,0.696428571429,0.8835237415208854,11204,11204,11204,1305,0
13,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,140,734,0.809264305177,0,6,1.0,0,608,1.0,712,9027,0.921125512352,483,1191,0.594458438287,201,643,0.687402799378,0.8741911704480302,12209,12209,12209,1536,0
14,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,178,894,0.800894854586,0,6,1.0,0,655,1.0,809,9721,0.916778109248,568,1471,0.613868116927,225,692,0.674855491329,0.8676240791725575,13439,13439,13439,1781,0
15,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,217,1056,0.794507575758,0,7,1.0,0,702,1.0,941,10416,0.909658218126,652,1737,0.624640184226,256,710,0.639436619718,0.8589007383100903,14628,14628,14628,2068,0
16,1,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,272,1323,0.79440665155,0,7,1.0,0,749,1.0,1062,11110,0.904410441044,744,2637,0.717861205916,288,726,0.603305785124,0.8572377960367327,16552,16552,16552,2369,0
17,1,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,338,1616,0.790841584158,0,8,1.0,0,796,1.0,1207,11805,0.897755188479,840,2369,0.645420008442,332,793,0.581336696091,0.8439063668257893,17387,17387,17387,2720,0
18,1,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,403,2044,0.802837573386,0,8,1.0,0,843,1.0,1354,12499,0.891671333707,951,2690,0.646468401487,372,918,0.59477124183,0.8381223029154826,19002,19002,19002,3084,0
19,1,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,454,2145,0.788344988345,1,9,0.888888888889,0,889,1.0,1519,13193,0.884863185022,1071,3016,0.644893899204,416,1003,0.585244267198,0.8294248333744755,20255,20255,20255,3467,0
20,2,0.0,0.0,6,0,0.0,0,0.0,0.0,0,0.0,0.0,510,2523,0.797859690844,1,9,0.888888888889,0,936,1.0,1702,13888,0.877448156682,1190,3251,0.633958781913,474,1070,0.557009345794,0.8215158924205379,21677,21677,21677,3885,0
21,4,0.0,0.0,9,0,0.0,0,0.0,0.0,2,0.0,0.0,622,2993,0.792181757434,1,10,0.9,0,983,1.0,1895,14582,0.870045261281,1332,3590,0.628969359331,524,1097,0.522333637192,0.8125564394753816,23255,23255,23255,4389,0
22,5,0.0,0.0,14,0,0.0,0,0.0,0.0,2,0.0,0.0,710,3638,0.80483782298,1,10,0.9,0,1030,1.0,2084,15277,0.863585782549,1484,3715,0.600538358008,565,1187,0.52401010952,0.8059701492537313,24857,24857,24857,4865,0
23,5,0.0,0.0,17,0,0.0,0,0.0,0.0,3,0.0,0.0,815,4271,0.809178178413,1,11,0.909090909091,0,1077,1.0,2292,15971,0.856489887922,1629,3759,0.566640063847,619,1313,0.528560548363,0.7980834785243542,26402,26402,26402,5381,0
24,5,0.0,0.0,24,0,0.0,0,0.0,0.0,6,0.0,0.0,934,4888,0.808919803601,1,11,0.909090909091,0,1124,1.0,2514,16665,0.849144914491,1793,3854,0.534769071095,663,1419,0.532769556025,0.7900647330209936,27961,27961,27961,5940,0
25,8,0.0,0.0,31,0,0.0,0,0.0,0.0,8,0.0,0.0,1056,5640,0.812765957447,1,37,0.972972972973,0,1170,1.0,2739,17360,0.842223502304,1970,4003,0.507869098176,702,1448,0.515193370166,0.7834985501382427,29658,29658,29658,6515,0
26,11,0.0,0.0,44,0,0.0,0,0.0,0.0,8,0.0,0.0,1169,6162,0.810288867251,1,63,0.984126984127,0,1217,1.0,2968,18054,0.835604298216,2119,4082,0.480891719745,764,1484,0.485175202156,0.7759963943081579,31062,31062,31062,7084,0
27,15,0.0,0.0,60,0,0.0,0,0.0,0.0,9,0.0,0.0,1282,6729,0.809481349383,1,89,0.988764044944,0,1264,1.0,3192,18749,0.829750920049,2283,4161,0.451333813987,816,1498,0.455273698264,0.7694675284702985,32490,32490,32490,7658,0
28,15,0.0,0.0,79,0,0.0,0,0.0,0.0,12,0.0,0.0,1401,7093,0.802481319611,1,115,0.991304347826,1,1311,0.999237223494,3398,19443,0.825232731574,2451,4240,0.421933962264,882,1508,0.415119363395,0.7618510827647582,33710,33710,33710,8240,0
29,15,0.0,0.0,97,0,0.0,0,0.0,0.0,12,0.0,0.0,1515,7532,0.798858204992,2,118,0.983050847458,12,1358,0.9911634757,3627,20137,0.819883795997,2598,4319,0.398471868488,946,1520,0.377631578947,0.7548593642808141,34984,34984,34984,8824,0
