Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,8,1388,0.994236311239,4,108,0.962962962963,0,3,1.0,0.9931584948688712,1754,1754,1754,12,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,28,2083,0.986557849256,14,118,0.881355932203,6,36,0.833333333333,0.9812280015643332,2557,2557,2557,48,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,3,190,0.984210526316,0,1,1.0,0,187,1.0,51,2777,0.98163485776,28,171,0.836257309942,14,67,0.791044776119,0.9717064544650752,3393,3393,3393,96,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,10,239,0.958158995816,0,2,1.0,0,234,1.0,83,3472,0.976094470046,45,178,0.747191011236,32,84,0.619047619048,0.9596103587550487,4209,4209,4209,170,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,15,252,0.940476190476,0,2,1.0,0,281,1.0,126,4166,0.969755160826,64,268,0.761194029851,47,124,0.620967741935,0.9505203220106028,5093,5093,5093,252,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,20,301,0.933554817276,0,3,1.0,0,327,1.0,173,4860,0.964403292181,95,291,0.6735395189,60,142,0.577464788732,0.9412559081701553,5924,5924,5924,348,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,34,350,0.902857142857,0,3,1.0,0,374,1.0,234,5555,0.957875787579,137,418,0.672248803828,76,241,0.684647302905,0.9307016280074917,6941,6941,6941,481,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,49,358,0.86312849162,0,4,1.0,0,421,1.0,297,6249,0.952472395583,188,733,0.743519781719,96,356,0.730337078652,0.9224233468784633,8121,8121,8121,630,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,59,461,0.872017353579,0,4,1.0,0,468,1.0,382,6944,0.944988479263,246,869,0.716915995397,123,441,0.721088435374,0.9118319364319146,9187,9187,9187,810,0
11,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,82,663,0.876319758673,0,5,1.0,0,515,1.0,476,7638,0.937680020948,333,966,0.655279503106,159,495,0.678787878788,0.8979770472670686,10282,10282,10282,1051,0
12,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,114,716,0.840782122905,0,5,1.0,0,562,1.0,561,8332,0.932669227076,404,1029,0.607385811467,185,560,0.669642857143,0.8873616565512317,11204,11204,11204,1266,0
13,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,142,734,0.806539509537,0,6,1.0,0,608,1.0,662,9027,0.926664451091,481,1191,0.596137699412,213,643,0.668740279938,0.8776312556310918,12209,12209,12209,1502,0
14,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,176,894,0.803131991051,0,6,1.0,0,655,1.0,790,9721,0.918732640675,553,1471,0.624065261727,243,692,0.648843930636,0.869261105737034,13439,13439,13439,1767,0
15,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,217,1056,0.794507575758,0,7,1.0,0,702,1.0,888,10416,0.914746543779,626,1737,0.639608520438,283,710,0.601408450704,0.8626606508066721,14628,14628,14628,2019,0
16,0,0.0,0.0,7,0,0.0,0,0.0,0.0,0,0.0,0.0,268,1323,0.797430083144,0,7,1.0,0,749,1.0,1016,11110,0.908550855086,731,2637,0.722791050436,333,726,0.54132231405,0.8585669405509908,16552,16552,16552,2355,0
17,0,0.0,0.0,7,0,0.0,0,0.0,0.0,0,0.0,0.0,321,1616,0.801361386139,0,8,1.0,0,796,1.0,1178,11805,0.900211774672,841,2369,0.644997889405,365,793,0.539722572509,0.844826594582159,17387,17387,17387,2712,0
18,1,0.0,0.0,8,0,0.0,0,0.0,0.0,0,0.0,0.0,374,2044,0.817025440313,0,8,1.0,0,843,1.0,1339,12499,0.892871429714,958,2690,0.643866171004,400,918,0.564270152505,0.8388590674665825,19002,19002,19002,3080,0
19,2,0.0,0.0,11,0,0.0,0,0.0,0.0,1,0.0,0.0,429,2145,0.8,0,9,1.0,0,889,1.0,1500,13193,0.886303342682,1081,3016,0.641578249337,433,1003,0.568295114656,0.830708467045174,20255,20255,20255,3457,0
20,2,0.0,0.0,13,0,0.0,0,0.0,0.0,1,0.0,0.0,491,2523,0.805390408244,0,9,1.0,0,936,1.0,1672,13888,0.879608294931,1206,3251,0.629037219317,487,1070,0.544859813084,0.8228537159200996,21677,21677,21677,3872,0
21,3,0.0,0.0,15,0,0.0,0,0.0,0.0,1,0.0,0.0,587,2993,0.80387570999,0,10,1.0,0,983,1.0,1871,14582,0.871691126046,1323,3590,0.63147632312,537,1097,0.510483135825,0.8151365297785422,23255,23255,23255,4337,0
22,3,0.0,0.0,19,0,0.0,0,0.0,0.0,2,0.0,0.0,685,3638,0.811709730621,0,10,1.0,0,1030,1.0,2065,15277,0.864829482228,1454,3715,0.608613728129,580,1187,0.511373209773,0.8085046465784286,24857,24857,24857,4808,0
23,4,0.0,0.0,22,0,0.0,0,0.0,0.0,4,0.0,0.0,796,4271,0.813626785296,0,11,1.0,0,1077,1.0,2259,15971,0.858556132991,1605,3759,0.573024740623,630,1313,0.52018278751,0.8007726687372169,26402,26402,26402,5320,0
24,5,0.0,0.0,28,0,0.0,0,0.0,0.0,4,0.0,0.0,911,4888,0.813625204583,0,11,1.0,0,1124,1.0,2485,16665,0.850885088509,1769,3854,0.54099636741,680,1419,0.520789288231,0.7922821072207717,27961,27961,27961,5882,0
25,5,0.0,0.0,43,0,0.0,0,0.0,0.0,5,0.0,0.0,1030,5640,0.817375886525,0,37,1.0,0,1170,1.0,2698,17360,0.844585253456,1909,4003,0.523107669248,742,1448,0.487569060773,0.7867017330905658,29658,29658,29658,6432,0
26,6,0.0,0.0,55,0,0.0,0,0.0,0.0,7,0.0,0.0,1162,6162,0.811424862058,0,63,1.0,0,1217,1.0,2916,18054,0.838484546361,2059,4082,0.495590396864,796,1484,0.463611859838,0.7789904062842058,31062,31062,31062,7001,0
27,7,0.0,0.0,74,0,0.0,0,0.0,0.0,7,0.0,0.0,1286,6729,0.808886907416,1,89,0.988764044944,0,1264,1.0,3149,18749,0.8320443757,2226,4161,0.465032444124,850,1498,0.432576769025,0.7714989227454602,32490,32490,32490,7600,0
28,8,0.0,0.0,91,0,0.0,0,0.0,0.0,9,0.0,0.0,1432,7093,0.798110813478,1,115,0.991304347826,2,1311,0.998474446987,3389,19443,0.825695623103,2398,4240,0.434433962264,913,1508,0.394562334218,0.761880747552655,33710,33710,33710,8243,0
29,9,0.0,0.0,106,0,0.0,0,0.0,0.0,11,0.0,0.0,1557,7532,0.793281996814,1,118,0.991525423729,8,1358,0.9941089838,3595,20137,0.821472910563,2564,4319,0.406344061125,970,1520,0.361842105263,0.7550594557512006,34984,34984,34984,8821,0
