Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,8,1388,0.994236311239,5,108,0.953703703704,0,3,1.0,0.992588369441277,1754,1754,1754,13,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,26,2083,0.98751800288,13,118,0.889830508475,3,36,0.916666666667,0.9835745013687915,2557,2557,2557,42,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,190,0.994736842105,0,1,1.0,0,187,1.0,53,2777,0.980914656104,34,171,0.801169590643,6,67,0.910447761194,0.9722959033303861,3393,3393,3393,94,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,3,239,0.987447698745,0,2,1.0,0,234,1.0,91,3472,0.973790322581,50,178,0.719101123596,14,84,0.833333333333,0.9624613922546923,4209,4209,4209,158,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,11,252,0.956349206349,0,2,1.0,0,281,1.0,135,4166,0.96759481517,75,268,0.720149253731,22,124,0.822580645161,0.952287453367367,5093,5093,5093,243,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,18,301,0.940199335548,0,3,1.0,0,327,1.0,188,4860,0.961316872428,114,291,0.60824742268,38,142,0.732394366197,0.9395678595543552,5924,5924,5924,358,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,27,350,0.922857142857,0,3,1.0,0,374,1.0,252,5555,0.954635463546,154,418,0.631578947368,60,241,0.751037344398,0.9289727704941652,6941,6941,6941,493,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,49,358,0.86312849162,0,4,1.0,0,421,1.0,333,6249,0.946711473836,207,733,0.717598908595,80,356,0.775280898876,0.9176209826376062,8121,8121,8121,669,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,69,461,0.85032537961,0,4,1.0,0,468,1.0,425,6944,0.938796082949,257,869,0.704257767549,98,441,0.777777777778,0.9075868074453032,9187,9187,9187,849,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,94,663,0.858220211161,0,5,1.0,0,515,1.0,522,7638,0.931657501964,326,966,0.662525879917,126,495,0.745454545455,0.8961291577514102,10282,10282,10282,1068,0
12,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,111,716,0.844972067039,0,5,1.0,0,562,1.0,618,8332,0.925828132501,403,1029,0.608357628766,152,560,0.728571428571,0.8853980721171011,11204,11204,11204,1284,0
13,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,140,734,0.809264305177,0,6,1.0,0,608,1.0,737,9027,0.918356042982,479,1191,0.597816960537,187,643,0.709175738725,0.8736997297075928,12209,12209,12209,1544,0
14,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,179,894,0.799776286353,0,6,1.0,0,655,1.0,856,9721,0.911943215719,546,1471,0.6288239293,225,692,0.674855491329,0.8657638217129251,13439,13439,13439,1808,0
15,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,220,1056,0.791666666667,0,7,1.0,0,702,1.0,978,10416,0.906105990783,638,1737,0.632700057571,259,710,0.635211267606,0.8569866010391031,14628,14628,14628,2098,0
16,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,257,1323,0.80574452003,0,7,1.0,0,749,1.0,1109,11110,0.900180018002,732,2637,0.722411831627,290,726,0.600550964187,0.8559690671822137,16552,16552,16552,2392,0
17,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,309,1616,0.808787128713,0,8,1.0,0,796,1.0,1285,11805,0.891147818721,832,2369,0.648796960743,334,793,0.578814627995,0.8414907689653189,17387,17387,17387,2764,0
18,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,355,2044,0.826320939335,0,8,1.0,0,843,1.0,1458,12499,0.883350668053,923,2690,0.65687732342,389,918,0.576252723312,0.8357541311440901,19002,19002,19002,3129,0
19,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,412,2145,0.807925407925,0,9,1.0,0,889,1.0,1641,13193,0.875615856894,1034,3016,0.657161803714,425,1003,0.576271186441,0.8268081955072821,20255,20255,20255,3516,0
20,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,465,2523,0.815695600476,0,9,1.0,0,936,1.0,1850,13888,0.866791474654,1172,3251,0.639495539834,480,1070,0.551401869159,0.8172256308529778,21677,21677,21677,3972,0
21,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,551,2993,0.815903775476,0,10,1.0,0,983,1.0,2014,14582,0.861884515156,1286,3590,0.641782729805,518,1097,0.527803099362,0.8123414319501182,23255,23255,23255,4374,0
22,0,0.0,0.0,6,0,0.0,0,0.0,0.0,0,0.0,0.0,641,3638,0.82380428807,0,10,1.0,0,1030,1.0,2204,15277,0.855730837206,1415,3715,0.619111709287,570,1187,0.519797809604,0.8059299191374663,24857,24857,24857,4836,0
23,0,0.0,0.0,8,0,0.0,0,0.0,0.0,0,0.0,0.0,757,4271,0.822758136268,0,11,1.0,0,1077,1.0,2410,15971,0.849101496462,1561,3759,0.584729981378,623,1313,0.525514089871,0.7976289675024619,26402,26402,26402,5359,0
24,0,0.0,0.0,11,0,0.0,0,0.0,0.0,0,0.0,0.0,881,4888,0.819762684124,0,11,1.0,0,1124,1.0,2591,16665,0.844524452445,1732,3854,0.550596782564,690,1419,0.513742071882,0.78959979972104,27961,27961,27961,5905,0
25,0,0.0,0.0,14,0,0.0,0,0.0,0.0,0,0.0,0.0,1012,5640,0.820567375887,0,37,1.0,0,1170,1.0,2779,17360,0.839919354839,1882,4003,0.529852610542,751,1448,0.48135359116,0.7838694450064063,29658,29658,29658,6438,0
26,0,0.0,0.0,19,0,0.0,0,0.0,0.0,0,0.0,0.0,1154,6162,0.812723141837,0,63,1.0,1,1217,0.999178307313,2985,18054,0.834662678631,2027,4082,0.503429691328,792,1484,0.466307277628,0.7765758804970704,31062,31062,31062,6978,0
27,0,0.0,0.0,23,0,0.0,0,0.0,0.0,0,0.0,0.0,1291,6729,0.808143854956,1,89,0.988764044944,1,1264,0.999208860759,3221,18749,0.828204170889,2187,4161,0.47440519106,843,1498,0.437249666222,0.7685133887349954,32490,32490,32490,7567,0
28,0,0.0,0.0,29,0,0.0,0,0.0,0.0,0,0.0,0.0,1405,7093,0.801917383336,1,115,0.991304347826,3,1311,0.997711670481,3452,19443,0.8224553824,2343,4240,0.447405660377,881,1508,0.415782493369,0.7610204687036488,33710,33710,33710,8114,0
29,0,0.0,0.0,37,0,0.0,0,0.0,0.0,0,0.0,0.0,1558,7532,0.793149229952,1,118,0.991525423729,11,1358,0.991899852725,3680,20137,0.817251824999,2524,4319,0.415605464228,952,1520,0.373684210526,0.7516293162588612,34984,34984,34984,8763,0
