Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,9,1388,0.993515850144,1,108,0.990740740741,0,3,1.0,0.9942987457240593,1754,1754,1754,10,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,23,2083,0.988958233317,11,118,0.906779661017,6,36,0.833333333333,0.9843566679702777,2557,2557,2557,40,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,4,190,0.978947368421,0,1,1.0,0,187,1.0,48,2777,0.982715160245,25,171,0.853801169591,12,67,0.820895522388,0.9737695254936635,3393,3393,3393,89,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,8,239,0.966527196653,0,2,1.0,0,234,1.0,81,3472,0.976670506912,50,178,0.719101123596,24,84,0.714285714286,0.9612734616298408,4209,4209,4209,163,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,18,252,0.928571428571,0,2,1.0,0,281,1.0,119,4166,0.971435429669,69,268,0.742537313433,39,124,0.685483870968,0.9518947575103083,5093,5093,5093,245,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,24,301,0.920265780731,0,3,1.0,0,327,1.0,167,4860,0.965637860082,88,291,0.697594501718,47,142,0.669014084507,0.9449696151249156,5924,5924,5924,326,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,38,350,0.891428571429,0,3,1.0,0,374,1.0,230,5555,0.958595859586,130,418,0.688995215311,64,241,0.734439834025,0.9334389857369255,6941,6941,6941,462,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,58,358,0.837988826816,0,4,1.0,0,421,1.0,307,6249,0.950872139542,181,733,0.75306957708,86,356,0.758426966292,0.9221770717891885,8121,8121,8121,632,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,77,461,0.832971800434,0,4,1.0,0,468,1.0,372,6944,0.946428571429,230,869,0.735327963176,109,441,0.75283446712,0.9142266245782084,9187,9187,9187,788,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,92,663,0.861236802413,0,5,1.0,0,515,1.0,449,7638,0.941214977743,294,966,0.695652173913,139,495,0.719191919192,0.905271347986773,10282,10282,10282,974,0
12,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,122,716,0.829608938547,0,5,1.0,0,562,1.0,560,8332,0.932789246279,348,1029,0.661807580175,174,560,0.689285714286,0.8925383791503034,11204,11204,11204,1204,0
13,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,162,734,0.779291553134,0,6,1.0,0,608,1.0,663,9027,0.926553672316,429,1191,0.639798488665,214,643,0.667185069984,0.8797608321729872,12209,12209,12209,1468,0
14,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,196,894,0.780760626398,0,6,1.0,0,655,1.0,785,9721,0.91924699105,521,1471,0.645819170632,235,692,0.660404624277,0.8707493117047399,13439,13439,13439,1737,0
15,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,240,1056,0.772727272727,0,7,1.0,0,702,1.0,903,10416,0.913306451613,616,1737,0.645365572827,272,710,0.616901408451,0.8611566858080394,14628,14628,14628,2031,0
16,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,285,1323,0.784580498866,0,7,1.0,0,749,1.0,1041,11110,0.906300630063,710,2637,0.73075464543,316,726,0.564738292011,0.8579023682938618,16552,16552,16552,2352,0
17,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,326,1616,0.798267326733,0,8,1.0,0,796,1.0,1202,11805,0.898178737823,820,2369,0.653862389194,348,793,0.561160151324,0.8449991372864784,17387,17387,17387,2697,0
18,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,384,2044,0.812133072407,0,8,1.0,0,843,1.0,1354,12499,0.891671333707,931,2690,0.653903345725,403,918,0.561002178649,0.8384906851910325,19002,19002,19002,3075,0
19,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,445,2145,0.792540792541,0,9,1.0,0,889,1.0,1548,13193,0.882665049648,1045,3016,0.653514588859,442,1003,0.559322033898,0.8283386818069612,20255,20255,20255,3483,0
20,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,506,2523,0.799445105034,0,9,1.0,0,936,1.0,1731,13888,0.875360023041,1172,3251,0.639495539834,489,1070,0.542990654206,0.8204087281450385,21677,21677,21677,3903,0
21,0,0.0,0.0,8,0,0.0,0,0.0,0.0,0,0.0,0.0,601,2993,0.799198128968,0,10,1.0,0,983,1.0,1918,14582,0.868467974215,1303,3590,0.63704735376,540,1097,0.50774840474,0.8127714470006451,23255,23255,23255,4370,0
22,0,0.0,0.0,8,0,0.0,0,0.0,0.0,0,0.0,0.0,705,3638,0.806212204508,0,10,1.0,0,1030,1.0,2116,15277,0.861491130458,1437,3715,0.613189771198,586,1187,0.506318449874,0.8054471577422859,24857,24857,24857,4852,0
23,0,0.0,0.0,12,0,0.0,0,0.0,0.0,0,0.0,0.0,817,4271,0.808709904004,0,11,1.0,0,1077,1.0,2327,15971,0.854298415879,1581,3759,0.579409417398,630,1313,0.52018278751,0.7976289675024619,26402,26402,26402,5367,0
24,0,0.0,0.0,14,0,0.0,0,0.0,0.0,0,0.0,0.0,942,4888,0.80728314239,0,11,1.0,0,1124,1.0,2537,16665,0.847764776478,1740,3854,0.548521017125,680,1419,0.520789288231,0.7895282715210472,27961,27961,27961,5913,0
25,0,0.0,0.0,20,0,0.0,0,0.0,0.0,0,0.0,0.0,1060,5640,0.812056737589,0,37,1.0,0,1170,1.0,2756,17360,0.841244239631,1909,4003,0.523107669248,723,1448,0.500690607735,0.7832625261312294,29658,29658,29658,6468,0
26,0,0.0,0.0,26,0,0.0,0,0.0,0.0,0,0.0,0.0,1177,6162,0.808990587472,0,63,1.0,0,1217,1.0,2973,18054,0.835327351279,2081,4082,0.490200881921,767,1484,0.483153638814,0.7755456828278926,31062,31062,31062,7024,0
27,0,0.0,0.0,30,0,0.0,0,0.0,0.0,0,0.0,0.0,1311,6729,0.805171645118,0,89,1.0,0,1264,1.0,3178,18749,0.83049762654,2209,4161,0.469118000481,820,1498,0.452603471295,0.7695290858725762,32490,32490,32490,7548,0
28,0,0.0,0.0,39,0,0.0,0,0.0,0.0,0,0.0,0.0,1434,7093,0.79782884534,0,115,1.0,4,1311,0.996948893974,3397,19443,0.825284163966,2405,4240,0.432783018868,871,1508,0.422413793103,0.7605458320973005,33710,33710,33710,8150,0
29,0,0.0,0.0,47,0,0.0,0,0.0,0.0,0,0.0,0.0,1548,7532,0.794476898566,0,118,1.0,12,1358,0.9911634757,3587,20137,0.821870189204,2560,4319,0.407270201436,922,1520,0.393421052632,0.7546878573061971,34984,34984,34984,8676,0
