#name,region,country,lat,lon,location_type,conflict_date,population
Egypt,Egypt,Egypt,30.046,31.222,camp,,16987
Hama,Hama,Syria,35.13872,36.75606,conflict_zone,3,1628000
Idleb,Idleb,Syria,35.9267,36.6306,conflict_zone,0,1500000
Aleppo,Aleppo,Syria,36.206,37.1524,conflict_zone,0,4867000
Deir_ez_Zur,Deir_ez_Zur,Syria,35.3248,40.1111,conflict_zone,3,1239000
Latakia,Lattakia,Syria,35.53562,35.79115,conflict_zone,4,1278000
Damascus,Damascus,Syria,33.5172,36.2767,conflict_zone,3,2211000
Daraa,Dar'a,Syria,32.6241,36.1049,conflict_zone,0,998000
Homs,Homs,Syria,34.73,36.7197,conflict_zone,1,1763000
Qalamoun,Rural Damascus,Syria,34.0686,36.5419,conflict_zone,0,2831000
Quneitra,Quneitra,Syria,33.1242,35.8264,conflict_zone,25,87000
Shadadeh,Al_Hasakeh,Syria,36.0534,40.7268,conflict_zone,16,15000
Raqqa,Raqqa,Syria,35.9518,39.0121,conflict_zone,1,921000
Al_Hasakeh,Al_Hasakeh,Syria,36.5028,40.749,conflict_zone,16,1512000
As-Sweida,As-Sweida,Syria,32.7068,36.568,conflict_zone,20,364000
Hatay,Hatay,Turkey,36.1299,36.2412,camp,,59688
Gaziantep,Gaziantep,Turkey,36.8673,38.0289,camp,,337708
Sanliurfa,Sanliurfa,Turkey,36.7533,38.9481,camp,,117805
Kilis,Kilis,Turkey,36.7062,37.1091,camp,,109951
Cevdetiye,Cevdetiye,Turkey,37.139,36.2121,camp,,149220
Dahuk,Dahuk,Iraq,36.8752,43.0027,camp,,84502
Anbar,Anbar,Iraq,34.1891,41.2411,camp,,1407
Sulaymaniyah,Sulaymaniyah,Iraq,35.5487,45.4311,camp,,32180
Erbil,Erbil,Iraq,36.1897,44.0083,camp,,125067
Amman,Amman,Jordan,31.9335,35.9253,camp,,196230
Mafraq,Mafraq,Jordan,32.3213,36.2096,camp,,165564
Irbid,Irbid,Jordan,32.5607,35.8333,camp,,136471
Zarqa,Zarqa,Jordan,32.0803,36.0599,camp,,97292
Balqa,Balqa,Jordan,32,35.6667,camp,,18341
Madaba,Madaba,Jordan,31.6627,35.7385,camp,,13136
Jarash,Jarash,Jordan,32.2686,35.9088,camp,,9342
Karak,Karak,Jordan,31.2104,35.7124,camp,,8552
Maan,Maan,Jordan,30.2211,35.7385,camp,,8319
Ajlun,Ajlun,Jordan,32.322,35.7578,camp,,6499
Aqaba,Aqaba,Jordan,29.5673,35.2028,camp,,3748
Tafilah,Tafilah,Jordan,30.8291,35.6108,camp,,1694
