Date,Refugees_numbers
2017-01-01,4820620
2017-01-05,4827183
2017-01-12,4867520
2017-01-19,4867617
2017-01-31,4871543
2017-02-01,4871942
2017-02-09,4913607
2017-02-16,4927530
2017-02-28,4932379
2017-03-09,4979552
2017-03-15,4980382
2017-03-23,4990077
2017-03-30,4992597
2017-03-31,4993784
2017-04-05,4994799
2017-04-06,4999110
2017-04-27,5017697
2017-04-30,5053883
2017-05-01,5053929
2017-05-18,5054511
2017-05-31,5056261
2017-06-01,5056748
2017-06-15,5114060
2017-06-19,5114530
2017-06-29,5114530
2017-06-30,5105369
2017-07-03,5105698
2017-07-06,5135733
2017-07-27,5162751
2017-07-31,5164715
2017-08-06,5164183
2017-08-20,5164023
2017-08-31,5165566
2017-09-06,5164269
2017-09-07,5226094
2017-09-14,5241937
2017-09-18,5237394
2017-09-28,5234331
2017-09-29,5260925
2017-09-30,5263256
2017-10-05,5277125
2017-10-12,5291117
2017-10-19,5307122
2017-10-31,5309071
2017-11-02,5342607
2017-11-05,5342902
2017-11-09,5360482
2017-11-16,5378362
2017-11-30,5414965
2017-12-05,5415497
2017-12-07,5436587
2017-12-14,5455777
2017-12-18,5455092
2017-12-21,5467265
2017-12-28,5479134
2017-12-31,5479277
2018-01-02,5479998
2018-01-25,5522024
2018-01-31,5521003
2018-02-01,5540384
2018-02-04,5542388
2018-02-08,5563276
2018-02-15,5580725
2018-02-22,5588160
2018-02-28,5587198
2018-03-31,5587488
2018-03-01,5596720
2018-03-08,5603266
2018-03-13,5604701
2018-03-15,5615444
2018-03-22,5622655
2018-03-29,5628078
2018-03-31,5627799
2018-04-05,5633234
2018-04-07,5635918
2018-04-12,5641599
2018-04-19,5647532
2018-04-26,5652230
2018-04-30,5649715
2018-05-10,5647517
2018-05-17,5654702
2018-05-24,5654488
2018-05-31,5645227
2018-06-07,5641047
2018-06-13,5638130
2018-06-21,5632145
2018-06-24,5632650
2018-06-28,5624821
2018-06-30,5619553
2018-07-05,5611102
2018-07-12,5603935
2018-07-19,5598602
2018-07-26,5590852
2018-07-29,5592438
2018-07-31,5593823
2018-08-02,5602251
2018-08-09,5605294
2018-08-16,5608274
2018-08-29,5612304
2018-08-31,5613076
2018-09-04,5615396
2018-09-06,5618557
2018-09-13,5622355
2018-09-21,5628012
2018-09-24,5629030
2018-09-27,5631769
2018-09-30,5610257
2018-09-24,5610334
2018-10-04,5620428
2018-10-08,5621139
2018-10-09,5620828
2018-10-11,5628814
2018-10-18,5631006
2018-10-24,5631665
2018-10-25,5633062
2018-10-31,5634258
2018-11-01,5641268
2018-11-08,5639163
2018-11-12,5639999
2018-11-15,5643705
2018-11-22,5649655
2018-11-29,5653330
2018-11-30,5655702
2018-12-06,5646325
