#closure_type,name1,name2,closure_start,closure_end
location,Anbar,Iraq,0,1064
location,Ajlun,Jordan,0,646
location,Akcakale,Turkey,730,1581
location,Beydagi,Turkey,973,1581
location,Ceylanpinar,Turkey,911,1581
location,Guvecci,Turkey,365,1581
location,Harran,Turkey,1003,1581
location,Islahiye,Turkey,638,1581
location,Karkamis,Turkey,638,1581
location,Merkez_a,Turkey,638,1581
location,midyat,Turkey,638,1581
location,Nizip_1,Turkey,638,1581
location,Nizip_2,Turkey,973,1581
location,Oncupinar,Turkey,973,1581
location,Suruc,Turkey,911,1581
location,Viransehir,Turkey,365,1581
