name1,name2,distance,force_redirection
Kolkata,Debhata,625.36,0
Debhata,Kaliganj,129.16,0
Kaliganj,Assasuni,137.42,0
Assasuni,Paikgachha,181.97,0
Paikgachha,Tala,168.52,0
Tala,Keshabpur,160.89,0
Keshabpur,Manirampur,120.39,0
Manirampur,Jessore(Jashore),141.32,0
Jessore(Jashore),Jhikargacha,122.2,0
Jhikargacha,Chaugachha,179.1,0
Chaugachha,Maheshpur,142.03,0
Maheshpur,Kotchandpur,105.5,0
Kotchandpur,Kaliganj,125.32,0
Kaliganj,Jhenaidah(Jhenida),139.59,0
Jhenaidah(Jhenida),Shailkupa,164.84,0
Shailkupa,Khoksa,120.31,0
Khoksa,Kumarkhali,75.26,0
Kumarkhali,Kushtia,117.53,0
Kushtia,Mirpur,137.02,0
Mirpur,Bheramara,83.93,0
Bheramara,Alamdanga,259.92,0
Alamdanga,Harinakundu,152.67,0
Harinakundu,Chuadanga,196.62,0
Chuadanga,Darshana(Damurhuda),136.31,0
Darshana(Damurhuda),Jibannagar,94.23,0
Jibannagar,Benapole,386.75,0
Benapole,Kalaroa,230.28,0
Kalaroa,Satkhira Sadar,143.22,0
Satkhira Sadar,Satkhira,4.85,0
Satkhira,Shyamnagar,380.84,0
Shyamnagar,Koyra,177.88,0
Koyra,Dacope,333.64,0
Dacope,Mongla,108.88,0
Mongla,Mongla,64.1,0
Mongla,Rampal,134.45,0
Rampal,Bagerhat Sadar,117.98,0
Bagerhat Sadar,Bagerhat,27.98,0
Bagerhat,Kachua,91.36,0
Kachua,Chitalmari,137.92,0
Chitalmari,Mollahat,153.97,0
Mollahat,Fakirhat,177.89,0
Fakirhat,Rupsa,128.06,0
Rupsa,Khulna,28.44,0
Khulna,Daulatpur,65.97,0
Daulatpur,Dumuria,82.03,0
Dumuria,Dumuria,0.0,0
Dumuria,Batiaghata,66.66,0
Batiaghata,Phultala,248.74,0
Phultala,Noapara,95.37,0
Noapara,Narail,177.87,0
Narail,Lohagara,147.49,0
Lohagara,Kalia,137.12,0
Kalia,Magura,486.87,0
Magura,Gangni,754.7,0
Gangni,Meherpur,126.03,0
Meherpur,Morrelganj,1802.42,0
Morrelganj,Morrelganj,0.0,0
Morrelganj,Sharankhola,137.18,0
Sharankhola,Sarankhola,0.0,0
