Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,6,1388,0.995677233429,4,108,0.962962962963,0,3,1.0,0.9942987457240593,1754,1754,1754,10,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,19,2083,0.990878540566,15,118,0.872881355932,5,36,0.861111111111,0.9847477512710208,2557,2557,2557,39,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,190,1.0,0,1,1.0,0,187,1.0,48,2777,0.982715160245,28,171,0.836257309942,11,67,0.835820895522,0.9743589743589743,3393,3393,3393,87,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,5,239,0.979079497908,0,2,1.0,0,234,1.0,76,3472,0.978110599078,49,178,0.724719101124,26,84,0.690476190476,0.9629365645046329,4209,4209,4209,156,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,10,252,0.960317460317,0,2,1.0,0,281,1.0,129,4166,0.969035045607,81,268,0.69776119403,34,124,0.725806451613,0.9501276261535441,5093,5093,5093,254,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,16,301,0.946843853821,0,3,1.0,0,327,1.0,193,4860,0.960288065844,118,291,0.594501718213,54,142,0.619718309859,0.9356853477380148,5924,5924,5924,381,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,28,350,0.92,0,3,1.0,0,374,1.0,270,5555,0.951395139514,178,418,0.574162679426,64,241,0.734439834025,0.9222014119003026,6941,6941,6941,540,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,44,358,0.877094972067,0,4,1.0,0,421,1.0,325,6249,0.947991678669,241,733,0.671214188267,82,356,0.769662921348,0.9147888191109469,8121,8121,8121,692,0
10,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,61,461,0.867678958785,0,4,1.0,0,468,1.0,412,6944,0.940668202765,288,869,0.668584579977,95,441,0.784580498866,0.9069337106781321,9187,9187,9187,857,0
11,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,75,663,0.886877828054,0,5,1.0,0,515,1.0,516,7638,0.932443047918,359,966,0.628364389234,120,495,0.757575757576,0.8960319004084808,10282,10282,10282,1071,0
12,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,99,716,0.861731843575,0,5,1.0,0,562,1.0,622,8332,0.925348055689,441,1029,0.571428571429,150,560,0.732142857143,0.8830774723313103,11204,11204,11204,1314,0
13,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,129,734,0.824250681199,0,6,1.0,0,608,1.0,734,9027,0.918688379307,508,1191,0.573467674223,176,643,0.726283048212,0.873454009337374,12209,12209,12209,1549,0
14,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,174,894,0.805369127517,0,6,1.0,0,655,1.0,850,9721,0.912560436169,586,1471,0.601631543168,213,692,0.692196531792,0.864498846640375,13439,13439,13439,1825,0
15,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,222,1056,0.789772727273,0,7,1.0,0,702,1.0,970,10416,0.906874039939,683,1737,0.606793321819,244,710,0.656338028169,0.8552775499042932,14628,14628,14628,2121,0
16,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,267,1323,0.798185941043,0,7,1.0,0,749,1.0,1105,11110,0.900540054005,771,2637,0.707622298066,277,726,0.618457300275,0.8539149347510875,16552,16552,16552,2422,0
17,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,309,1616,0.808787128713,0,8,1.0,0,796,1.0,1251,11805,0.894027954257,874,2369,0.631067961165,306,793,0.614123581337,0.842641053660781,17387,17387,17387,2744,0
18,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,347,2044,0.830234833659,0,8,1.0,0,843,1.0,1393,12499,0.888551084087,976,2690,0.63717472119,334,918,0.636165577342,0.8397537101357752,19002,19002,19002,3055,0
19,0,0.0,0.0,9,0,0.0,0,0.0,0.0,0,0.0,0.0,414,2145,0.806993006993,1,9,0.888888888889,0,889,1.0,1572,13193,0.88084590313,1095,3016,0.636936339523,390,1003,0.611166500499,0.8290298691681066,20255,20255,20255,3481,0
20,0,0.0,0.0,14,0,0.0,0,0.0,0.0,0,0.0,0.0,472,2523,0.812921125644,1,9,0.888888888889,0,936,1.0,1774,13888,0.872263824885,1220,3251,0.624730852046,438,1070,0.590654205607,0.8205009918346635,21677,21677,21677,3919,0
21,0,0.0,0.0,18,0,0.0,0,0.0,0.0,0,0.0,0.0,565,2993,0.811226194454,1,10,0.9,0,983,1.0,1954,14582,0.865999177068,1351,3590,0.623676880223,489,1097,0.554238833181,0.8132874650612771,23255,23255,23255,4378,0
22,0,0.0,0.0,24,0,0.0,0,0.0,0.0,0,0.0,0.0,664,3638,0.81748213304,1,10,0.9,0,1030,1.0,2109,15277,0.861949335603,1485,3715,0.600269179004,533,1187,0.550968828981,0.8081828056483084,24857,24857,24857,4816,0
23,0,0.0,0.0,31,0,0.0,0,0.0,0.0,0,0.0,0.0,796,4271,0.813626785296,1,11,0.909090909091,0,1077,1.0,2321,15971,0.8546740968,1660,3759,0.558393189678,585,1313,0.554455445545,0.7980456026058632,26402,26402,26402,5394,0
24,0,0.0,0.0,40,0,0.0,0,0.0,0.0,0,0.0,0.0,913,4888,0.81321603928,1,11,0.909090909091,0,1124,1.0,2520,16665,0.848784878488,1820,3854,0.52776336274,636,1419,0.551797040169,0.790780015020922,27961,27961,27961,5930,0
25,0,0.0,0.0,49,0,0.0,0,0.0,0.0,0,0.0,0.0,1033,5640,0.816843971631,1,37,0.972972972973,0,1170,1.0,2762,17360,0.840898617512,1968,4003,0.508368723457,692,1448,0.522099447514,0.7839705981522692,29658,29658,29658,6505,0
26,0,0.0,0.0,63,0,0.0,0,0.0,0.0,0,0.0,0.0,1153,6162,0.812885426809,1,63,0.984126984127,0,1217,1.0,2988,18054,0.834496510469,2133,4082,0.477462028417,757,1484,0.489892183288,0.7756422638593781,31062,31062,31062,7095,0
27,0,0.0,0.0,87,0,0.0,0,0.0,0.0,0,0.0,0.0,1276,6729,0.810373012335,2,89,0.977528089888,0,1264,1.0,3180,18749,0.830390954184,2304,4161,0.446286950252,804,1498,0.463284379172,0.7698060941828255,32490,32490,32490,7653,0
28,0,0.0,0.0,105,0,0.0,0,0.0,0.0,0,0.0,0.0,1436,7093,0.797546877203,2,115,0.982608695652,2,1311,0.998474446987,3395,19443,0.825387028751,2497,4240,0.41108490566,858,1508,0.431034482759,0.7601601898546425,33710,33710,33710,8295,0
29,0,0.0,0.0,123,0,0.0,0,0.0,0.0,0,0.0,0.0,1543,7532,0.795140732873,2,118,0.983050847458,8,1358,0.9941089838,3625,20137,0.819983115658,2645,4319,0.387589719843,905,1520,0.404605263158,0.7540304139034988,34984,34984,34984,8851,0
