Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,6,1388,0.995677233429,1,108,0.990740740741,0,3,1.0,0.9960091220068416,1754,1754,1754,7,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,21,2083,0.989918386942,7,118,0.940677966102,5,36,0.861111111111,0.9870942510754791,2557,2557,2557,33,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,4,190,0.978947368421,0,1,1.0,0,187,1.0,56,2777,0.979834353619,26,171,0.847953216374,18,67,0.731343283582,0.9693486590038314,3393,3393,3393,104,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,9,239,0.962343096234,0,2,1.0,0,234,1.0,84,3472,0.975806451613,46,178,0.741573033708,33,84,0.607142857143,0.9591351865051081,4209,4209,4209,172,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,17,252,0.93253968254,0,2,1.0,0,281,1.0,134,4166,0.967834853577,85,268,0.682835820896,42,124,0.661290322581,0.9454152758688396,5093,5093,5093,278,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,28,301,0.906976744186,0,3,1.0,0,327,1.0,180,4860,0.962962962963,116,291,0.601374570447,55,142,0.612676056338,0.9360229574611749,5924,5924,5924,379,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,36,350,0.897142857143,0,3,1.0,0,374,1.0,245,5555,0.955895589559,152,418,0.636363636364,67,241,0.721991701245,0.927964270278058,6941,6941,6941,500,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,48,358,0.865921787709,0,4,1.0,0,421,1.0,303,6249,0.951512241959,203,733,0.723055934516,87,356,0.755617977528,0.9210688338874523,8121,8121,8121,641,0
10,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,74,461,0.839479392625,0,4,1.0,0,468,1.0,383,6944,0.944844470046,265,869,0.695051783659,106,441,0.759637188209,0.9099814955915968,9187,9187,9187,829,0
11,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,103,663,0.844645550528,0,5,1.0,0,515,1.0,469,7638,0.938596491228,317,966,0.671842650104,139,495,0.719191919192,0.9001167088115153,10282,10282,10282,1029,0
12,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,127,716,0.822625698324,0,5,1.0,0,562,1.0,574,8332,0.931108977436,397,1029,0.614188532556,174,560,0.689285714286,0.8865583720099964,11204,11204,11204,1273,0
13,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,165,734,0.775204359673,0,6,1.0,0,608,1.0,686,9027,0.924005760496,478,1191,0.5986565911,207,643,0.678071539658,0.8744368908182488,12209,12209,12209,1539,0
14,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,204,894,0.771812080537,0,6,1.0,0,655,1.0,800,9721,0.917703939924,578,1471,0.607070020394,241,692,0.651734104046,0.8646476672371456,13439,13439,13439,1827,0
15,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,257,1056,0.756628787879,0,7,1.0,0,702,1.0,919,10416,0.911770353303,669,1737,0.614853195164,267,710,0.623943661972,0.8558928083128248,14628,14628,14628,2116,0
16,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,294,1323,0.777777777778,0,7,1.0,0,749,1.0,1066,11110,0.904050405041,743,2637,0.718240424725,303,726,0.582644628099,0.8549420009666505,16552,16552,16552,2411,0
17,0,0.0,0.0,7,0,0.0,0,0.0,0.0,0,0.0,0.0,327,1616,0.797648514851,0,8,1.0,0,796,1.0,1227,11805,0.896060991105,845,2369,0.643309413255,340,793,0.571248423707,0.8428711105998735,17387,17387,17387,2746,0
18,0,0.0,0.0,8,0,0.0,0,0.0,0.0,0,0.0,0.0,374,2044,0.817025440313,0,8,1.0,0,843,1.0,1374,12499,0.890071205696,959,2690,0.643494423792,376,918,0.590413943355,0.8381749289548469,19002,19002,19002,3091,0
19,0,0.0,0.0,13,0,0.0,0,0.0,0.0,0,0.0,0.0,436,2145,0.796736596737,0,9,1.0,0,889,1.0,1550,13193,0.882513454104,1071,3016,0.644893899204,406,1003,0.595214356929,0.829671686003456,20255,20255,20255,3476,0
20,0,0.0,0.0,13,0,0.0,0,0.0,0.0,0,0.0,0.0,485,2523,0.807768529528,0,9,1.0,0,936,1.0,1739,13888,0.874783986175,1189,3251,0.634266379576,450,1070,0.579439252336,0.8223923974719749,21677,21677,21677,3876,0
21,0,0.0,0.0,15,0,0.0,0,0.0,0.0,0,0.0,0.0,565,2993,0.811226194454,0,10,1.0,0,983,1.0,1934,14582,0.867370731038,1308,3590,0.6356545961,500,1097,0.544211485871,0.815437540313911,23255,23255,23255,4322,0
22,0,0.0,0.0,20,0,0.0,0,0.0,0.0,0,0.0,0.0,650,3638,0.821330401319,0,10,1.0,0,1030,1.0,2132,15277,0.860443804412,1455,3715,0.608344549125,542,1187,0.543386689132,0.8085448766946937,24857,24857,24857,4799,0
23,0,0.0,0.0,23,0,0.0,0,0.0,0.0,0,0.0,0.0,767,4271,0.820416764224,0,11,1.0,0,1077,1.0,2343,15971,0.853296600088,1605,3759,0.573024740623,595,1313,0.546839299315,0.7997500189379593,26402,26402,26402,5333,0
24,0,0.0,0.0,28,0,0.0,0,0.0,0.0,0,0.0,0.0,891,4888,0.81771685761,0,11,1.0,0,1124,1.0,2591,16665,0.844524452445,1766,3854,0.54177477945,636,1419,0.551797040169,0.7905654304209434,27961,27961,27961,5912,0
25,0,0.0,0.0,39,0,0.0,0,0.0,0.0,0,0.0,0.0,1013,5640,0.820390070922,1,37,0.972972972973,0,1170,1.0,2808,17360,0.838248847926,1923,4003,0.519610292281,695,1448,0.520027624309,0.7841729044439949,29658,29658,29658,6479,0
26,0,0.0,0.0,53,0,0.0,0,0.0,0.0,0,0.0,0.0,1134,6162,0.815968841285,1,63,0.984126984127,0,1217,1.0,3011,18054,0.833222554559,2077,4082,0.491180793729,753,1484,0.492587601078,0.777123173008821,31062,31062,31062,7029,0
27,0,0.0,0.0,62,0,0.0,0,0.0,0.0,0,0.0,0.0,1257,6729,0.813196611681,2,89,0.977528089888,0,1264,1.0,3222,18749,0.828150834711,2224,4161,0.465513097813,818,1498,0.45393858478,0.7703601108033241,32490,32490,32490,7585,0
28,0,0.0,0.0,93,0,0.0,0,0.0,0.0,0,0.0,0.0,1402,7093,0.802340335542,2,115,0.982608695652,5,1311,0.996186117468,3463,19443,0.821889626087,2383,4240,0.437971698113,876,1508,0.419098143236,0.7615544348857906,33710,33710,33710,8224,0
29,0,0.0,0.0,107,0,0.0,0,0.0,0.0,0,0.0,0.0,1558,7532,0.793149229952,2,118,0.983050847458,17,1358,0.987481590574,3670,20137,0.8177484233,2548,4319,0.410048622366,939,1520,0.382236842105,0.7534015549965699,34984,34984,34984,8841,0
