Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,0,1388,1.0,0,108,1.0,0,3,1.0,1.0,1754,1754,1754,0,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,0,2083,1.0,0,118,1.0,0,36,1.0,1.0,2557,2557,2557,0,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,190,1.0,0,1,1.0,0,187,1.0,0,2777,1.0,0,171,1.0,0,67,1.0,1.0,3393,3393,3393,0,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,5,239,0.979079497908,0,2,1.0,0,234,1.0,0,3472,1.0,0,178,1.0,0,84,1.0,0.9988120693751484,4209,4209,4209,5,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,12,252,0.952380952381,0,2,1.0,0,281,1.0,0,4166,1.0,0,268,1.0,0,124,1.0,0.9976438248576478,5093,5093,5093,12,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,19,301,0.936877076412,0,3,1.0,0,327,1.0,0,4860,1.0,0,291,1.0,0,142,1.0,0.9967927076299797,5924,5924,5924,19,0
8,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,29,350,0.917142857143,0,3,1.0,0,374,1.0,0,5555,1.0,0,418,1.0,0,241,1.0,0.9959659991355713,6941,6941,6941,30,0
9,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,40,358,0.888268156425,0,4,1.0,0,421,1.0,0,6249,1.0,0,733,1.0,0,356,1.0,0.995197635759143,8121,8121,8121,41,0
10,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,60,461,0.869848156182,0,4,1.0,0,468,1.0,0,6944,1.0,0,869,1.0,0,441,1.0,0.9935778817894851,9187,9187,9187,61,0
11,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,75,663,0.886877828054,0,5,1.0,0,515,1.0,0,7638,1.0,0,966,1.0,0,495,1.0,0.992802956623225,10282,10282,10282,76,0
12,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,103,716,0.856145251397,0,5,1.0,0,562,1.0,0,8332,1.0,0,1029,1.0,0,560,1.0,0.990985362370582,11204,11204,11204,105,0
13,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,139,734,0.810626702997,0,6,1.0,0,608,1.0,0,9027,1.0,0,1191,1.0,0,643,1.0,0.9889425833401589,12209,12209,12209,143,0
14,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,175,894,0.804250559284,0,6,1.0,0,655,1.0,0,9721,1.0,0,1471,1.0,0,692,1.0,0.9872758389761143,13439,13439,13439,179,0
15,0,0.0,0.0,4,0,0.0,0,0.0,0.0,0,0.0,0.0,206,1056,0.804924242424,0,7,1.0,0,702,1.0,0,10416,1.0,0,1737,1.0,0,710,1.0,0.9861908668307355,14628,14628,14628,210,0
16,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,250,1323,0.811035525321,0,7,1.0,0,749,1.0,0,11110,1.0,0,2637,1.0,0,726,1.0,0.985198163363944,16552,16552,16552,255,0
17,0,0.0,0.0,10,0,0.0,0,0.0,0.0,0,0.0,0.0,310,1616,0.808168316832,0,8,1.0,0,796,1.0,0,11805,1.0,0,2369,1.0,0,793,1.0,0.982745729568068,17387,17387,17387,320,0
18,0,0.0,0.0,10,0,0.0,0,0.0,0.0,0,0.0,0.0,369,2044,0.819471624266,0,8,1.0,0,843,1.0,0,12499,1.0,0,2690,1.0,0,918,1.0,0.9811072518682245,19002,19002,19002,379,0
19,0,0.0,0.0,11,0,0.0,0,0.0,0.0,0,0.0,0.0,428,2145,0.800466200466,0,9,1.0,0,889,1.0,0,13193,1.0,0,3016,1.0,0,1003,1.0,0.9794124907430264,20255,20255,20255,439,0
20,0,0.0,0.0,12,0,0.0,0,0.0,0.0,0,0.0,0.0,501,2523,0.801426872771,0,9,1.0,0,936,1.0,0,13888,1.0,0,3251,1.0,0,1070,1.0,0.9774415278867001,21677,21677,21677,513,0
21,0,0.0,0.0,14,0,0.0,0,0.0,0.0,0,0.0,0.0,600,2993,0.799532241898,0,10,1.0,0,983,1.0,0,14582,1.0,0,3590,1.0,0,1097,1.0,0.9748011180391314,23255,23255,23255,614,0
22,0,0.0,0.0,14,0,0.0,0,0.0,0.0,0,0.0,0.0,700,3638,0.807586586036,0,10,1.0,0,1030,1.0,0,15277,1.0,0,3715,1.0,0,1187,1.0,0.9724021402421853,24857,24857,24857,714,0
23,0,0.0,0.0,17,0,0.0,0,0.0,0.0,0,0.0,0.0,804,4271,0.811753687661,0,11,1.0,1,1077,0.999071494893,0,15971,1.0,0,3759,1.0,0,1313,1.0,0.9701537762290735,26402,26402,26402,822,0
24,0,0.0,0.0,24,0,0.0,0,0.0,0.0,0,0.0,0.0,931,4888,0.809533551555,0,11,1.0,1,1124,0.999110320285,0,16665,1.0,0,3854,1.0,0,1419,1.0,0.9675261972032474,27961,27961,27961,956,0
25,0,0.0,0.0,36,0,0.0,0,0.0,0.0,0,0.0,0.0,1062,5640,0.81170212766,0,37,1.0,1,1170,0.999145299145,0,17360,1.0,0,4003,1.0,0,1448,1.0,0.9653719063996223,29658,29658,29658,1099,0
26,0,0.0,0.0,51,0,0.0,0,0.0,0.0,0,0.0,0.0,1189,6162,0.807043167803,0,63,1.0,1,1217,0.999178307313,0,18054,1.0,0,4082,1.0,0,1484,1.0,0.9633314017127036,31062,31062,31062,1241,0
27,0,0.0,0.0,68,0,0.0,0,0.0,0.0,0,0.0,0.0,1328,6729,0.802645266756,0,89,1.0,1,1264,0.999208860759,0,18749,1.0,0,4161,1.0,0,1498,1.0,0.9611880578639581,32490,32490,32490,1397,0
28,0,0.0,0.0,85,0,0.0,0,0.0,0.0,0,0.0,0.0,1456,7093,0.794727195827,0,115,1.0,3,1311,0.997711670481,0,19443,1.0,0,4240,1.0,0,1508,1.0,0.9592405814298428,33710,33710,33710,1544,0
29,0,0.0,0.0,104,0,0.0,0,0.0,0.0,0,0.0,0.0,1603,7532,0.78717472119,0,118,1.0,13,1358,0.990427098675,0,20137,1.0,0,4319,1.0,0,1520,1.0,0.9567802423965241,34984,34984,34984,1720,0
30,0,0.0,0.0,121,0,0.0,0,0.0,0.0,0,0.0,0.0,1738,8274,0.789944404158,0,121,1.0,25,1405,0.982206405694,0,20832,1.0,0,4398,1.0,0,1525,1.0,0.9550813842155655,36555,36555,36555,1884,0
31,0,0.0,0.0,144,0,0.0,0,0.0,0.0,0,0.0,0.0,1868,8661,0.784320517261,0,123,1.0,37,1452,0.974517906336,0,21526,1.0,0,4477,1.0,0,1754,1.0,0.9536493564604006,37993,37993,37993,2049,0
