Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,0,1388,1.0,0,108,1.0,0,3,1.0,1.0,1754,1754,1754,0,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,0,2083,1.0,0,118,1.0,0,36,1.0,1.0,2557,2557,2557,0,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,3,190,0.984210526316,0,1,1.0,0,187,1.0,0,2777,1.0,0,171,1.0,0,67,1.0,0.9991158267020336,3393,3393,3393,3,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,5,239,0.979079497908,0,2,1.0,0,234,1.0,0,3472,1.0,0,178,1.0,0,84,1.0,0.9988120693751484,4209,4209,4209,5,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,11,252,0.956349206349,0,2,1.0,0,281,1.0,0,4166,1.0,0,268,1.0,0,124,1.0,0.9978401727861771,5093,5093,5093,11,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,24,301,0.920265780731,0,3,1.0,0,327,1.0,0,4860,1.0,0,291,1.0,0,142,1.0,0.9959486833220796,5924,5924,5924,24,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,40,350,0.885714285714,0,3,1.0,0,374,1.0,0,5555,1.0,0,418,1.0,0,241,1.0,0.9942371416222446,6941,6941,6941,40,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,54,358,0.849162011173,0,4,1.0,0,421,1.0,0,6249,1.0,0,733,1.0,0,356,1.0,0.9933505725895826,8121,8121,8121,54,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,71,461,0.845986984816,0,4,1.0,0,468,1.0,0,6944,1.0,0,869,1.0,0,441,1.0,0.9922716882551431,9187,9187,9187,71,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,97,663,0.853695324284,0,5,1.0,0,515,1.0,0,7638,1.0,0,966,1.0,0,495,1.0,0.9905660377358491,10282,10282,10282,97,0
12,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,121,716,0.831005586592,0,5,1.0,0,562,1.0,0,8332,1.0,0,1029,1.0,0,560,1.0,0.9892002856122813,11204,11204,11204,121,0
13,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,149,734,0.797002724796,0,6,1.0,0,608,1.0,0,9027,1.0,0,1191,1.0,0,643,1.0,0.9877958882791383,12209,12209,12209,149,0
14,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,180,894,0.798657718121,0,6,1.0,0,655,1.0,0,9721,1.0,0,1471,1.0,0,692,1.0,0.9866061462906466,13439,13439,13439,180,0
15,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,220,1056,0.791666666667,0,7,1.0,0,702,1.0,0,10416,1.0,0,1737,1.0,0,710,1.0,0.9850970741044572,14628,14628,14628,222,0
16,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,264,1323,0.800453514739,0,7,1.0,0,749,1.0,0,11110,1.0,0,2637,1.0,0,726,1.0,0.9841710971483809,16552,16552,16552,266,0
17,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,312,1616,0.806930693069,0,8,1.0,0,796,1.0,0,11805,1.0,0,2369,1.0,0,793,1.0,0.9822281014551102,17387,17387,17387,315,0
18,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,354,2044,0.826810176125,0,8,1.0,0,843,1.0,0,12499,1.0,0,2690,1.0,0,918,1.0,0.9816335122618671,19002,19002,19002,359,0
19,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,401,2145,0.813053613054,0,9,1.0,0,889,1.0,0,13193,1.0,0,3016,1.0,0,1003,1.0,0.9804492717847445,20255,20255,20255,406,0
20,0,0.0,0.0,7,0,0.0,0,0.0,0.0,0,0.0,0.0,465,2523,0.815695600476,0,9,1.0,0,936,1.0,0,13888,1.0,0,3251,1.0,0,1070,1.0,0.9788716150758869,21677,21677,21677,472,0
21,0,0.0,0.0,10,0,0.0,0,0.0,0.0,0,0.0,0.0,559,2993,0.813230872035,0,10,1.0,0,983,1.0,0,14582,1.0,0,3590,1.0,0,1097,1.0,0.9763921737260804,23255,23255,23255,569,0
22,0,0.0,0.0,13,0,0.0,0,0.0,0.0,0,0.0,0.0,673,3638,0.815008246289,0,10,1.0,0,1030,1.0,0,15277,1.0,0,3715,1.0,0,1187,1.0,0.9734481232650762,24857,24857,24857,686,0
23,0,0.0,0.0,17,0,0.0,0,0.0,0.0,0,0.0,0.0,793,4271,0.814329196909,0,11,1.0,0,1077,1.0,0,15971,1.0,0,3759,1.0,0,1313,1.0,0.9706082872509658,26402,26402,26402,810,0
24,0,0.0,0.0,24,0,0.0,0,0.0,0.0,0,0.0,0.0,903,4888,0.815261865794,0,11,1.0,0,1124,1.0,0,16665,1.0,0,3854,1.0,0,1419,1.0,0.9685633561031437,27961,27961,27961,927,0
25,0,0.0,0.0,35,0,0.0,0,0.0,0.0,0,0.0,0.0,1023,5640,0.818617021277,0,37,1.0,0,1170,1.0,0,17360,1.0,0,4003,1.0,0,1448,1.0,0.9666868972958392,29658,29658,29658,1058,0
26,0,0.0,0.0,49,0,0.0,0,0.0,0.0,0,0.0,0.0,1161,6162,0.81158714703,0,63,1.0,0,1217,1.0,0,18054,1.0,0,4082,1.0,0,1484,1.0,0.9642006309960723,31062,31062,31062,1210,0
27,0,0.0,0.0,62,0,0.0,0,0.0,0.0,0,0.0,0.0,1308,6729,0.805617476594,0,89,1.0,0,1264,1.0,0,18749,1.0,0,4161,1.0,0,1498,1.0,0.9616497383810403,32490,32490,32490,1370,0
28,0,0.0,0.0,76,0,0.0,0,0.0,0.0,0,0.0,0.0,1445,7093,0.796278020584,0,115,1.0,1,1311,0.999237223494,0,19443,1.0,0,4240,1.0,0,1508,1.0,0.9593592405814299,33710,33710,33710,1522,0
29,0,0.0,0.0,90,0,0.0,0,0.0,0.0,0,0.0,0.0,1575,7532,0.790892193309,0,118,1.0,8,1358,0.9941089838,0,20137,1.0,0,4319,1.0,0,1520,1.0,0.9573233478161445,34984,34984,34984,1673,0
30,0,0.0,0.0,120,0,0.0,0,0.0,0.0,0,0.0,0.0,1713,8274,0.792965917331,0,121,1.0,19,1405,0.986476868327,0,20832,1.0,0,4398,1.0,0,1525,1.0,0.9559020653809328,36555,36555,36555,1852,0
31,0,0.0,0.0,142,0,0.0,0,0.0,0.0,0,0.0,0.0,1876,8661,0.783396836393,0,123,1.0,35,1452,0.975895316804,0,21526,1.0,0,4477,1.0,0,1754,1.0,0.9534387913563025,37993,37993,37993,2053,0
