Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,112,1.0,0,0,0.0,0,69,1.0,0,694,1.0,0,85,1.0,0,4,1.0,1.0,964,964,964,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,167,1.0,0,1,1.0,0,139,1.0,8,1388,0.994236311239,4,120,0.966666666667,0,4,1.0,0.9934029686641012,1819,1819,1819,12,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,184,1.0,0,2,1.0,0,209,1.0,22,2083,0.98943831013,10,131,0.923664122137,5,37,0.864864864865,0.9860166288737717,2646,2646,2646,37,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2,196,0.989795918367,0,3,1.0,0,278,1.0,41,2777,0.985235866042,28,189,0.851851851852,12,69,0.826086956522,0.9763667425968109,3512,3512,3512,83,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,7,246,0.971544715447,0,4,1.0,0,348,1.0,64,3472,0.981566820276,45,197,0.771573604061,25,86,0.709302325581,0.9676085458304617,4353,4353,4353,141,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,21,259,0.918918918919,0,5,1.0,0,418,1.0,108,4166,0.974075852136,72,296,0.756756756757,36,127,0.716535433071,0.9550369948776323,5271,5271,5271,237,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,35,309,0.886731391586,0,5,1.0,0,487,1.0,166,4860,0.965843621399,111,321,0.654205607477,58,145,0.6,0.9396115554104782,6127,6127,6127,370,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,52,360,0.855555555556,0,6,1.0,0,557,1.0,237,5555,0.957335733573,153,461,0.668112798265,79,246,0.678861788618,0.9274878218510786,7185,7185,7185,521,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,71,368,0.807065217391,0,7,1.0,0,627,1.0,309,6249,0.950552088334,203,809,0.749072929543,98,364,0.730769230769,0.9191595441595442,8424,8424,8424,681,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,91,474,0.808016877637,0,8,1.0,0,696,1.0,393,6944,0.94340437788,271,959,0.717413972888,134,451,0.70288248337,0.9067352077213596,9532,9532,9532,889,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,111,681,0.837004405286,0,9,1.0,0,766,1.0,500,7638,0.93453783713,324,1066,0.696060037523,165,506,0.673913043478,0.8968685542846427,10666,10666,10666,1100,0
12,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,138,736,0.8125,0,10,1.0,0,836,1.0,606,8332,0.927268362938,403,1135,0.644933920705,196,572,0.657342657343,0.8844333534119266,11621,11621,11621,1343,0
13,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,166,754,0.779840848806,0,10,1.0,0,905,1.0,723,9027,0.919906945829,481,1313,0.633663366337,239,657,0.636225266362,0.8729669982630665,12666,12666,12666,1609,0
