Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,8,1388,0.994236311239,2,108,0.981481481481,0,3,1.0,0.9942987457240593,1754,1754,1754,10,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,24,2083,0.988478156505,14,118,0.881355932203,7,36,0.805555555556,0.9824012514665624,2557,2557,2557,45,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,7,190,0.963157894737,0,1,1.0,0,187,1.0,54,2777,0.980554555275,21,171,0.877192982456,14,67,0.791044776119,0.9717064544650752,3393,3393,3393,96,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,14,239,0.941422594142,0,2,1.0,0,234,1.0,92,3472,0.973502304147,40,178,0.775280898876,26,84,0.690476190476,0.9591351865051081,4209,4209,4209,172,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,19,252,0.924603174603,0,2,1.0,0,281,1.0,130,4166,0.968795007201,70,268,0.738805970149,37,124,0.701612903226,0.9497349302964854,5093,5093,5093,256,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,23,301,0.923588039867,0,3,1.0,0,327,1.0,176,4860,0.96378600823,107,291,0.632302405498,56,142,0.605633802817,0.9388926401080351,5924,5924,5924,362,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,43,350,0.877142857143,0,3,1.0,0,374,1.0,239,5555,0.95697569757,152,418,0.636363636364,69,241,0.713692946058,0.9275320558997263,6941,6941,6941,503,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,55,358,0.846368715084,0,4,1.0,0,421,1.0,312,6249,0.950072011522,201,733,0.725784447476,86,356,0.758426966292,0.9194680458071666,8121,8121,8121,654,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,76,461,0.835140997831,0,4,1.0,0,468,1.0,399,6944,0.942540322581,245,869,0.718066743383,107,441,0.757369614512,0.9099814955915968,9187,9187,9187,827,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,101,663,0.84766214178,0,5,1.0,0,515,1.0,494,7638,0.935323383085,311,966,0.678053830228,128,495,0.741414141414,0.8994359074110095,10282,10282,10282,1034,0
12,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,125,716,0.825418994413,0,5,1.0,0,562,1.0,620,8332,0.925588094095,385,1029,0.625850340136,161,560,0.7125,0.8848625490896108,11204,11204,11204,1292,0
13,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,150,734,0.795640326975,0,6,1.0,0,608,1.0,735,9027,0.918577600532,456,1191,0.617128463476,199,643,0.690513219285,0.8740273568678844,12209,12209,12209,1542,0
14,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,184,894,0.79418344519,0,6,1.0,0,655,1.0,857,9721,0.911840345643,556,1471,0.622025832767,233,692,0.663294797688,0.8639779745516779,13439,13439,13439,1832,0
15,0,0.0,0.0,3,0,0.0,0,0.0,0.0,2,0.0,0.0,228,1056,0.784090909091,0,7,1.0,0,702,1.0,977,10416,0.906201996928,653,1737,0.624064478987,267,710,0.623943661972,0.855072463768116,14628,14628,14628,2130,0
16,0,0.0,0.0,4,0,0.0,0,0.0,0.0,2,0.0,0.0,267,1323,0.798185941043,0,7,1.0,0,749,1.0,1111,11110,0.9,741,2637,0.718998862344,311,726,0.571625344353,0.8535524407926535,16552,16552,16552,2436,0
17,0,0.0,0.0,4,0,0.0,0,0.0,0.0,2,0.0,0.0,316,1616,0.804455445545,0,8,1.0,0,796,1.0,1242,11805,0.894790343075,847,2369,0.642465175179,359,793,0.547288776797,0.8413757404957727,17387,17387,17387,2770,0
18,0,0.0,0.0,5,0,0.0,0,0.0,0.0,5,0.0,0.0,355,2044,0.826320939335,0,8,1.0,0,843,1.0,1385,12499,0.889191135291,970,2690,0.639405204461,406,918,0.557734204793,0.8365435217345543,19002,19002,19002,3126,0
19,0,0.0,0.0,6,0,0.0,0,0.0,0.0,5,0.0,0.0,412,2145,0.807925407925,0,9,1.0,0,889,1.0,1560,13193,0.881755476389,1100,3016,0.635278514589,456,1003,0.545363908275,0.8263638607751173,20255,20255,20255,3539,0
20,0,0.0,0.0,8,0,0.0,0,0.0,0.0,5,0.0,0.0,463,2523,0.81648830757,0,9,1.0,0,936,1.0,1747,13888,0.874207949309,1232,3251,0.621039680098,503,1070,0.529906542056,0.818609586197352,21677,21677,21677,3958,0
21,0,0.0,0.0,15,0,0.0,0,0.0,0.0,5,0.0,0.0,535,2993,0.821249582359,0,10,1.0,0,983,1.0,1937,14582,0.867164997943,1385,3590,0.614206128134,545,1097,0.503190519599,0.8115674048591701,23255,23255,23255,4422,0
22,2,0.0,0.0,17,0,0.0,0,0.0,0.0,5,0.0,0.0,629,3638,0.827102803738,0,10,1.0,0,1030,1.0,2126,15277,0.860836551679,1525,3715,0.589502018843,601,1187,0.493681550126,0.8046023253007201,24857,24857,24857,4905,0
23,2,0.0,0.0,23,0,0.0,0,0.0,0.0,6,0.0,0.0,754,4271,0.823460547881,0,11,1.0,0,1077,1.0,2320,15971,0.854736710287,1667,3759,0.556530992285,639,1313,0.513328255903,0.7974017119915158,26402,26402,26402,5411,0
24,3,0.0,0.0,30,0,0.0,0,0.0,0.0,7,0.0,0.0,858,4888,0.824468085106,0,11,1.0,0,1124,1.0,2520,16665,0.848784878488,1819,3854,0.52802283342,694,1419,0.510923185342,0.7907442509209256,27961,27961,27961,5931,0
25,4,0.0,0.0,43,0,0.0,0,0.0,0.0,8,0.0,0.0,967,5640,0.828546099291,0,37,1.0,0,1170,1.0,2748,17360,0.841705069124,1970,4003,0.507869098176,758,1448,0.476519337017,0.7846112347427339,29658,29658,29658,6498,0
26,6,0.0,0.0,60,0,0.0,0,0.0,0.0,9,0.0,0.0,1091,6162,0.822947095099,0,63,1.0,0,1217,1.0,2990,18054,0.834385731694,2140,4082,0.475747182754,823,1484,0.445417789757,0.7756422638593781,31062,31062,31062,7119,0
27,10,0.0,0.0,72,0,0.0,0,0.0,0.0,12,0.0,0.0,1226,6729,0.81780353693,0,89,1.0,1,1264,0.999208860759,3244,18749,0.826977438797,2301,4161,0.447007930786,879,1498,0.413217623498,0.7674053554939981,32490,32490,32490,7745,0
28,13,0.0,0.0,92,0,0.0,0,0.0,0.0,14,0.0,0.0,1349,7093,0.809812491188,0,115,1.0,3,1311,0.997711670481,3468,19443,0.821632464126,2478,4240,0.415566037736,946,1508,0.372679045093,0.7589735983387719,33710,33710,33710,8363,0
29,15,0.0,0.0,104,0,0.0,0,0.0,0.0,17,0.0,0.0,1497,7532,0.801248008497,0,118,1.0,9,1358,0.993372606775,3679,20137,0.817301484829,2621,4319,0.393146561704,1019,1520,0.329605263158,0.7516293162588612,34984,34984,34984,8961,0
