Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,4,1388,0.99711815562,2,108,0.981481481481,0,3,1.0,0.9965792474344356,1754,1754,1754,6,0
3,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,19,2083,0.990878540566,12,118,0.898305084746,9,36,0.75,0.9843566679702777,2557,2557,2557,40,0
4,0,0.0,0.0,3,190,0.984210526316,0,1,1.0,0,187,1.0,43,2777,0.984515664386,21,171,0.877192982456,16,67,0.761194029851,0.9755378720895962,3393,3393,3393,83,0
5,0,0.0,0.0,5,239,0.979079497908,0,2,1.0,0,234,1.0,77,3472,0.977822580645,36,178,0.797752808989,25,84,0.702380952381,0.9660251841292469,4209,4209,4209,143,0
6,0,0.0,0.0,14,252,0.944444444444,0,2,1.0,0,281,1.0,131,4166,0.968554968795,65,268,0.757462686567,37,124,0.701612903226,0.9515020616532496,5093,5093,5093,247,0
7,0,0.0,0.0,19,301,0.936877076412,0,3,1.0,0,327,1.0,191,4860,0.960699588477,107,291,0.632302405498,52,142,0.633802816901,0.937711006076975,5924,5924,5924,369,0
8,0,0.0,0.0,35,350,0.9,0,3,1.0,0,374,1.0,263,5555,0.952655265527,159,418,0.61961722488,68,241,0.717842323651,0.9243624837919608,6941,6941,6941,525,0
9,0,0.0,0.0,51,358,0.857541899441,0,4,1.0,0,421,1.0,328,6249,0.947511601856,206,733,0.718963165075,88,356,0.752808988764,0.9171284324590567,8121,8121,8121,673,0
10,0,0.0,0.0,71,461,0.845986984816,0,4,1.0,0,468,1.0,414,6944,0.940380184332,259,869,0.701956271577,110,441,0.750566893424,0.9070425601393273,9187,9187,9187,854,0
11,0,0.0,0.0,109,663,0.835595776772,0,5,1.0,0,515,1.0,510,7638,0.933228593873,325,966,0.663561076605,141,495,0.715151515152,0.8944757829216106,10282,10282,10282,1085,0
12,0,0.0,0.0,143,716,0.800279329609,0,5,1.0,0,562,1.0,622,8332,0.925348055689,383,1029,0.627793974733,171,560,0.694642857143,0.8822741877900749,11204,11204,11204,1319,0
13,0,0.0,0.0,181,734,0.75340599455,0,6,1.0,0,608,1.0,726,9027,0.919574609505,451,1191,0.621326616289,198,643,0.692068429238,0.8725530346465722,12209,12209,12209,1556,0
14,0,0.0,0.0,215,894,0.759507829978,0,6,1.0,0,655,1.0,837,9721,0.913897747145,529,1471,0.640380693406,223,692,0.67774566474,0.8657638217129251,13439,13439,13439,1804,0
15,0,0.0,0.0,254,1056,0.75946969697,0,7,1.0,0,702,1.0,964,10416,0.907450076805,614,1737,0.646516983305,254,710,0.642253521127,0.8573967733114575,14628,14628,14628,2086,0
16,0,0.0,0.0,300,1323,0.773242630385,0,7,1.0,0,749,1.0,1122,11110,0.89900990099,703,2637,0.733409177095,290,726,0.600550964187,0.8540961817303045,16552,16552,16552,2415,0
17,0,0.0,0.0,357,1616,0.779084158416,0,8,1.0,0,796,1.0,1272,11805,0.892249047014,797,2369,0.663571127058,325,793,0.590163934426,0.8417783401391844,17387,17387,17387,2751,0
18,0,0.0,0.0,409,2044,0.799902152642,0,8,1.0,0,843,1.0,1435,12499,0.885190815265,916,2690,0.659479553903,373,918,0.593681917211,0.8351226186717188,19002,19002,19002,3133,0
19,0,0.0,0.0,471,2145,0.78041958042,0,9,1.0,0,889,1.0,1624,13193,0.87690441901,1034,3016,0.657161803714,414,1003,0.587238285145,0.8250802271044186,20255,20255,20255,3543,0
20,0,0.0,0.0,528,2523,0.790725326992,0,9,1.0,0,936,1.0,1821,13888,0.868879608295,1159,3251,0.643494309443,449,1070,0.580373831776,0.8174562900770401,21677,21677,21677,3957,0
21,0,0.0,0.0,625,2993,0.791179418644,0,10,1.0,0,983,1.0,2006,14582,0.862433136744,1280,3590,0.643454038997,500,1097,0.544211485871,0.8103203612126424,23255,23255,23255,4411,0
22,0,0.0,0.0,714,3638,0.803738317757,0,10,1.0,0,1030,1.0,2185,15277,0.856974536886,1414,3715,0.619380888291,542,1187,0.543386689132,0.8046827855332502,24857,24857,24857,4855,0
