Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,6,1388,0.995677233429,2,108,0.981481481481,0,3,1.0,0.9954389965792474,1754,1754,1754,8,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,22,2083,0.98943831013,8,118,0.932203389831,2,36,0.944444444444,0.9874853343762221,2557,2557,2557,32,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,3,190,0.984210526316,0,1,1.0,0,187,1.0,51,2777,0.98163485776,19,171,0.888888888889,11,67,0.835820895522,0.9752431476569408,3393,3393,3393,84,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,7,239,0.970711297071,0,2,1.0,0,234,1.0,85,3472,0.97551843318,43,178,0.758426966292,23,84,0.72619047619,0.9624613922546923,4209,4209,4209,158,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,16,252,0.936507936508,0,2,1.0,0,281,1.0,120,4166,0.971195391263,68,268,0.746268656716,31,124,0.75,0.9538582367956018,5093,5093,5093,235,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,22,301,0.926910299003,0,3,1.0,0,327,1.0,187,4860,0.961522633745,101,291,0.652920962199,49,142,0.654929577465,0.9393990546927752,5924,5924,5924,359,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,29,350,0.917142857143,0,3,1.0,0,374,1.0,241,5555,0.956615661566,140,418,0.665071770335,61,241,0.746887966805,0.9321423426019305,6941,6941,6941,471,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,46,358,0.871508379888,0,4,1.0,0,421,1.0,324,6249,0.948151704273,181,733,0.75306957708,73,356,0.794943820225,0.9231621721462874,8121,8121,8121,624,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,75,461,0.837310195228,0,4,1.0,0,468,1.0,417,6944,0.939948156682,250,869,0.712313003452,98,441,0.777777777778,0.9085664525960596,9187,9187,9187,840,0
11,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,97,663,0.853695324284,0,5,1.0,0,515,1.0,515,7638,0.932573972244,310,966,0.679089026915,116,495,0.765656565657,0.8991441353822214,10282,10282,10282,1039,0
12,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,123,716,0.828212290503,0,5,1.0,0,562,1.0,628,8332,0.92462794047,370,1029,0.640427599611,142,560,0.746428571429,0.8873616565512317,11204,11204,11204,1264,0
13,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,154,734,0.790190735695,0,6,1.0,0,608,1.0,733,9027,0.918799158081,445,1191,0.626364399664,177,643,0.724727838258,0.8764845605700713,12209,12209,12209,1510,0
14,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,191,894,0.786353467562,0,6,1.0,0,655,1.0,875,9721,0.909988684292,525,1471,0.643099932019,202,692,0.708092485549,0.8667311555919339,13439,13439,13439,1795,0
15,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,232,1056,0.780303030303,0,7,1.0,0,702,1.0,1007,10416,0.903321812596,614,1737,0.646516983305,240,710,0.661971830986,0.8570549630844955,14628,14628,14628,2095,0
16,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,279,1323,0.789115646259,0,7,1.0,0,749,1.0,1166,11110,0.89504950495,701,2637,0.734167614714,279,726,0.615702479339,0.8536128564523925,16552,16552,16552,2427,0
17,0,0.0,0.0,2,0,0.0,0,0.0,0.0,0,0.0,0.0,336,1616,0.792079207921,0,8,1.0,0,796,1.0,1316,11805,0.888521812791,779,2369,0.671169269734,336,793,0.576292559899,0.840973140852361,17387,17387,17387,2769,0
18,0,0.0,0.0,7,0,0.0,0,0.0,0.0,0,0.0,0.0,391,2044,0.808708414873,0,8,1.0,0,843,1.0,1518,12499,0.878550284023,889,2690,0.669516728625,377,918,0.589324618736,0.8332807072939691,19002,19002,19002,3182,0
19,0,0.0,0.0,7,0,0.0,0,0.0,0.0,0,0.0,0.0,454,2145,0.788344988345,0,9,1.0,0,889,1.0,1682,13193,0.87250814826,1010,3016,0.665119363395,430,1003,0.571286141575,0.82379659343372,20255,20255,20255,3583,0
20,0,0.0,0.0,9,0,0.0,0,0.0,0.0,0,0.0,0.0,511,2523,0.797463337297,0,9,1.0,0,936,1.0,1847,13888,0.867007488479,1121,3251,0.655183020609,471,1070,0.559813084112,0.8181943995940397,21677,21677,21677,3959,0
21,0,0.0,0.0,9,0,0.0,0,0.0,0.0,0,0.0,0.0,610,2993,0.796191112596,0,10,1.0,0,983,1.0,2059,14582,0.858798518722,1246,3590,0.652924791086,527,1097,0.519598906108,0.8093743281014836,23255,23255,23255,4451,0
22,0,0.0,0.0,11,0,0.0,0,0.0,0.0,0,0.0,0.0,728,3638,0.799890049478,0,10,1.0,0,1030,1.0,2282,15277,0.850625122734,1378,3715,0.629071332436,578,1187,0.513058129739,0.8006597739067466,24857,24857,24857,4977,0
23,0,0.0,0.0,15,0,0.0,0,0.0,0.0,0,0.0,0.0,820,4271,0.808007492391,0,11,1.0,0,1077,1.0,2477,15971,0.844906392837,1539,3759,0.590582601756,644,1313,0.509520182788,0.7930081054465571,26402,26402,26402,5495,0
24,0,0.0,0.0,23,0,0.0,0,0.0,0.0,0,0.0,0.0,928,4888,0.810147299509,0,11,1.0,0,1124,1.0,2704,16665,0.837743774377,1697,3854,0.559678256357,703,1419,0.504580690627,0.7850935231214906,27961,27961,27961,6055,0
25,0,0.0,0.0,28,0,0.0,0,0.0,0.0,0,0.0,0.0,1047,5640,0.814361702128,0,37,1.0,0,1170,1.0,2931,17360,0.83116359447,1847,4003,0.53859605296,758,1448,0.476519337017,0.7789803762897026,29658,29658,29658,6611,0
26,0,0.0,0.0,39,0,0.0,0,0.0,0.0,0,0.0,0.0,1158,6162,0.812074001947,0,63,1.0,0,1217,1.0,3155,18054,0.825246482774,2014,4082,0.506614404704,815,1484,0.450808625337,0.7713283111196961,31062,31062,31062,7181,0
27,0,0.0,0.0,43,0,0.0,0,0.0,0.0,0,0.0,0.0,1296,6729,0.807400802497,0,89,1.0,0,1264,1.0,3387,18749,0.819350365353,2165,4161,0.479692381639,862,1498,0.424566088117,0.7640196983687289,32490,32490,32490,7753,0
28,0,0.0,0.0,52,0,0.0,0,0.0,0.0,0,0.0,0.0,1426,7093,0.798956717891,0,115,1.0,4,1311,0.996948893974,3618,19443,0.813917605308,2323,4240,0.452122641509,921,1508,0.38925729443,0.7555621477306437,33710,33710,33710,8344,0
29,0,0.0,0.0,55,0,0.0,0,0.0,0.0,0,0.0,0.0,1547,7532,0.794609665428,0,118,1.0,12,1358,0.9911634757,3843,20137,0.809157272682,2492,4319,0.42301458671,986,1520,0.351315789474,0.7477418248342099,34984,34984,34984,8935,0
