Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,3,1388,0.997838616715,3,108,0.972222222222,0,3,1.0,0.9965792474344356,1754,1754,1754,6,0
3,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,20,2083,0.990398463754,14,118,0.881355932203,5,36,0.861111111111,0.9847477512710208,2557,2557,2557,39,0
4,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,3,190,0.984210526316,0,1,1.0,0,187,1.0,43,2777,0.984515664386,39,171,0.771929824561,14,67,0.791044776119,0.9708222811671088,3393,3393,3393,99,0
5,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,5,239,0.979079497908,0,2,1.0,0,234,1.0,76,3472,0.978110599078,66,178,0.629213483146,21,84,0.75,0.9600855310049893,4209,4209,4209,168,0
6,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,14,252,0.944444444444,0,2,1.0,0,281,1.0,126,4166,0.969755160826,99,268,0.630597014925,31,124,0.75,0.9469860592970745,5093,5093,5093,270,0
7,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,27,301,0.910299003322,0,3,1.0,0,327,1.0,175,4860,0.963991769547,125,291,0.570446735395,38,142,0.732394366197,0.9383862255232951,5924,5924,5924,365,0
8,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,43,350,0.877142857143,0,3,1.0,0,374,1.0,239,5555,0.95697569757,168,418,0.598086124402,48,241,0.800829875519,0.9282524131969457,6941,6941,6941,498,0
9,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,53,358,0.851955307263,0,4,1.0,0,421,1.0,316,6249,0.949431909105,216,733,0.705320600273,68,356,0.808988764045,0.919591183351804,8121,8121,8121,653,0
10,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,73,461,0.841648590022,0,4,1.0,0,468,1.0,393,6944,0.94340437788,282,869,0.675489067894,87,441,0.802721088435,0.9091106999020355,9187,9187,9187,835,0
11,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,95,663,0.856711915535,0,5,1.0,0,515,1.0,500,7638,0.93453783713,353,966,0.634575569358,111,495,0.775757575758,0.8970044738377747,10282,10282,10282,1059,0
12,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,130,716,0.81843575419,0,5,1.0,0,562,1.0,590,8332,0.929188670187,420,1029,0.591836734694,136,560,0.757142857143,0.8861121028204213,11204,11204,11204,1276,0
13,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,167,734,0.772479564033,0,6,1.0,0,608,1.0,691,9027,0.923451866622,501,1191,0.579345088161,159,643,0.752721617418,0.8756654926693422,12209,12209,12209,1518,0
14,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,199,894,0.7774049217,0,6,1.0,0,655,1.0,827,9721,0.914926447896,571,1471,0.611828687967,199,692,0.712427745665,0.8663591041000075,13439,13439,13439,1796,0
15,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,238,1056,0.774621212121,0,7,1.0,0,702,1.0,936,10416,0.910138248848,685,1737,0.605641911341,234,710,0.670422535211,0.8569866010391031,14628,14628,14628,2094,0
16,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,277,1323,0.790627362056,0,7,1.0,0,749,1.0,1081,11110,0.902700270027,785,2637,0.702313234736,270,726,0.628099173554,0.8542774287095215,16552,16552,16552,2414,0
17,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0.0,331,1616,0.795173267327,0,8,1.0,0,796,1.0,1234,11805,0.895468022025,881,2369,0.628113127902,315,793,0.602774274905,0.8412607120262265,17387,17387,17387,2762,0
18,0,0.0,0.0,3,0,0.0,0,0.0,0.0,0,0.0,0.0,372,2044,0.818003913894,0,8,1.0,0,843,1.0,1396,12499,0.888311064885,1001,2690,0.627881040892,360,918,0.607843137255,0.8354910009472687,19002,19002,19002,3132,0
19,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,432,2145,0.798601398601,0,9,1.0,0,889,1.0,1576,13193,0.880542712044,1108,3016,0.632625994695,392,1003,0.609172482552,0.8270550481362626,20255,20255,20255,3513,0
20,0,0.0,0.0,6,0,0.0,0,0.0,0.0,0,0.0,0.0,488,2523,0.806579468886,0,9,1.0,0,936,1.0,1755,13888,0.873631912442,1230,3251,0.621654875423,441,1070,0.58785046729,0.8197167504728514,21677,21677,21677,3920,0
21,0,0.0,0.0,9,0,0.0,0,0.0,0.0,0,0.0,0.0,574,2993,0.808219178082,0,10,1.0,0,983,1.0,1936,14582,0.867233575641,1347,3590,0.624791086351,486,1097,0.556973564266,0.8136314771016986,23255,23255,23255,4352,0
22,0,0.0,0.0,11,0,0.0,0,0.0,0.0,0,0.0,0.0,678,3638,0.813633864761,0,10,1.0,0,1030,1.0,2123,15277,0.861032925313,1480,3715,0.601615074024,534,1187,0.550126368997,0.806734521462767,24857,24857,24857,4826,0
23,0,0.0,0.0,12,0,0.0,0,0.0,0.0,0,0.0,0.0,772,4271,0.819246078202,0,11,1.0,0,1077,1.0,2317,15971,0.854924550748,1628,3759,0.566906092046,585,1313,0.554455445545,0.7996363911824862,26402,26402,26402,5314,0
24,0,0.0,0.0,17,0,0.0,0,0.0,0.0,0,0.0,0.0,854,4888,0.825286415712,0,11,1.0,0,1124,1.0,2514,16665,0.849144914491,1778,3854,0.538661131292,645,1419,0.545454545455,0.7934980866206502,27961,27961,27961,5808,0
25,0,0.0,0.0,22,0,0.0,0,0.0,0.0,0,0.0,0.0,976,5640,0.82695035461,0,37,1.0,0,1170,1.0,2733,17360,0.842569124424,1944,4003,0.51436422683,703,1448,0.514502762431,0.7864319913682649,29658,29658,29658,6378,0
26,0,0.0,0.0,26,0,0.0,0,0.0,0.0,0,0.0,0.0,1111,6162,0.819701395651,0,63,1.0,0,1217,1.0,2949,18054,0.836656696577,2112,4082,0.482606565409,755,1484,0.491239892183,0.7778314339063808,31062,31062,31062,6953,0
27,0,0.0,0.0,36,0,0.0,0,0.0,0.0,0,0.0,0.0,1238,6729,0.816020211027,0,89,1.0,0,1264,1.0,3166,18749,0.831137660675,2281,4161,0.451814467676,805,1498,0.46261682243,0.7705755617112958,32490,32490,32490,7526,0
28,0,0.0,0.0,44,0,0.0,0,0.0,0.0,0,0.0,0.0,1364,7093,0.807697730156,0,115,1.0,2,1311,0.998474446987,3381,19443,0.82610708224,2444,4240,0.42358490566,860,1508,0.429708222812,0.7624740433105903,33710,33710,33710,8095,0
29,0,0.0,0.0,53,0,0.0,0,0.0,0.0,0,0.0,0.0,1504,7532,0.800318640467,0,118,1.0,10,1358,0.99263622975,3582,20137,0.822118488355,2607,4319,0.39638805279,915,1520,0.398026315789,0.7551737937342785,34984,34984,34984,8671,0
